contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ABBV240607C00155000,ABBV,2024-06-04 15:36:12,2024-06-07,155.0,6.01,6.45,7.75,7.1,18.0,178.0,0.46143116699218756,162.0005,calls,0.009049354785942019
ABBV240607C00157500,ABBV,2024-06-04 18:52:59,2024-06-07,157.5,5.15,4.2,5.1,4.65,53.0,607.0,0.32031929687499994,162.0005,calls,0.009049354785942019
ABBV240607C00160000,ABBV,2024-06-04 18:32:46,2024-06-07,160.0,3.02,2.82,3.05,2.9349999999999996,189.0,1145.0,0.28003649658203117,162.0005,calls,0.009049354785942019
ABBV240607C00162500,ABBV,2024-06-04 18:54:55,2024-06-07,162.5,1.42,1.2,1.27,1.2349999999999999,305.0,808.0,0.2224198852539062,162.0005,calls,0.009049354785942019
ABBV240607C00165000,ABBV,2024-06-04 18:57:47,2024-06-07,165.0,0.55,0.43,0.51,0.47,433.0,1052.0,0.2309647216796875,162.0005,calls,0.009049354785942019
ABBV240607C00167500,ABBV,2024-06-04 18:39:03,2024-06-07,167.5,0.17,0.13,0.17,0.15000000000000002,111.0,193.0,0.23731231445312498,162.0005,calls,0.009049354785942019
ABBV240607C00170000,ABBV,2024-06-04 18:53:30,2024-06-07,170.0,0.06,0.05,0.08,0.065,94.0,898.0,0.26758544921875,162.0005,calls,0.009049354785942019
ABBV240607C00172500,ABBV,2024-06-04 15:05:07,2024-06-07,172.5,0.03,0.01,0.05,0.030000000000000002,5.0,63.0,0.304694453125,162.0005,calls,0.009049354785942019
ABBV240607C00185000,ABBV,2024-06-04 14:56:09,2024-06-07,185.0,0.01,0.01,0.63,0.32,1.0,3.0,0.7861349511718749,162.0005,calls,0.009049354785942019
ABBV240607C00187500,ABBV,2024-06-04 14:39:07,2024-06-07,187.5,0.01,0.01,0.02,0.015,18.0,2.0,0.5390671093750001,162.0005,calls,0.009049354785942019
ABBV240607C00190000,ABBV,2024-06-04 18:44:51,2024-06-07,190.0,0.01,0.01,0.02,0.015,30.0,35.0,0.585941640625,162.0005,calls,0.009049354785942019
ABBV240607C00195000,ABBV,2024-06-04 14:19:33,2024-06-07,195.0,0.01,0.0,0.1,0.05,1.0,10.0,0.7656273437500001,162.0005,calls,0.009049354785942019
ABBV240607P00130000,ABBV,2024-06-04 15:05:25,2024-06-07,130.0,0.01,0.0,0.01,0.005,64.0,,0.7187528125,162.0005,puts,0.009049354785942019
ABBV240607P00132000,ABBV,2024-06-04 17:39:03,2024-06-07,132.0,0.01,0.0,,,6.0,,0.500005,162.0005,puts,0.009049354785942019
ABBV240607P00140000,ABBV,2024-06-04 14:57:30,2024-06-07,140.0,0.01,0.01,0.04,0.025,2.0,17.0,0.5820354296875,162.0005,puts,0.009049354785942019
ABBV240607P00141000,ABBV,2024-06-04 13:41:51,2024-06-07,141.0,0.01,0.01,1.29,0.65,5.0,10.0,0.9882813671875,162.0005,puts,0.009049354785942019
ABBV240607P00150000,ABBV,2024-06-04 18:56:30,2024-06-07,150.0,0.03,0.01,0.24,0.125,2.0,91.0,0.4931691308593751,162.0005,puts,0.009049354785942019
ABBV240607P00152500,ABBV,2024-06-04 17:31:32,2024-06-07,152.5,0.04,0.02,0.08,0.05,60.0,161.0,0.3242255078124999,162.0005,puts,0.009049354785942019
ABBV240607P00155000,ABBV,2024-06-04 19:01:19,2024-06-07,155.0,0.06,0.05,0.07,0.060000000000000005,27.0,474.0,0.24414818359375,162.0005,puts,0.009049354785942019
ABBV240607P00157500,ABBV,2024-06-04 19:04:05,2024-06-07,157.5,0.16,0.14,0.19,0.165,75.0,280.0,0.21778125976562498,162.0005,puts,0.009049354785942019
ABBV240607P00160000,ABBV,2024-06-04 18:49:16,2024-06-07,160.0,0.46,0.47,0.54,0.505,389.0,539.0,0.19385571777343752,162.0005,puts,0.009049354785942019
ABBV240607P00162500,ABBV,2024-06-04 19:01:19,2024-06-07,162.5,1.34,1.38,1.5,1.44,172.0,121.0,0.1821370849609375,162.0005,puts,0.009049354785942019
ABBV240614C00157500,ABBV,2024-06-04 18:16:47,2024-06-14,157.5,5.55,5.5,5.75,5.625,32.0,116.0,0.2688061401367187,162.0005,calls,0.009049354785942019
ABBV240614C00160000,ABBV,2024-06-04 18:59:30,2024-06-14,160.0,3.97,3.6,3.75,3.675,44.0,215.0,0.23584748535156247,162.0005,calls,0.009049354785942019
