contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ABT240607C00099000,ABT,2024-06-04 13:42:53,2024-06-07,99.0,3.65,4.15,4.55,4.35,1.0,26.0,0.424810439453125,103.115,calls,0.004868350870387432
ABT240607C00101000,ABT,2024-06-04 16:25:26,2024-06-07,101.0,2.29,2.42,2.56,2.49,1.0,121.0,0.2880930566406249,103.115,calls,0.004868350870387432
ABT240607C00102000,ABT,2024-06-04 18:54:51,2024-06-07,102.0,1.8,1.49,1.72,1.605,3.0,295.0,0.25098405273437496,103.115,calls,0.004868350870387432
ABT240607C00103000,ABT,2024-06-04 18:54:01,2024-06-07,103.0,1.07,0.93,0.97,0.95,30.0,148.0,0.2124102197265625,103.115,calls,0.004868350870387432
ABT240607C00104000,ABT,2024-06-04 18:38:22,2024-06-07,104.0,0.58,0.46,0.49,0.475,69.0,232.0,0.1997150341796875,103.115,calls,0.004868350870387432
ABT240607C00105000,ABT,2024-06-04 19:01:16,2024-06-07,105.0,0.23,0.2,0.25,0.225,174.0,438.0,0.20606262695312497,103.115,calls,0.004868350870387432
ABT240607C00106000,ABT,2024-06-04 15:45:21,2024-06-07,106.0,0.09,0.1,0.12,0.11,3.0,183.0,0.21289849609375,103.115,calls,0.004868350870387432
ABT240607C00107000,ABT,2024-06-04 18:44:35,2024-06-07,107.0,0.06,0.05,0.07,0.060000000000000005,4.0,115.0,0.231452998046875,103.115,calls,0.004868350870387432
ABT240607C00112000,ABT,2024-06-04 13:54:20,2024-06-07,112.0,0.04,0.01,0.06,0.034999999999999996,1.0,109.0,0.42578699218750005,103.115,calls,0.004868350870387432
ABT240607C00113000,ABT,2024-06-04 17:33:39,2024-06-07,113.0,0.03,0.03,0.11,0.07,2.0,196.0,0.51758294921875,103.115,calls,0.004868350870387432
ABT240607C00117000,ABT,2024-06-04 13:32:09,2024-06-07,117.0,0.02,0.01,0.02,0.015,1.0,11.0,0.500005,103.115,calls,0.004868350870387432
ABT240607C00121000,ABT,2024-06-04 18:19:51,2024-06-07,121.0,0.01,0.0,1.26,0.63,14.0,31.0,1.1777384863281248,103.115,calls,0.004868350870387432
ABT240607P00088000,ABT,2024-06-04 16:16:43,2024-06-07,88.0,0.02,0.0,,,36.0,,0.2500075,103.115,puts,0.004868350870387432
ABT240607P00095000,ABT,2024-06-04 14:18:54,2024-06-07,95.0,0.02,0.02,0.05,0.035,1.0,4.0,0.41602146484374997,103.115,puts,0.004868350870387432
ABT240607P00096000,ABT,2024-06-04 15:39:54,2024-06-07,96.0,0.08,0.02,0.19,0.105,2.0,3.0,0.49023947265625006,103.115,puts,0.004868350870387432
ABT240607P00100000,ABT,2024-06-04 18:20:31,2024-06-07,100.0,0.08,0.05,0.08,0.065,9.0,159.0,0.20801573242187496,103.115,puts,0.004868350870387432
ABT240607P00101000,ABT,2024-06-04 17:00:17,2024-06-07,101.0,0.18,0.11,0.15,0.13,2.0,140.0,0.187508125,103.115,puts,0.004868350870387432
ABT240607P00102000,ABT,2024-06-04 18:32:10,2024-06-07,102.0,0.3,0.29,0.31,0.3,82.0,549.0,0.17188328125000002,103.115,puts,0.004868350870387432
ABT240607P00103000,ABT,2024-06-04 19:01:23,2024-06-07,103.0,0.59,0.59,0.62,0.605,20.0,520.0,0.15674671386718753,103.115,puts,0.004868350870387432
ABT240607P00104000,ABT,2024-06-04 18:38:57,2024-06-07,104.0,1.03,1.14,1.19,1.165,28.0,132.0,0.15039912109375003,103.115,puts,0.004868350870387432
ABT240607P00105000,ABT,2024-06-04 17:13:42,2024-06-07,105.0,2.07,1.81,2.06,1.935,2.0,69.0,0.1782308740234375,103.115,puts,0.004868350870387432
ABT240614C00096000,ABT,2024-06-04 14:42:16,2024-06-14,96.0,7.05,7.3,9.25,8.275,1.0,,0.5336960693359375,103.115,calls,0.004868350870387432
ABT240614C00103000,ABT,2024-06-04 18:43:20,2024-06-14,103.0,1.67,1.52,1.59,1.5550000000000002,37.0,65.0,0.2148516015625,103.115,calls,0.004868350870387432
ABT240614C00104000,ABT,2024-06-04 19:01:58,2024-06-14,104.0,1.09,1.01,1.06,1.0350000000000001,38.0,177.0,0.20386538330078124,103.115,calls,0.004868350870387432
ABT240614C00105000,ABT,2024-06-04 16:56:23,2024-06-14,105.0,0.63,0.65,0.69,0.6699999999999999,8.0,405.0,0.20020331054687499,103.115,calls,0.004868350870387432
ABT240614C00106000,ABT,2024-06-04 18:03:28,2024-06-14,106.0,0.43,0.29,0.44,0.365,8.0,175.0,0.20020331054687499,103.115,calls,0.004868350870387432
ABT240614C00107000,ABT,2024-06-04 18:51:44,2024-06-14,107.0,0.27,0.24,0.27,0.255,58.0,205.0,0.20069158691406247,103.115,calls,0.004868350870387432
ABT240614C00108000,ABT,2024-06-04 14:05:49,2024-06-14,108.0,0.17,0.15,0.18,0.16499999999999998,3.0,52.0,0.20801573242187496,103.115,calls,0.004868350870387432
ABT240614C00109000,ABT,2024-06-04 16:16:09,2024-06-14,109.0,0.1,0.1,0.14,0.12000000000000001,4.0,77.0,0.22364057617187497,103.115,calls,0.004868350870387432
ABT240614C00110000,ABT,2024-06-04 17:23:49,2024-06-14,110.0,0.08,0.06,0.1,0.08,1.0,148.0,0.23242955078125,103.115,calls,0.004868350870387432
ABT240614C00111000,ABT,2024-06-04 14:41:05,2024-06-14,111.0,0.05,0.05,0.13,0.09,10.0,17.0,0.27246821289062495,103.115,calls,0.004868350870387432
ABT240614C00140000,ABT,2024-06-04 15:35:54,2024-06-14,140.0,0.01,,1.26,,21.0,,1.3496126269531248,103.115,calls,0.004868350870387432
ABT240614P00097000,ABT,2024-06-04 13:55:34,2024-06-14,97.0,0.11,0.06,0.15,0.105,1.0,32.0,0.247077841796875,103.115,puts,0.004868350870387432
ABT240614P00098000,ABT,2024-06-04 14:31:53,2024-06-14,98.0,0.14,0.1,0.14,0.12000000000000001,1.0,21.0,0.21143366699218746,103.115,puts,0.004868350870387432
ABT240614P00099000,ABT,2024-06-04 16:07:52,2024-06-14,99.0,0.24,0.15,0.19,0.16999999999999998,2.0,35.0,0.1948322705078125,103.115,puts,0.004868350870387432
ABT240614P00100000,ABT,2024-06-04 14:31:53,2024-06-14,100.0,0.33,0.27,0.3,0.28500000000000003,4.0,58.0,0.18579915771484373,103.115,puts,0.004868350870387432
ABT240614P00101000,ABT,2024-06-04 13:32:15,2024-06-14,101.0,0.6,0.45,0.49,0.47,4.0,94.0,0.180672255859375,103.115,puts,0.004868350870387432
ABT240614P00102000,ABT,2024-06-04 18:55:36,2024-06-14,102.0,0.68,0.7,0.73,0.715,60.0,187.0,0.16968603759765627,103.115,puts,0.004868350870387432
ABT240614P00103000,ABT,2024-06-04 18:36:20,2024-06-14,103.0,1.04,1.11,1.15,1.13,98.0,181.0,0.1687094848632813,103.115,puts,0.004868350870387432
ABT240614P00104000,ABT,2024-06-04 15:39:54,2024-06-14,104.0,1.8,1.58,1.62,1.6,2.0,34.0,0.15601429931640626,103.115,puts,0.004868350870387432
ABT240614P00109000,ABT,2024-06-04 18:34:25,2024-06-14,109.0,5.45,5.5,6.65,6.075,1.0,1.0,0.37622694091796877,103.115,puts,0.004868350870387432
ABT240621C00102000,ABT,2024-06-04 16:43:40,2024-06-21,102.0,2.48,2.53,2.58,2.5549999999999997,69.0,263.0,0.21753712158203126,103.115,calls,0.004868350870387432
ABT240621C00103000,ABT,2024-06-04 18:24:30,2024-06-21,103.0,1.96,1.92,1.98,1.95,25.0,417.0,0.21070125244140625,103.115,calls,0.004868350870387432
ABT240621C00104000,ABT,2024-06-04 18:41:29,2024-06-21,104.0,1.51,1.38,1.45,1.415,56.0,1095.0,0.20288883056640622,103.115,calls,0.004868350870387432
ABT240621C00105000,ABT,2024-06-04 18:53:00,2024-06-21,105.0,1.06,1.01,1.08,1.045,242.0,8326.0,0.20337710693359373,103.115,calls,0.004868350870387432
ABT240621C00106000,ABT,2024-06-04 18:21:31,2024-06-21,106.0,0.7,0.66,0.72,0.69,24.0,244.0,0.195320546875,103.115,calls,0.004868350870387432
ABT240621C00107000,ABT,2024-06-04 16:12:50,2024-06-21,107.0,0.43,0.44,0.51,0.475,2.0,583.0,0.19727365234375,103.115,calls,0.004868350870387432
ABT240621C00108000,ABT,2024-06-04 15:45:31,2024-06-21,108.0,0.29,0.17,0.34,0.255,3.0,3012.0,0.196297099609375,103.115,calls,0.004868350870387432
ABT240621C00110000,ABT,2024-06-04 15:06:03,2024-06-21,110.0,0.16,0.14,0.17,0.15500000000000003,51.0,4287.0,0.20508607421874997,103.115,calls,0.004868350870387432
ABT240621C00112000,ABT,2024-06-04 16:00:58,2024-06-21,112.0,0.06,0.07,0.13,0.1,3.0,8.0,0.233406103515625,103.115,calls,0.004868350870387432
ABT240621C00115000,ABT,2024-06-04 18:03:55,2024-06-21,115.0,0.06,0.05,0.07,0.060000000000000005,39.0,4120.0,0.25977302734375,103.115,calls,0.004868350870387432
ABT240621C00155000,ABT,2024-06-04 13:57:23,2024-06-21,155.0,0.01,0.0,0.94,0.47,14.0,3.0,1.0468797656250002,103.115,calls,0.004868350870387432
ABT240621P00090000,ABT,2024-06-04 14:24:57,2024-06-21,90.0,0.05,0.05,0.13,0.09,1.0,2052.0,0.3544986425781249,103.115,puts,0.004868350870387432
ABT240621P00095000,ABT,2024-06-04 18:32:04,2024-06-21,95.0,0.09,0.08,0.1,0.09,15.0,1627.0,0.22266402343749997,103.115,puts,0.004868350870387432
ABT240621P00098000,ABT,2024-06-04 16:12:50,2024-06-21,98.0,0.27,0.2,0.25,0.225,2.0,12.0,0.19336744140625,103.115,puts,0.004868350870387432
ABT240621P00099000,ABT,2024-06-04 16:12:50,2024-06-21,99.0,0.4,0.3,0.35,0.32499999999999996,23.0,255.0,0.18457846679687498,103.115,puts,0.004868350870387432
ABT240621P00100000,ABT,2024-06-04 16:28:11,2024-06-21,100.0,0.54,0.43,0.5,0.46499999999999997,235.0,13975.0,0.1772543212890625,103.115,puts,0.004868350870387432
ABT240621P00101000,ABT,2024-06-04 13:54:18,2024-06-21,101.0,0.78,0.68,0.77,0.7250000000000001,1.0,288.0,0.17798673583984376,103.115,puts,0.004868350870387432
ABT240621P00102000,ABT,2024-06-04 16:25:13,2024-06-21,102.0,1.13,0.97,1.02,0.995,19.0,482.0,0.1662681030273438,103.115,puts,0.004868350870387432
ABT240621P00103000,ABT,2024-06-04 16:12:48,2024-06-21,103.0,1.6,1.38,1.43,1.4049999999999998,2.0,582.0,0.1626060302734375,103.115,puts,0.004868350870387432
ABT240628C00103000,ABT,2024-06-04 18:52:48,2024-06-28,103.0,2.3,2.06,2.29,2.175,9.0,166.0,0.20764952514648435,103.115,calls,0.004868350870387432
ABT240628C00104000,ABT,2024-06-04 18:38:04,2024-06-28,104.0,1.8,1.66,1.78,1.72,11.0,1779.0,0.20313296874999998,103.115,calls,0.004868350870387432
ABT240628C00105000,ABT,2024-06-04 18:22:55,2024-06-28,105.0,1.38,1.21,1.35,1.28,6.0,209.0,0.1992267578125,103.115,calls,0.004868350870387432
ABT240628C00106000,ABT,2024-06-04 16:04:51,2024-06-28,106.0,0.85,0.87,1.02,0.9450000000000001,7.0,63.0,0.198250205078125,103.115,calls,0.004868350870387432
ABT240628C00107000,ABT,2024-06-04 16:34:45,2024-06-28,107.0,0.66,0.62,0.73,0.675,9.0,191.0,0.19458813232421873,103.115,calls,0.004868350870387432
ABT240628C00108000,ABT,2024-06-04 18:32:30,2024-06-28,108.0,0.5,0.45,0.52,0.485,5.0,808.0,0.19312330322265625,103.115,calls,0.004868350870387432
ABT240628C00110000,ABT,2024-06-04 18:21:31,2024-06-28,110.0,0.26,0.19,0.43,0.31,2.0,415.0,0.22461712890624996,103.115,calls,0.004868350870387432
ABT240628C00111000,ABT,2024-06-04 13:32:11,2024-06-28,111.0,0.17,0.07,0.21,0.14,10.0,222.0,0.20215641601562498,103.115,calls,0.004868350870387432
ABT240628P00100000,ABT,2024-06-04 18:41:33,2024-06-28,100.0,0.6,0.52,0.66,0.5900000000000001,1.0,55.0,0.17017431396484378,103.115,puts,0.004868350870387432
ABT240628P00101000,ABT,2024-06-04 18:55:36,2024-06-28,101.0,0.82,0.81,0.99,0.9,1.0,30.0,0.17432466308593753,103.115,puts,0.004868350870387432
ABT240705C00105000,ABT,2024-06-04 17:43:50,2024-07-05,105.0,1.53,1.43,1.67,1.5499999999999998,1.0,14.0,0.2036212451171875,103.115,calls,0.004868350870387432
ABT240705C00107000,ABT,2024-06-04 18:38:26,2024-07-05,107.0,0.94,0.79,0.94,0.865,3.0,9.0,0.19336744140625,103.115,calls,0.004868350870387432
ABT240705C00109000,ABT,2024-06-04 18:56:55,2024-07-05,109.0,0.51,0.23,0.59,0.41,3.0,13.0,0.20020331054687499,103.115,calls,0.004868350870387432
