contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
BRKB240607C00320000,BRK-B,2024-06-04 17:14:24,2024-06-07,320.0,87.52,87.15,90.7,88.92500000000001,1.0,1.0,1.2236366943359376,408.42,calls,
BRKB240607C00375000,BRK-B,2024-06-04 16:40:59,2024-06-07,375.0,32.66,32.65,35.25,33.95,1.0,3.0,0.5190477783203125,408.42,calls,
BRKB240607C00380000,BRK-B,2024-06-04 16:41:10,2024-06-07,380.0,27.6,27.5,30.25,28.875,1.0,9.0,0.632816171875,408.42,calls,
BRKB240607C00397500,BRK-B,2024-06-04 17:54:44,2024-06-07,397.5,11.63,10.45,13.05,11.75,2.0,30.0,0.362311064453125,408.42,calls,
BRKB240607C00400000,BRK-B,2024-06-04 19:00:09,2024-06-07,400.0,9.0,7.8,8.9,8.35,25.0,177.0,0.1757894921875,408.42,calls,
BRKB240607C00402500,BRK-B,2024-06-04 17:19:25,2024-06-07,402.5,6.6,6.4,6.8,6.6,3.0,188.0,0.17359224853515626,408.42,calls,
BRKB240607C00405000,BRK-B,2024-06-04 18:48:23,2024-06-07,405.0,5.33,4.75,4.85,4.8,134.0,191.0,0.16577982666015628,408.42,calls,
BRKB240607C00407500,BRK-B,2024-06-04 18:50:45,2024-06-07,407.5,3.58,3.1,3.2,3.1500000000000004,418.0,219.0,0.15931016479492188,408.42,calls,
BRKB240607C00410000,BRK-B,2024-06-04 19:04:10,2024-06-07,410.0,1.88,1.91,1.99,1.95,995.0,952.0,0.15833361206054689,408.42,calls,
BRKB240607C00412500,BRK-B,2024-06-04 18:36:57,2024-06-07,412.5,1.37,0.97,1.06,1.0150000000000001,495.0,765.0,0.15210808837890627,408.42,calls,
BRKB240607C00415000,BRK-B,2024-06-04 18:49:26,2024-06-07,415.0,0.6,0.48,0.56,0.52,644.0,875.0,0.1538170556640625,408.42,calls,
BRKB240607C00417500,BRK-B,2024-06-04 18:47:23,2024-06-07,417.5,0.36,0.25,0.29,0.27,448.0,411.0,0.1577232666015625,408.42,calls,
BRKB240607C00420000,BRK-B,2024-06-04 18:38:22,2024-06-07,420.0,0.19,0.12,0.18,0.15,231.0,544.0,0.1694418994140625,408.42,calls,
