contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CSCO240607C00040000,CSCO,2024-06-04 16:25:27,2024-06-07,40.0,6.9,7.5,7.75,7.625,19.0,119.0,1.291019169921875,47.325,calls,0.008135235076597993
CSCO240607C00042000,CSCO,2024-06-04 15:52:53,2024-06-07,42.0,4.8,5.45,5.95,5.7,1.0,2.0,1.0781296093750001,47.325,calls,0.008135235076597993
CSCO240607C00042500,CSCO,2024-06-04 14:17:13,2024-06-07,42.5,4.29,5.0,5.2,5.1,6.0,14.0,0.9082040429687499,47.325,calls,0.008135235076597993
CSCO240607C00044000,CSCO,2024-06-04 17:06:54,2024-06-07,44.0,3.16,3.5,3.7,3.6,10.0,3.0,0.694338994140625,47.325,calls,0.008135235076597993
CSCO240607C00045000,CSCO,2024-06-04 18:07:14,2024-06-07,45.0,2.45,2.44,2.72,2.58,22.0,30.0,0.5312546875,47.325,calls,0.008135235076597993
CSCO240607C00045500,CSCO,2024-06-04 18:22:47,2024-06-07,45.5,2.1,1.93,2.39,2.16,23.0,212.0,0.5117236328125,47.325,calls,0.008135235076597993
CSCO240607C00046000,CSCO,2024-06-04 18:42:29,2024-06-07,46.0,1.67,1.4,1.62,1.51,1084.0,2274.0,0.40332627929687503,47.325,calls,0.008135235076597993
CSCO240607C00046500,CSCO,2024-06-04 18:59:21,2024-06-07,46.5,1.26,1.18,1.24,1.21,365.0,5463.0,0.38672488281249995,47.325,calls,0.008135235076597993
CSCO240607C00047000,CSCO,2024-06-04 19:02:05,2024-06-07,47.0,0.83,0.82,0.86,0.84,3532.0,6257.0,0.34766277343749996,47.325,calls,0.008135235076597993
CSCO240607C00047500,CSCO,2024-06-04 19:02:19,2024-06-07,47.5,0.53,0.54,0.57,0.5549999999999999,7953.0,3354.0,0.33008482421874996,47.325,calls,0.008135235076597993
CSCO240607C00048000,CSCO,2024-06-04 19:00:18,2024-06-07,48.0,0.39,0.34,0.36,0.35,3012.0,3947.0,0.32227240234374993,47.325,calls,0.008135235076597993
CSCO240607C00048500,CSCO,2024-06-04 18:55:40,2024-06-07,48.5,0.23,0.19,0.21,0.2,555.0,1012.0,0.3154365332031249,47.325,calls,0.008135235076597993
CSCO240607C00049000,CSCO,2024-06-04 18:52:10,2024-06-07,49.0,0.14,0.11,0.14,0.125,556.0,4939.0,0.3320379296875,47.325,calls,0.008135235076597993
CSCO240607C00049500,CSCO,2024-06-04 18:13:00,2024-06-07,49.5,0.08,0.06,0.07,0.065,189.0,232.0,0.32227240234374993,47.325,calls,0.008135235076597993
CSCO240607C00050000,CSCO,2024-06-04 18:56:18,2024-06-07,50.0,0.04,0.03,0.04,0.035,538.0,875.0,0.33008482421874996,47.325,calls,0.008135235076597993
CSCO240607C00051000,CSCO,2024-06-04 17:55:21,2024-06-07,51.0,0.02,0.01,0.02,0.015,9.0,796.0,0.3711000390625,47.325,calls,0.008135235076597993
CSCO240607C00051500,CSCO,2024-06-04 18:43:48,2024-06-07,51.5,0.01,0.01,0.04,0.025,24.0,69.0,0.46484910156250003,47.325,calls,0.008135235076597993
CSCO240607C00052000,CSCO,2024-06-04 15:53:14,2024-06-07,52.0,0.01,0.0,0.02,0.01,2.0,443.0,0.45313046875,47.325,calls,0.008135235076597993
CSCO240607C00052500,CSCO,2024-06-04 16:18:38,2024-06-07,52.5,0.01,0.0,0.02,0.01,16.0,73.0,0.49219257812500006,47.325,calls,0.008135235076597993
CSCO240607C00053000,CSCO,2024-06-04 17:34:14,2024-06-07,53.0,0.01,0.0,0.03,0.015,5.0,196.0,0.500005,47.325,calls,0.008135235076597993
CSCO240607C00055000,CSCO,2024-06-04 14:44:13,2024-06-07,55.0,0.01,0.0,0.01,0.005,60.0,381.0,0.5625043750000001,47.325,calls,0.008135235076597993
CSCO240607P00043000,CSCO,2024-06-04 18:37:50,2024-06-07,43.0,0.01,0.0,0.01,0.005,5.0,593.0,0.42188078125,47.325,puts,0.008135235076597993
CSCO240607P00043500,CSCO,2024-06-04 14:52:41,2024-06-07,43.5,0.01,0.0,0.01,0.005,1810.0,43.0,0.37500625,47.325,puts,0.008135235076597993
CSCO240607P00044000,CSCO,2024-06-04 15:10:21,2024-06-07,44.0,0.03,0.0,0.01,0.005,24.0,488.0,0.32813171874999997,47.325,puts,0.008135235076597993
CSCO240607P00044500,CSCO,2024-06-04 18:08:19,2024-06-07,44.5,0.02,0.01,0.02,0.015,53.0,117.0,0.32031929687499994,47.325,puts,0.008135235076597993
CSCO240607P00045000,CSCO,2024-06-04 18:49:40,2024-06-07,45.0,0.03,0.02,0.03,0.025,188.0,633.0,0.2929758203124999,47.325,puts,0.008135235076597993
CSCO240607P00045500,CSCO,2024-06-04 18:37:50,2024-06-07,45.5,0.06,0.05,0.06,0.055,230.0,1382.0,0.28516339843749994,47.325,puts,0.008135235076597993
CSCO240607P00046000,CSCO,2024-06-04 18:41:02,2024-06-07,46.0,0.11,0.1,0.11,0.10500000000000001,274.0,2683.0,0.27149166015625,47.325,puts,0.008135235076597993
CSCO240607P00046500,CSCO,2024-06-04 18:57:50,2024-06-07,46.5,0.18,0.19,0.19,0.19,745.0,3539.0,0.25391371093750004,47.325,puts,0.008135235076597993
CSCO240607P00047000,CSCO,2024-06-04 19:01:47,2024-06-07,47.0,0.36,0.33,0.36,0.345,808.0,1754.0,0.256843369140625,47.325,puts,0.008135235076597993
CSCO240607P00047500,CSCO,2024-06-04 18:59:23,2024-06-07,47.5,0.52,0.53,0.55,0.54,664.0,794.0,0.2304764453125,47.325,puts,0.008135235076597993
CSCO240607P00048000,CSCO,2024-06-04 18:59:39,2024-06-07,48.0,0.8,0.8,0.86,0.8300000000000001,190.0,4126.0,0.22266402343749997,47.325,puts,0.008135235076597993
CSCO240607P00048500,CSCO,2024-06-04 18:58:13,2024-06-07,48.5,1.17,1.14,1.19,1.165,33.0,51.0,0.1445398046875,47.325,puts,0.008135235076597993
CSCO240607P00049000,CSCO,2024-06-04 17:34:56,2024-06-07,49.0,1.87,1.62,1.69,1.655,11.0,124.0,0.187508125,47.325,puts,0.008135235076597993
CSCO240614C00045500,CSCO,2024-06-04 13:46:57,2024-06-14,45.5,1.47,1.97,2.19,2.08,1.0,143.0,0.32031929687499994,47.325,calls,0.008135235076597993
CSCO240614C00046000,CSCO,2024-06-04 18:29:50,2024-06-14,46.0,1.81,1.69,1.77,1.73,1086.0,4045.0,0.29883513671874995,47.325,calls,0.008135235076597993
CSCO240614C00046500,CSCO,2024-06-04 19:01:22,2024-06-14,46.5,1.36,1.33,1.38,1.355,228.0,229.0,0.2797923583984374,47.325,calls,0.008135235076597993
CSCO240614C00047000,CSCO,2024-06-04 18:52:47,2024-06-14,47.0,1.07,1.04,1.05,1.045,1009.0,413.0,0.26856200195312496,47.325,calls,0.008135235076597993
CSCO240614C00047500,CSCO,2024-06-04 18:54:00,2024-06-14,47.5,0.78,0.75,0.78,0.765,410.0,364.0,0.26319096191406255,47.325,calls,0.008135235076597993
CSCO240614C00048000,CSCO,2024-06-04 19:01:29,2024-06-14,48.0,0.5,0.51,0.52,0.515,533.0,621.0,0.2461012890625,47.325,calls,0.008135235076597993
CSCO240614C00048500,CSCO,2024-06-04 19:01:01,2024-06-14,48.5,0.35,0.35,0.38,0.365,195.0,81.0,0.252937158203125,47.325,calls,0.008135235076597993
CSCO240614C00049000,CSCO,2024-06-04 18:49:11,2024-06-14,49.0,0.24,0.22,0.25,0.235,121.0,2507.0,0.2500075,47.325,calls,0.008135235076597993
CSCO240614C00049500,CSCO,2024-06-04 18:47:41,2024-06-14,49.5,0.14,0.14,0.16,0.15000000000000002,6.0,21.0,0.24805439453125,47.325,calls,0.008135235076597993
CSCO240614C00050000,CSCO,2024-06-04 18:45:28,2024-06-14,50.0,0.1,0.09,0.11,0.1,80.0,565.0,0.25391371093750004,47.325,calls,0.008135235076597993
CSCO240614P00043500,CSCO,2024-06-04 16:38:28,2024-06-14,43.5,0.05,0.03,0.07,0.05,12.0,44.0,0.31836619140624994,47.325,puts,0.008135235076597993
CSCO240614P00044000,CSCO,2024-06-04 17:56:01,2024-06-14,44.0,0.05,0.03,0.05,0.04,17.0,86.0,0.26367923828125,47.325,puts,0.008135235076597993
CSCO240614P00044500,CSCO,2024-06-04 18:55:23,2024-06-14,44.5,0.05,0.05,0.06,0.055,2.0,12.0,0.24024197265624997,47.325,puts,0.008135235076597993
CSCO240614P00045000,CSCO,2024-06-04 17:22:07,2024-06-14,45.0,0.09,0.07,0.09,0.08,32.0,658.0,0.229499892578125,47.325,puts,0.008135235076597993
CSCO240614P00045500,CSCO,2024-06-04 15:42:31,2024-06-14,45.5,0.26,0.12,0.13,0.125,179.0,206.0,0.2148516015625,47.325,puts,0.008135235076597993
CSCO240614P00046000,CSCO,2024-06-04 18:49:05,2024-06-14,46.0,0.18,0.18,0.21,0.195,196.0,813.0,0.20899228515624996,47.325,puts,0.008135235076597993
CSCO240614P00046500,CSCO,2024-06-04 19:01:01,2024-06-14,46.5,0.3,0.3,0.32,0.31,449.0,116.0,0.20020331054687499,47.325,puts,0.008135235076597993
CSCO240614P00047000,CSCO,2024-06-04 19:00:47,2024-06-14,47.0,0.44,0.45,0.48,0.46499999999999997,302.0,701.0,0.192390888671875,47.325,puts,0.008135235076597993
CSCO240614P00047500,CSCO,2024-06-04 18:41:58,2024-06-14,47.5,0.65,0.66,0.67,0.665,145.0,70.0,0.17627776855468752,47.325,puts,0.008135235076597993
CSCO240614P00048000,CSCO,2024-06-04 18:56:04,2024-06-14,48.0,0.91,0.92,0.95,0.935,16.0,168.0,0.16602396484375004,47.325,puts,0.008135235076597993
CSCO240614P00048500,CSCO,2024-06-04 18:45:09,2024-06-14,48.5,1.24,1.21,1.27,1.24,3.0,,0.139657041015625,47.325,puts,0.008135235076597993
CSCO240614P00049000,CSCO,2024-06-04 18:32:24,2024-06-14,49.0,1.62,1.62,1.71,1.665,3.0,204.0,0.13575083007812502,47.325,puts,0.008135235076597993
CSCO240621C00032500,CSCO,2024-06-04 16:39:21,2024-06-21,32.5,14.6,14.9,15.15,15.025,15.0,3.0,1.0429735351562504,47.325,calls,0.008135235076597993
CSCO240621C00045000,CSCO,2024-06-04 18:28:53,2024-06-21,45.0,2.83,2.68,2.73,2.705,19.0,19338.0,0.301764794921875,47.325,calls,0.008135235076597993
CSCO240621C00045500,CSCO,2024-06-04 18:27:38,2024-06-21,45.5,2.36,2.2,2.29,2.245,6.0,234.0,0.28125718749999995,47.325,calls,0.008135235076597993
CSCO240621C00046000,CSCO,2024-06-04 16:31:12,2024-06-21,46.0,1.95,1.83,1.87,1.85,31.0,815.0,0.2612378564453125,47.325,calls,0.008135235076597993
CSCO240621C00046500,CSCO,2024-06-04 19:02:10,2024-06-21,46.5,1.46,1.46,1.5,1.48,92.0,1130.0,0.249030947265625,47.325,calls,0.008135235076597993
CSCO240621C00047000,CSCO,2024-06-04 19:01:27,2024-06-21,47.0,1.16,1.13,1.16,1.145,2102.0,2903.0,0.2368240380859375,47.325,calls,0.008135235076597993
CSCO240621C00047500,CSCO,2024-06-04 19:01:21,2024-06-21,47.5,0.89,0.88,0.88,0.88,2328.0,25384.0,0.229499892578125,47.325,calls,0.008135235076597993
CSCO240621C00048000,CSCO,2024-06-04 18:50:05,2024-06-21,48.0,0.67,0.65,0.67,0.66,879.0,1991.0,0.2299881689453125,47.325,calls,0.008135235076597993
CSCO240621C00048500,CSCO,2024-06-04 18:54:34,2024-06-21,48.5,0.49,0.43,0.46,0.445,169.0,907.0,0.21973436523437498,47.325,calls,0.008135235076597993
CSCO240621C00049000,CSCO,2024-06-04 18:48:19,2024-06-21,49.0,0.32,0.31,0.34,0.325,1409.0,4543.0,0.22315229980468748,47.325,calls,0.008135235076597993
CSCO240621C00049500,CSCO,2024-06-04 18:58:22,2024-06-21,49.5,0.24,0.2,0.23,0.21500000000000002,16.0,376.0,0.22022264160156246,47.325,calls,0.008135235076597993
CSCO240621C00050000,CSCO,2024-06-04 19:01:21,2024-06-21,50.0,0.14,0.13,0.14,0.135,1622.0,45138.0,0.21289849609375,47.325,calls,0.008135235076597993
CSCO240621C00051000,CSCO,2024-06-04 18:36:09,2024-06-21,51.0,0.08,0.07,0.08,0.07500000000000001,32.0,2504.0,0.2304764453125,47.325,calls,0.008135235076597993
CSCO240621C00052500,CSCO,2024-06-04 18:37:34,2024-06-21,52.5,0.03,0.03,0.04,0.035,136.0,42885.0,0.257819921875,47.325,calls,0.008135235076597993
CSCO240621C00053000,CSCO,2024-06-04 17:33:09,2024-06-21,53.0,0.04,0.02,0.09,0.055,2.0,103.0,0.3242255078124999,47.325,calls,0.008135235076597993
CSCO240621C00055000,CSCO,2024-06-04 18:13:08,2024-06-21,55.0,0.03,0.01,0.03,0.02,110.0,38158.0,0.33399103515625,47.325,calls,0.008135235076597993
CSCO240621C00057500,CSCO,2024-06-04 15:39:13,2024-06-21,57.5,0.02,0.01,0.02,0.015,8.0,17131.0,0.39063109375,47.325,calls,0.008135235076597993
CSCO240621C00060000,CSCO,2024-06-04 16:28:26,2024-06-21,60.0,0.01,0.01,0.02,0.015,9.0,12872.0,0.46484910156250003,47.325,calls,0.008135235076597993
CSCO240621P00035000,CSCO,2024-06-04 18:55:03,2024-06-21,35.0,0.03,0.0,0.01,0.005,2.0,2270.0,0.500005,47.325,puts,0.008135235076597993
CSCO240621P00042500,CSCO,2024-06-04 14:46:04,2024-06-21,42.5,0.03,0.03,0.07,0.05,7.0,15581.0,0.30274134765625,47.325,puts,0.008135235076597993
CSCO240621P00043000,CSCO,2024-06-04 17:37:56,2024-06-21,43.0,0.05,0.03,0.05,0.04,205.0,24.0,0.257819921875,47.325,puts,0.008135235076597993
CSCO240621P00044000,CSCO,2024-06-04 15:36:53,2024-06-21,44.0,0.1,0.06,0.08,0.07,4.0,507.0,0.229499892578125,47.325,puts,0.008135235076597993
CSCO240621P00044500,CSCO,2024-06-04 16:30:25,2024-06-21,44.5,0.12,0.08,0.1,0.09,36.0,96.0,0.213875048828125,47.325,puts,0.008135235076597993
CSCO240621P00045000,CSCO,2024-06-04 18:54:43,2024-06-21,45.0,0.12,0.12,0.13,0.125,202.0,27052.0,0.1992267578125,47.325,puts,0.008135235076597993
CSCO240621P00045500,CSCO,2024-06-04 16:39:27,2024-06-21,45.5,0.25,0.16,0.19,0.175,2.0,2921.0,0.1914143359375,47.325,puts,0.008135235076597993
CSCO240621P00046000,CSCO,2024-06-04 19:00:53,2024-06-21,46.0,0.25,0.26,0.29,0.275,64.0,4438.0,0.188484677734375,47.325,puts,0.008135235076597993
CSCO240621P00046500,CSCO,2024-06-04 18:51:34,2024-06-21,46.5,0.36,0.37,0.39,0.38,110.0,1471.0,0.1757894921875,47.325,puts,0.008135235076597993
CSCO240621P00047000,CSCO,2024-06-04 18:51:14,2024-06-21,47.0,0.52,0.54,0.56,0.55,19.0,2206.0,0.16993017578125003,47.325,puts,0.008135235076597993
CSCO240621P00047500,CSCO,2024-06-04 19:01:12,2024-06-21,47.5,0.75,0.77,0.77,0.77,210.0,25413.0,0.16162947753906248,47.325,puts,0.008135235076597993
CSCO240621P00048000,CSCO,2024-06-04 19:01:44,2024-06-21,48.0,1.05,1.01,1.04,1.025,46.0,499.0,0.15332877929687502,47.325,puts,0.008135235076597993
CSCO240621P00048500,CSCO,2024-06-04 19:01:44,2024-06-21,48.5,1.38,1.38,1.42,1.4,30.0,362.0,0.159188095703125,47.325,puts,0.008135235076597993
CSCO240621P00049000,CSCO,2024-06-04 19:00:09,2024-06-21,49.0,1.71,1.73,1.79,1.76,68.0,35.0,0.1469811865234375,47.325,puts,0.008135235076597993
CSCO240621P00049500,CSCO,2024-06-04 18:33:34,2024-06-21,49.5,2.07,2.14,2.33,2.2350000000000003,63.0,29.0,0.192390888671875,47.325,puts,0.008135235076597993
CSCO240621P00050000,CSCO,2024-06-04 18:38:14,2024-06-21,50.0,2.52,2.6,2.65,2.625,24.0,5071.0,1.0000000000000003e-05,47.325,puts,0.008135235076597993
CSCO240628C00045000,CSCO,2024-06-04 17:44:42,2024-06-28,45.0,2.65,2.66,2.84,2.75,7.0,22.0,0.28565167480468745,47.325,calls,0.008135235076597993
CSCO240628C00046000,CSCO,2024-06-04 18:38:15,2024-06-28,46.0,2.05,1.88,2.05,1.9649999999999999,10.0,34.0,0.26270268554687504,47.325,calls,0.008135235076597993
CSCO240628C00047000,CSCO,2024-06-04 18:42:21,2024-06-28,47.0,1.32,1.26,1.31,1.2850000000000001,216.0,374.0,0.231452998046875,47.325,calls,0.008135235076597993
CSCO240628C00048000,CSCO,2024-06-04 18:40:13,2024-06-28,48.0,0.79,0.78,0.82,0.8,287.0,474.0,0.2260819580078125,47.325,calls,0.008135235076597993
CSCO240628C00049000,CSCO,2024-06-04 18:54:54,2024-06-28,49.0,0.42,0.41,0.44,0.425,45.0,567.0,0.213875048828125,47.325,calls,0.008135235076597993
CSCO240628C00050000,CSCO,2024-06-04 18:54:03,2024-06-28,50.0,0.21,0.2,0.22,0.21000000000000002,177.0,659.0,0.20899228515624996,47.325,calls,0.008135235076597993
CSCO240628C00051000,CSCO,2024-06-04 17:03:59,2024-06-28,51.0,0.09,0.09,0.11,0.1,17.0,299.0,0.21094539062499998,47.325,calls,0.008135235076597993
CSCO240628P00041000,CSCO,2024-06-04 17:19:55,2024-06-28,41.0,0.02,0.01,0.14,0.07500000000000001,11.0,61.0,0.375982802734375,47.325,puts,0.008135235076597993
CSCO240628P00043000,CSCO,2024-06-04 16:16:36,2024-06-28,43.0,0.07,0.04,0.08,0.06,11.0,25.0,0.241218525390625,47.325,puts,0.008135235076597993
CSCO240628P00044000,CSCO,2024-06-04 17:53:44,2024-06-28,44.0,0.1,0.07,0.1,0.085,23.0,39.0,0.20606262695312497,47.325,puts,0.008135235076597993
CSCO240628P00045000,CSCO,2024-06-04 18:50:24,2024-06-28,45.0,0.1,0.15,0.18,0.16499999999999998,75.0,302.0,0.187508125,47.325,puts,0.008135235076597993
CSCO240628P00046000,CSCO,2024-06-04 18:48:12,2024-06-28,46.0,0.32,0.3,0.34,0.32,114.0,970.0,0.17285983398437502,47.325,puts,0.008135235076597993
CSCO240628P00047000,CSCO,2024-06-04 19:01:36,2024-06-28,47.0,0.62,0.61,0.67,0.64,81.0,779.0,0.16700051757812504,47.325,puts,0.008135235076597993
CSCO240628P00048000,CSCO,2024-06-04 18:39:04,2024-06-28,48.0,1.08,1.1,1.17,1.135,14.0,491.0,0.15821154296875,47.325,puts,0.008135235076597993
CSCO240705C00046000,CSCO,2024-06-04 16:31:36,2024-07-05,46.0,1.7,1.75,2.06,1.905,5.0,37.0,0.23413851806640623,47.325,calls,0.008135235076597993
CSCO240705C00047000,CSCO,2024-06-04 18:49:39,2024-07-05,47.0,1.4,1.02,1.37,1.195,127.0,79.0,0.2153398779296875,47.325,calls,0.008135235076597993
CSCO240705C00048000,CSCO,2024-06-04 18:24:07,2024-07-05,48.0,0.85,0.82,0.89,0.855,28.0,181.0,0.21265435791015624,47.325,calls,0.008135235076597993
CSCO240705C00049000,CSCO,2024-06-04 18:50:33,2024-07-05,49.0,0.48,0.43,0.5,0.46499999999999997,79.0,3021.0,0.20191227783203125,47.325,calls,0.008135235076597993
CSCO240705C00050000,CSCO,2024-06-04 18:59:26,2024-07-05,50.0,0.26,0.24,0.27,0.255,14.0,32.0,0.19873848144531248,47.325,calls,0.008135235076597993
CSCO240705C00051000,CSCO,2024-06-04 17:16:12,2024-07-05,51.0,0.1,0.12,0.14,0.13,12.0,28.0,0.19873848144531248,47.325,calls,0.008135235076597993
CSCO240705P00041000,CSCO,2024-06-04 13:33:35,2024-07-05,41.0,0.04,0.01,0.05,0.030000000000000002,1250.0,2500.0,0.2695385546875,47.325,puts,0.008135235076597993
CSCO240705P00043000,CSCO,2024-06-04 15:27:14,2024-07-05,43.0,0.1,0.06,0.08,0.07,1.0,36.0,0.21289849609375,47.325,puts,0.008135235076597993
CSCO240705P00044000,CSCO,2024-06-04 15:27:14,2024-07-05,44.0,0.18,0.04,0.16,0.1,2.0,68.0,0.20703917968749996,47.325,puts,0.008135235076597993
CSCO240705P00045000,CSCO,2024-06-04 19:01:15,2024-07-05,45.0,0.25,0.23,0.26,0.245,8.0,160.0,0.18946123046875002,47.325,puts,0.008135235076597993
CSCO240705P00046000,CSCO,2024-06-04 18:51:12,2024-07-05,46.0,0.44,0.45,0.51,0.48,13.0,86.0,0.1889729541015625,47.325,puts,0.008135235076597993
CSCO240705P00047000,CSCO,2024-06-04 19:00:17,2024-07-05,47.0,0.8,0.75,0.83,0.79,8.0,75.0,0.176766044921875,47.325,puts,0.008135235076597993
