contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CVX240607C00150000,CVX,2024-06-04 17:35:29,2024-06-07,150.0,5.95,5.55,5.8,5.675,20.0,23.0,0.33350275878906255,155.35,calls,0.00964274219504345
CVX240607C00152500,CVX,2024-06-04 18:11:13,2024-06-07,152.5,3.85,3.4,3.55,3.4749999999999996,85.0,69.0,0.274421318359375,155.35,calls,0.00964274219504345
CVX240607C00155000,CVX,2024-06-04 18:54:38,2024-06-07,155.0,1.81,1.63,1.68,1.6549999999999998,988.0,234.0,0.2304764453125,155.35,calls,0.00964274219504345
CVX240607C00157500,CVX,2024-06-04 19:03:29,2024-06-07,157.5,0.57,0.56,0.58,0.5700000000000001,2268.0,815.0,0.213875048828125,155.35,calls,0.00964274219504345
CVX240607C00160000,CVX,2024-06-04 18:47:27,2024-06-07,160.0,0.21,0.16,0.19,0.175,1422.0,2478.0,0.225593681640625,155.35,calls,0.00964274219504345
CVX240607C00162500,CVX,2024-06-04 18:39:54,2024-06-07,162.5,0.09,0.07,0.08,0.07500000000000001,415.0,2521.0,0.25391371093750004,155.35,calls,0.00964274219504345
CVX240607C00165000,CVX,2024-06-04 18:51:18,2024-06-07,165.0,0.03,0.03,0.05,0.04,193.0,1530.0,0.29688203124999996,155.35,calls,0.00964274219504345
CVX240607C00167500,CVX,2024-06-04 18:13:50,2024-06-07,167.5,0.03,0.02,0.04,0.03,18.0,340.0,0.34570966796874997,155.35,calls,0.00964274219504345
CVX240607C00170000,CVX,2024-06-04 18:22:07,2024-06-07,170.0,0.03,0.02,0.03,0.025,20.0,854.0,0.38672488281249995,155.35,calls,0.00964274219504345
CVX240607C00175000,CVX,2024-06-04 13:43:11,2024-06-07,175.0,0.01,0.01,0.02,0.015,100.0,308.0,0.4687553125,155.35,calls,0.00964274219504345
CVX240607C00177500,CVX,2024-06-04 17:35:04,2024-06-07,177.5,0.01,0.01,0.02,0.015,2.0,11.0,0.500005,155.35,calls,0.00964274219504345
CVX240607C00180000,CVX,2024-06-04 17:28:34,2024-06-07,180.0,0.01,0.0,0.01,0.005,48.0,133.0,0.523442265625,155.35,calls,0.00964274219504345
CVX240607C00182500,CVX,2024-06-04 13:48:33,2024-06-07,182.5,0.01,,,,,,0.0,155.35,calls,0.00964274219504345
CVX240607C00190000,CVX,2024-06-04 18:16:23,2024-06-07,190.0,0.69,0.0,0.68,0.34,5.0,56.0,1.111332568359375,155.35,calls,0.00964274219504345
CVX240607P00135000,CVX,2024-06-04 16:43:49,2024-06-07,135.0,0.01,0.0,0.01,0.005,82.0,346.0,0.507817421875,155.35,puts,0.00964274219504345
CVX240607P00137000,CVX,2024-06-04 15:26:25,2024-06-07,137.0,0.01,0.01,,,25.0,,0.46094289062500005,155.35,puts,0.00964274219504345
CVX240607P00142000,CVX,2024-06-04 15:25:22,2024-06-07,142.0,0.02,0.01,0.12,0.065,25.0,26.0,0.48828636718750007,155.35,puts,0.00964274219504345
CVX240607P00143000,CVX,2024-06-04 15:24:44,2024-06-07,143.0,0.02,0.01,0.03,0.02,32.0,40.0,0.3632876171875,155.35,puts,0.00964274219504345
CVX240607P00145000,CVX,2024-06-04 13:38:27,2024-06-07,145.0,0.06,0.02,0.03,0.025,1.0,101.0,0.31250687499999996,155.35,puts,0.00964274219504345
CVX240607P00146000,CVX,2024-06-04 15:45:16,2024-06-07,146.0,0.04,0.03,0.04,0.035,21.0,11.0,0.29688203124999996,155.35,puts,0.00964274219504345
CVX240607P00147000,CVX,2024-06-04 17:36:01,2024-06-07,147.0,0.05,0.04,0.05,0.045,26.0,42.0,0.27930408203124996,155.35,puts,0.00964274219504345
CVX240607P00148000,CVX,2024-06-04 14:53:59,2024-06-07,148.0,0.07,0.05,0.07,0.060000000000000005,23.0,19.0,0.266608896484375,155.35,puts,0.00964274219504345
