contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
GOOG240607C00130000,GOOG,2024-06-04 14:51:28,2024-06-07,130.0,44.19,44.05,46.1,45.075,2.0,13.0,1.89453177734375,174.15,calls,
GOOG240607C00140000,GOOG,2024-06-04 13:35:30,2024-06-07,140.0,33.81,32.7,36.1,34.400000000000006,5.0,49.0,1.142582412109375,174.15,calls,
GOOG240607C00145000,GOOG,2024-06-04 13:43:03,2024-06-07,145.0,29.12,28.0,31.1,29.55,5.0,22.0,1.0810592822265626,174.15,calls,
GOOG240607C00162500,GOOG,2024-06-04 17:01:47,2024-06-07,162.5,10.5,10.5,12.2,11.35,6.0,18.0,0.55273884765625,174.15,calls,
GOOG240607C00165000,GOOG,2024-06-04 16:57:12,2024-06-07,165.0,9.1,8.55,9.9,9.225000000000001,14.0,461.0,0.5127001855468749,174.15,calls,
GOOG240607C00167500,GOOG,2024-06-04 18:33:08,2024-06-07,167.5,7.27,6.4,7.55,6.975,80.0,235.0,0.445318046875,174.15,calls,
GOOG240607C00170000,GOOG,2024-06-04 18:56:13,2024-06-07,170.0,4.9,4.45,4.6,4.525,217.0,1331.0,0.2534254345703125,174.15,calls,
GOOG240607C00172500,GOOG,2024-06-04 19:02:02,2024-06-07,172.5,2.75,2.58,2.7,2.64,2613.0,2188.0,0.242195078125,174.15,calls,
GOOG240607C00175000,GOOG,2024-06-04 19:02:10,2024-06-07,175.0,1.31,1.27,1.31,1.29,5168.0,3446.0,0.233406103515625,174.15,calls,
GOOG240607C00177500,GOOG,2024-06-04 19:01:25,2024-06-07,177.5,0.52,0.49,0.51,0.5,3294.0,3659.0,0.22876747802734376,174.15,calls,
GOOG240607C00180000,GOOG,2024-06-04 19:02:45,2024-06-07,180.0,0.15,0.15,0.17,0.16,2299.0,4937.0,0.231452998046875,174.15,calls,
GOOG240607C00182500,GOOG,2024-06-04 18:21:40,2024-06-07,182.5,0.06,0.05,0.06,0.055,200.0,1594.0,0.24414818359375,174.15,calls,
GOOG240607C00185000,GOOG,2024-06-04 18:44:22,2024-06-07,185.0,0.03,0.01,0.03,0.02,197.0,2329.0,0.2695385546875,174.15,calls,
GOOG240607C00187500,GOOG,2024-06-04 18:44:22,2024-06-07,187.5,0.01,0.0,0.02,0.01,221.0,529.0,0.304694453125,174.15,calls,
GOOG240607C00190000,GOOG,2024-06-04 18:23:31,2024-06-07,190.0,0.01,0.0,0.01,0.005,22.0,2299.0,0.3242255078124999,174.15,calls,
GOOG240607P00145000,GOOG,2024-06-04 14:16:53,2024-06-07,145.0,0.01,0.0,0.01,0.005,6.0,678.0,0.5937540625000001,174.15,puts,
GOOG240607P00152500,GOOG,2024-06-04 14:52:39,2024-06-07,152.5,0.02,0.01,0.02,0.015,100.0,185.0,0.500005,174.15,puts,
GOOG240607P00155000,GOOG,2024-06-04 15:20:35,2024-06-07,155.0,0.02,0.01,0.02,0.015,123.0,457.0,0.46094289062500005,174.15,puts,
GOOG240607P00157500,GOOG,2024-06-04 18:32:36,2024-06-07,157.5,0.02,0.01,0.03,0.02,8.0,114.0,0.42578699218750005,174.15,puts,
GOOG240607P00160000,GOOG,2024-06-04 17:58:30,2024-06-07,160.0,0.03,0.02,0.03,0.025,22.0,873.0,0.367193828125,174.15,puts,
GOOG240607P00162500,GOOG,2024-06-04 18:17:30,2024-06-07,162.5,0.05,0.03,0.05,0.04,24.0,344.0,0.3320379296875,174.15,puts,
GOOG240607P00165000,GOOG,2024-06-04 18:57:59,2024-06-07,165.0,0.06,0.06,0.07,0.065,669.0,1578.0,0.28516339843749994,174.15,puts,
GOOG240607P00167500,GOOG,2024-06-04 19:02:02,2024-06-07,167.5,0.13,0.12,0.14,0.13,295.0,1233.0,0.25196060546875,174.15,puts,
GOOG240607P00170000,GOOG,2024-06-04 19:01:17,2024-06-07,170.0,0.34,0.38,0.4,0.39,3930.0,4635.0,0.24268335449218748,174.15,puts,
GOOG240607P00172500,GOOG,2024-06-04 19:03:15,2024-06-07,172.5,1.01,0.94,0.96,0.95,1601.0,2041.0,0.22876747802734376,174.15,puts,
GOOG240607P00175000,GOOG,2024-06-04 18:58:15,2024-06-07,175.0,1.89,1.9,1.94,1.92,1777.0,2000.0,0.2024005541992187,174.15,puts,
GOOG240607P00177500,GOOG,2024-06-04 18:30:40,2024-06-07,177.5,3.5,3.7,3.9,3.8,84.0,678.0,0.23633576171874998,174.15,puts,
GOOG240607P00180000,GOOG,2024-06-04 16:48:57,2024-06-07,180.0,5.97,5.35,6.35,5.85,12.0,308.0,0.31836619140624994,174.15,puts,
GOOG240614C00140000,GOOG,2024-06-04 13:36:01,2024-06-14,140.0,33.85,33.95,34.55,34.25,5.0,4.0,0.5937540625000001,174.15,calls,
GOOG240614C00157500,GOOG,2024-06-04 14:57:04,2024-06-14,157.5,16.65,16.5,17.1,16.8,10.0,10.0,0.4165097412109374,174.15,calls,
