contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
HD240607C00320000,HD,2024-06-04 17:26:53,2024-06-07,320.0,8.07,8.35,9.1,8.725,1.0,31.0,0.2771068383789062,328.0875,calls,0.006236141273288377
HD240607C00322500,HD,2024-06-04 17:28:35,2024-06-07,322.5,6.3,6.4,7.7,7.050000000000001,2.0,44.0,0.3200751586914062,328.0875,calls,0.006236141273288377
HD240607C00325000,HD,2024-06-04 18:53:55,2024-06-07,325.0,5.52,4.7,5.0,4.85,29.0,138.0,0.23657989990234374,328.0875,calls,0.006236141273288377
HD240607C00327500,HD,2024-06-04 19:03:36,2024-06-07,327.5,3.21,3.2,3.4,3.3,205.0,112.0,0.22632609619140626,328.0875,calls,0.006236141273288377
HD240607C00330000,HD,2024-06-04 18:59:31,2024-06-07,330.0,2.47,2.07,2.15,2.11,204.0,675.0,0.21912401977539062,328.0875,calls,0.006236141273288377
HD240607C00332500,HD,2024-06-04 19:02:01,2024-06-07,332.5,1.3,1.22,1.3,1.26,640.0,481.0,0.21790332885742186,328.0875,calls,0.006236141273288377
HD240607C00335000,HD,2024-06-04 19:02:05,2024-06-07,335.0,0.7,0.72,0.8,0.76,541.0,865.0,0.2243729907226562,328.0875,calls,0.006236141273288377
HD240607C00337500,HD,2024-06-04 18:30:00,2024-06-07,337.5,0.6,0.34,0.4,0.37,115.0,278.0,0.2192460888671875,328.0875,calls,0.006236141273288377
HD240607C00340000,HD,2024-06-04 19:02:08,2024-06-07,340.0,0.2,0.18,0.23,0.20500000000000002,354.0,830.0,0.22657023437499998,328.0875,calls,0.006236141273288377
HD240607C00342500,HD,2024-06-04 18:38:52,2024-06-07,342.5,0.17,0.12,0.18,0.15,56.0,174.0,0.249030947265625,328.0875,calls,0.006236141273288377
HD240607C00345000,HD,2024-06-04 18:46:53,2024-06-07,345.0,0.1,0.07,0.12,0.095,63.0,307.0,0.2617261328125,328.0875,calls,0.006236141273288377
HD240607C00347500,HD,2024-06-04 18:17:17,2024-06-07,347.5,0.06,0.02,0.09,0.055,36.0,65.0,0.278327529296875,328.0875,calls,0.006236141273288377
