contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
HON240607C00195000,HON,2024-06-04 13:37:01,2024-06-07,195.0,7.03,11.2,13.0,12.1,2.0,48.0,0.5732464550781251,206.985,calls,0.004976206005266082
HON240607C00200000,HON,2024-06-04 19:01:11,2024-06-07,200.0,7.53,7.2,7.7,7.45,31.0,416.0,0.35278967529296873,206.985,calls,0.004976206005266082
HON240607C00202500,HON,2024-06-04 18:17:51,2024-06-07,202.5,5.45,4.5,5.2,4.85,44.0,117.0,0.26807372558593745,206.985,calls,0.004976206005266082
HON240607C00205000,HON,2024-06-04 19:02:05,2024-06-07,205.0,3.1,2.85,3.1,2.975,113.0,247.0,0.22657023437499998,206.985,calls,0.004976206005266082
HON240607C00207500,HON,2024-06-04 19:03:21,2024-06-07,207.5,1.39,1.35,1.5,1.425,402.0,73.0,0.2016681396484375,206.985,calls,0.004976206005266082
HON240607C00210000,HON,2024-06-04 19:01:17,2024-06-07,210.0,0.65,0.5,0.65,0.575,244.0,77.0,0.2024005541992187,206.985,calls,0.004976206005266082
HON240607C00212500,HON,2024-06-04 18:47:30,2024-06-07,212.5,0.27,0.15,0.3,0.22499999999999998,45.0,11.0,0.21875781249999998,206.985,calls,0.004976206005266082
HON240607C00215000,HON,2024-06-04 18:48:52,2024-06-07,215.0,0.14,0.05,0.15,0.1,18.0,66.0,0.23926541992187497,206.985,calls,0.004976206005266082
HON240607C00222500,HON,2024-06-04 16:49:05,2024-06-07,222.5,0.12,0.05,0.45,0.25,1.0,37.0,0.50586431640625,206.985,calls,0.004976206005266082
HON240607C00225000,HON,2024-06-04 18:48:21,2024-06-07,225.0,0.08,0.05,0.15,0.1,4.0,9.0,0.44727115234375,206.985,calls,0.004976206005266082
HON240607C00227500,HON,2024-06-04 13:38:11,2024-06-07,227.5,0.05,0.05,0.15,0.1,1.0,210.0,0.49414568359375005,206.985,calls,0.004976206005266082
HON240607P00190000,HON,2024-06-04 16:18:40,2024-06-07,190.0,0.03,0.0,0.05,0.025,1.0,119.0,0.38672488281249995,206.985,puts,0.004976206005266082
HON240607P00192500,HON,2024-06-04 16:18:40,2024-06-07,192.5,0.03,0.0,0.05,0.025,21.0,20.0,0.335944140625,206.985,puts,0.004976206005266082
HON240607P00197500,HON,2024-06-04 17:21:00,2024-06-07,197.5,0.06,0.0,0.35,0.175,9.0,340.0,0.34961587890624996,206.985,puts,0.004976206005266082
HON240607P00200000,HON,2024-06-04 18:30:29,2024-06-07,200.0,0.15,0.05,0.15,0.1,13.0,140.0,0.22364057617187497,206.985,puts,0.004976206005266082
HON240607P00202500,HON,2024-06-04 18:26:03,2024-06-07,202.5,0.2,0.15,0.25,0.2,42.0,72.0,0.18360191406249998,206.985,puts,0.004976206005266082
HON240607P00205000,HON,2024-06-04 19:04:54,2024-06-07,205.0,0.7,0.7,0.8,0.75,235.0,19.0,0.1860432958984375,206.985,puts,0.004976206005266082
HON240607P00207500,HON,2024-06-04 18:28:28,2024-06-07,207.5,1.4,1.65,1.8,1.725,9.0,7.0,0.17664397583007813,206.985,puts,0.004976206005266082
HON240614C00200000,HON,2024-06-04 17:40:48,2024-06-14,200.0,8.2,7.5,7.9,7.7,22.0,76.0,0.2337723107910156,206.985,calls,0.004976206005266082
HON240614C00202500,HON,2024-06-04 18:20:59,2024-06-14,202.5,6.32,5.5,5.8,5.65,22.0,78.0,0.2148516015625,206.985,calls,0.004976206005266082
HON240614C00205000,HON,2024-06-04 16:48:05,2024-06-14,205.0,3.6,3.6,4.0,3.8,31.0,339.0,0.20325503784179685,206.985,calls,0.004976206005266082
HON240614C00207500,HON,2024-06-04 19:03:05,2024-06-14,207.5,2.54,2.25,2.45,2.35,75.0,52.0,0.18811847045898436,206.985,calls,0.004976206005266082
HON240614C00210000,HON,2024-06-04 19:03:05,2024-06-14,210.0,1.44,1.35,1.45,1.4,56.0,92.0,0.186531572265625,206.985,calls,0.004976206005266082
HON240614C00212500,HON,2024-06-04 17:22:21,2024-06-14,212.5,0.65,0.85,1.0,0.925,12.0,,0.20520814331054685,206.985,calls,0.004976206005266082
HON240614C00215000,HON,2024-06-04 18:09:28,2024-06-14,215.0,0.4,0.3,0.5,0.4,3.0,13.0,0.19898261962890623,206.985,calls,0.004976206005266082
HON240614C00240000,HON,2024-06-04 15:13:01,2024-06-14,240.0,0.06,0.0,0.5,0.25,5.0,,0.5376022802734376,206.985,calls,0.004976206005266082
HON240614P00175000,HON,2024-06-04 18:55:44,2024-06-14,175.0,0.05,0.0,0.55,0.275,2.0,15.0,0.5454147021484376,206.985,puts,0.004976206005266082
HON240614P00195000,HON,2024-06-04 16:20:06,2024-06-14,195.0,0.2,0.1,0.25,0.175,4.0,10.0,0.23242955078125,206.985,puts,0.004976206005266082
HON240614P00197500,HON,2024-06-04 14:00:48,2024-06-14,197.5,0.4,0.2,0.3,0.25,9.0,65.0,0.2024005541992187,206.985,puts,0.004976206005266082
HON240614P00200000,HON,2024-06-04 18:28:16,2024-06-14,200.0,0.36,0.35,0.5,0.425,10.0,108.0,0.18799640136718748,206.985,puts,0.004976206005266082
HON240614P00202500,HON,2024-06-04 15:24:05,2024-06-14,202.5,0.75,0.7,0.85,0.7749999999999999,3.0,55.0,0.17432466308593753,206.985,puts,0.004976206005266082
HON240614P00205000,HON,2024-06-04 18:47:59,2024-06-14,205.0,1.2,1.5,1.65,1.575,47.0,26.0,0.17664397583007813,206.985,puts,0.004976206005266082
HON240621C00185000,HON,2024-06-04 14:31:43,2024-06-21,185.0,21.5,22.1,24.8,23.450000000000003,1.0,140.0,0.5927775097656252,206.985,calls,0.004976206005266082
HON240621C00190000,HON,2024-06-04 18:48:07,2024-06-21,190.0,18.45,17.3,18.1,17.700000000000003,11.0,390.0,0.3562076098632812,206.985,calls,0.004976206005266082
HON240621C00195000,HON,2024-06-04 17:18:44,2024-06-21,195.0,12.7,12.8,13.6,13.2,13.0,748.0,0.32117378051757806,206.985,calls,0.004976206005266082
HON240621C00197500,HON,2024-06-04 13:46:07,2024-06-21,197.5,7.2,10.4,11.1,10.75,6.0,19.0,0.278327529296875,206.985,calls,0.004976206005266082
HON240621C00200000,HON,2024-06-04 18:50:00,2024-06-21,200.0,9.0,8.3,8.6,8.45,30.0,1580.0,0.23401644897460935,206.985,calls,0.004976206005266082
HON240621C00202500,HON,2024-06-04 17:50:17,2024-06-21,202.5,6.4,6.3,6.6,6.449999999999999,34.0,341.0,0.21826953613281247,206.985,calls,0.004976206005266082
HON240621C00205000,HON,2024-06-04 19:00:10,2024-06-21,205.0,4.94,4.3,4.6,4.449999999999999,71.0,1053.0,0.19275709594726562,206.985,calls,0.004976206005266082
HON240621C00207500,HON,2024-06-04 19:01:03,2024-06-21,207.5,3.3,2.95,3.2,3.075,171.0,294.0,0.18799640136718748,206.985,calls,0.004976206005266082
HON240621C00210000,HON,2024-06-04 19:04:52,2024-06-21,210.0,1.85,1.85,2.0,1.925,167.0,7846.0,0.17810880493164064,206.985,calls,0.004976206005266082
HON240621C00212500,HON,2024-06-04 18:39:22,2024-06-21,212.5,1.35,1.05,1.25,1.15,34.0,47.0,0.17762052856445312,206.985,calls,0.004976206005266082
