contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
JPM240607C00175000,JPM,2024-06-04 18:32:12,2024-06-07,175.0,24.37,23.2,25.0,24.1,1.0,1.0,0.6210975390625001,199.0,calls,0.005150753768844222
JPM240607C00190000,JPM,2024-06-04 15:14:02,2024-06-07,190.0,9.4,8.15,9.55,8.850000000000001,1.0,84.0,0.401373173828125,199.0,calls,0.005150753768844222
JPM240607C00192500,JPM,2024-06-04 17:17:56,2024-06-07,192.5,6.82,6.6,7.0,6.8,23.0,272.0,0.31055376953124997,199.0,calls,0.005150753768844222
JPM240607C00195000,JPM,2024-06-04 18:01:22,2024-06-07,195.0,4.7,3.9,4.35,4.125,45.0,692.0,0.19873848144531248,199.0,calls,0.005150753768844222
JPM240607C00197500,JPM,2024-06-04 19:02:38,2024-06-07,197.5,2.4,2.3,2.35,2.325,1276.0,1180.0,0.179695703125,199.0,calls,0.005150753768844222
JPM240607C00200000,JPM,2024-06-04 19:04:21,2024-06-07,200.0,1.03,1.05,1.04,1.045,6526.0,3989.0,0.17896328857421873,199.0,calls,0.005150753768844222
JPM240607C00202500,JPM,2024-06-04 18:58:51,2024-06-07,202.5,0.39,0.36,0.37,0.365,3257.0,2740.0,0.18164880859375,199.0,calls,0.005150753768844222
JPM240607C00205000,JPM,2024-06-04 19:03:53,2024-06-07,205.0,0.1,0.1,0.11,0.10500000000000001,2329.0,3773.0,0.186531572265625,199.0,calls,0.005150753768844222
JPM240607C00207500,JPM,2024-06-04 18:59:20,2024-06-07,207.5,0.03,0.03,0.04,0.035,235.0,891.0,0.20313296874999998,199.0,calls,0.005150753768844222
JPM240607C00210000,JPM,2024-06-04 15:52:11,2024-06-07,210.0,0.01,0.01,0.02,0.015,116.0,2490.0,0.22657023437499998,199.0,calls,0.005150753768844222
JPM240607C00212500,JPM,2024-06-04 16:01:23,2024-06-07,212.5,0.01,0.0,0.1,0.05,10.0,42.0,0.3437565625,199.0,calls,0.005150753768844222
JPM240607C00215000,JPM,2024-06-04 14:38:54,2024-06-07,215.0,0.01,0.0,0.01,0.005,9.0,321.0,0.2890696093749999,199.0,calls,0.005150753768844222
JPM240607P00165000,JPM,2024-06-04 16:57:13,2024-06-07,165.0,0.01,0.0,0.01,0.005,1.0,2278.0,0.5937540625000001,199.0,puts,0.005150753768844222
JPM240607P00170000,JPM,2024-06-04 18:51:51,2024-06-07,170.0,0.01,0.01,0.02,0.015,631.0,1694.0,0.570316796875,199.0,puts,0.005150753768844222
JPM240607P00172500,JPM,2024-06-04 17:27:41,2024-06-07,172.5,0.01,0.01,0.03,0.02,306.0,62.0,0.5429733203125001,199.0,puts,0.005150753768844222
JPM240607P00175000,JPM,2024-06-04 18:51:24,2024-06-07,175.0,0.02,0.01,0.03,0.02,100.0,350.0,0.51562984375,199.0,puts,0.005150753768844222
JPM240607P00177500,JPM,2024-06-04 14:55:36,2024-06-07,177.5,0.03,0.02,0.03,0.025,22.0,408.0,0.46484910156250003,199.0,puts,0.005150753768844222
JPM240607P00180000,JPM,2024-06-04 18:53:36,2024-06-07,180.0,0.03,0.02,0.04,0.03,37.0,672.0,0.4335994140625,199.0,puts,0.005150753768844222
JPM240607P00182500,JPM,2024-06-04 18:54:41,2024-06-07,182.5,0.04,0.04,0.05,0.045,98.0,602.0,0.39258419921875,199.0,puts,0.005150753768844222
JPM240607P00185000,JPM,2024-06-04 18:17:15,2024-06-07,185.0,0.06,0.06,0.06,0.06,32.0,802.0,0.34961587890624996,199.0,puts,0.005150753768844222
JPM240607P00187500,JPM,2024-06-04 18:24:27,2024-06-07,187.5,0.07,0.08,0.09,0.08499999999999999,36.0,254.0,0.31445998046874996,199.0,puts,0.005150753768844222
JPM240607P00190000,JPM,2024-06-04 18:44:03,2024-06-07,190.0,0.1,0.11,0.12,0.11499999999999999,144.0,802.0,0.27149166015625,199.0,puts,0.005150753768844222
JPM240607P00192500,JPM,2024-06-04 19:03:12,2024-06-07,192.5,0.19,0.18,0.19,0.185,249.0,2086.0,0.23242955078125,199.0,puts,0.005150753768844222
JPM240607P00195000,JPM,2024-06-04 18:58:12,2024-06-07,195.0,0.37,0.41,0.42,0.415,2066.0,1573.0,0.2104571142578125,199.0,puts,0.005150753768844222
JPM240607P00197500,JPM,2024-06-04 19:03:36,2024-06-07,197.5,1.03,1.02,1.05,1.0350000000000001,2028.0,1401.0,0.2043536596679687,199.0,puts,0.005150753768844222
JPM240607P00200000,JPM,2024-06-04 19:04:21,2024-06-07,200.0,2.28,2.22,2.27,2.245,1745.0,2204.0,0.2063067651367187,199.0,puts,0.005150753768844222
JPM240607P00202500,JPM,2024-06-04 18:08:13,2024-06-07,202.5,3.75,4.05,4.25,4.15,135.0,501.0,0.242195078125,199.0,puts,0.005150753768844222
JPM240607P00205000,JPM,2024-06-04 18:37:26,2024-06-07,205.0,6.05,6.1,6.35,6.225,9.0,111.0,0.2507399145507812,199.0,puts,0.005150753768844222
JPM240607P00207500,JPM,2024-06-04 14:49:51,2024-06-07,207.5,6.88,8.35,9.35,8.85,1.0,0.0,0.424810439453125,199.0,puts,0.005150753768844222
JPM240614C00190000,JPM,2024-06-04 15:53:04,2024-06-14,190.0,9.65,9.4,9.65,9.525,14.0,122.0,0.2551344018554688,199.0,calls,0.005150753768844222
JPM240614C00192500,JPM,2024-06-04 18:03:16,2024-06-14,192.5,7.8,7.1,7.35,7.225,50.0,33.0,0.2268143725585937,199.0,calls,0.005150753768844222
JPM240614C00195000,JPM,2024-06-04 18:51:47,2024-06-14,195.0,5.65,5.15,5.35,5.25,47.0,317.0,0.21497367065429687,199.0,calls,0.005150753768844222
JPM240614C00197500,JPM,2024-06-04 18:58:00,2024-06-14,197.5,3.64,3.45,3.55,3.5,232.0,65.0,0.19959296508789062,199.0,calls,0.005150753768844222
JPM240614C00200000,JPM,2024-06-04 19:00:06,2024-06-14,200.0,2.24,2.15,2.19,2.17,887.0,1442.0,0.1928791650390625,199.0,calls,0.005150753768844222
JPM240614C00202500,JPM,2024-06-04 19:02:35,2024-06-14,202.5,1.21,1.19,1.22,1.205,780.0,1420.0,0.187508125,199.0,calls,0.005150753768844222
JPM240614C00205000,JPM,2024-06-04 18:57:45,2024-06-14,205.0,0.65,0.61,0.63,0.62,925.0,3877.0,0.1860432958984375,199.0,calls,0.005150753768844222
JPM240614C00207500,JPM,2024-06-04 18:57:52,2024-06-14,207.5,0.3,0.27,0.29,0.28,46.0,478.0,0.1840901904296875,199.0,calls,0.005150753768844222
JPM240614C00210000,JPM,2024-06-04 18:39:17,2024-06-14,210.0,0.16,0.12,0.14,0.13,146.0,3318.0,0.188484677734375,199.0,calls,0.005150753768844222
JPM240614C00212500,JPM,2024-06-04 16:45:00,2024-06-14,212.5,0.08,0.05,0.07,0.060000000000000005,19.0,40.0,0.195320546875,199.0,calls,0.005150753768844222
JPM240614C00215000,JPM,2024-06-04 17:47:35,2024-06-14,215.0,0.04,0.03,0.04,0.035,92.0,575.0,0.20606262695312497,199.0,calls,0.005150753768844222
JPM240614C00217500,JPM,2024-06-04 14:50:28,2024-06-14,217.5,0.03,0.02,0.03,0.025,7.0,16.0,0.22266402343749997,199.0,calls,0.005150753768844222
JPM240614C00220000,JPM,2024-06-04 13:40:11,2024-06-14,220.0,0.03,0.01,0.03,0.02,1.0,126.0,0.24805439453125,199.0,calls,0.005150753768844222
JPM240614C00230000,JPM,2024-06-04 15:00:24,2024-06-14,230.0,0.01,0.0,0.05,0.025,3.0,66.0,0.3632876171875,199.0,calls,0.005150753768844222
JPM240614P00165000,JPM,2024-06-04 18:38:30,2024-06-14,165.0,0.05,0.04,0.05,0.045,17.0,3023.0,0.46484910156250003,199.0,puts,0.005150753768844222
JPM240614P00170000,JPM,2024-06-04 16:44:16,2024-06-14,170.0,0.09,0.07,0.08,0.07500000000000001,13.0,126.0,0.42578699218750005,199.0,puts,0.005150753768844222
JPM240614P00175000,JPM,2024-06-04 18:00:39,2024-06-14,175.0,0.11,0.1,0.11,0.10500000000000001,2.0,1191.0,0.37500625,199.0,puts,0.005150753768844222
JPM240614P00177500,JPM,2024-06-04 18:11:00,2024-06-14,177.5,0.14,0.13,0.14,0.135,13.0,42.0,0.35352208984374994,199.0,puts,0.005150753768844222
JPM240614P00180000,JPM,2024-06-04 16:22:14,2024-06-14,180.0,0.2,0.16,0.17,0.165,38.0,381.0,0.32813171874999997,199.0,puts,0.005150753768844222
JPM240614P00182500,JPM,2024-06-04 17:17:31,2024-06-14,182.5,0.22,0.2,0.21,0.20500000000000002,32.0,35.0,0.30322962402343745,199.0,puts,0.005150753768844222
JPM240614P00185000,JPM,2024-06-04 18:37:17,2024-06-14,185.0,0.25,0.24,0.25,0.245,43.0,824.0,0.274421318359375,199.0,puts,0.005150753768844222
JPM240614P00187500,JPM,2024-06-04 17:18:49,2024-06-14,187.5,0.34,0.31,0.32,0.315,20.0,855.0,0.2485426708984375,199.0,puts,0.005150753768844222
JPM240614P00190000,JPM,2024-06-04 19:04:32,2024-06-14,190.0,0.48,0.46,0.48,0.47,170.0,706.0,0.23072058349609376,199.0,puts,0.005150753768844222
JPM240614P00192500,JPM,2024-06-04 19:02:13,2024-06-14,192.5,0.7,0.72,0.73,0.725,78.0,354.0,0.21289849609375,199.0,puts,0.005150753768844222
JPM240614P00195000,JPM,2024-06-04 18:31:16,2024-06-14,195.0,1.09,1.15,1.17,1.16,560.0,1220.0,0.19873848144531248,199.0,puts,0.005150753768844222
JPM240614P00197500,JPM,2024-06-04 19:03:32,2024-06-14,197.5,1.98,1.92,1.96,1.94,173.0,533.0,0.19214675048828128,199.0,puts,0.005150753768844222
JPM240614P00200000,JPM,2024-06-04 18:46:01,2024-06-14,200.0,2.84,3.05,3.2,3.125,368.0,733.0,0.1928791650390625,199.0,puts,0.005150753768844222
JPM240614P00202500,JPM,2024-06-04 18:14:17,2024-06-14,202.5,4.45,4.6,4.75,4.675,45.0,92.0,0.18921709228515626,199.0,puts,0.005150753768844222
JPM240614P00205000,JPM,2024-06-04 17:31:52,2024-06-14,205.0,6.23,6.5,6.75,6.625,58.0,245.0,0.1977619287109375,199.0,puts,0.005150753768844222
JPM240614P00210000,JPM,2024-06-04 19:04:04,2024-06-14,210.0,11.4,11.15,11.7,11.425,85.0,84.0,0.28247787841796873,199.0,puts,0.005150753768844222
JPM240621C00130000,JPM,2024-06-04 17:01:35,2024-06-21,130.0,69.35,68.95,69.45,69.2,2.0,3370.0,0.91211025390625,199.0,calls,0.005150753768844222
JPM240621C00160000,JPM,2024-06-04 16:08:20,2024-06-21,160.0,39.01,39.0,39.45,39.225,1.0,6477.0,0.5200243310546875,199.0,calls,0.005150753768844222
JPM240621C00165000,JPM,2024-06-04 18:30:38,2024-06-21,165.0,34.81,33.95,34.6,34.275000000000006,61.0,5665.0,0.551762294921875,199.0,calls,0.005150753768844222
