contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
META240607C00340000,META,2024-06-04 14:35:29,2024-06-07,340.0,134.98,136.4,137.5,136.95,4.0,4.0,1.6171894140625,476.36,calls,0.0010496263330254428
META240607C00400000,META,2024-06-04 15:52:02,2024-06-07,400.0,75.34,77.25,78.3,77.775,1.0,120.0,1.1001021557617188,476.36,calls,0.0010496263330254428
META240607C00420000,META,2024-06-04 14:28:54,2024-06-07,420.0,54.97,57.1,58.0,57.55,2.0,46.0,0.8164080859374999,476.36,calls,0.0010496263330254428
META240607C00430000,META,2024-06-04 18:35:21,2024-06-07,430.0,48.7,46.6,47.65,47.125,1.0,145.0,0.6281775463867189,476.36,calls,0.0010496263330254428
META240607C00435000,META,2024-06-04 17:39:41,2024-06-07,435.0,40.29,41.65,42.7,42.175,75.0,1084.0,0.5795940478515625,476.36,calls,0.0010496263330254428
META240607C00440000,META,2024-06-04 17:39:41,2024-06-07,440.0,35.39,36.6,37.5,37.05,77.0,691.0,0.5024463818359376,476.36,calls,0.0010496263330254428
META240607C00445000,META,2024-06-04 18:15:28,2024-06-07,445.0,32.72,32.45,33.5,32.975,14.0,495.0,0.5576216113281252,476.36,calls,0.0010496263330254428
META240607C00447500,META,2024-06-04 16:48:10,2024-06-07,447.5,29.9,29.1,30.1,29.6,4.0,57.0,0.48560084716796875,476.36,calls,0.0010496263330254428
META240607C00450000,META,2024-06-04 18:43:41,2024-06-07,450.0,29.0,26.85,27.4,27.125,53.0,528.0,0.4318904467773438,476.36,calls,0.0010496263330254428
META240607C00455000,META,2024-06-04 18:31:08,2024-06-07,455.0,24.03,22.05,22.6,22.325000000000003,5.0,678.0,0.3895324719238281,476.36,calls,0.0010496263330254428
META240607C00457500,META,2024-06-04 18:50:28,2024-06-07,457.5,22.08,19.7,20.25,19.975,18.0,365.0,0.3702455554199219,476.36,calls,0.0010496263330254428
META240607C00460000,META,2024-06-04 18:50:28,2024-06-07,460.0,19.68,17.75,17.8,17.775,112.0,1166.0,0.3402165588378906,476.36,calls,0.0010496263330254428
META240607C00462500,META,2024-06-04 18:56:46,2024-06-07,462.5,16.95,15.95,16.3,16.125,50.0,858.0,0.37720349365234374,476.36,calls,0.0010496263330254428
META240607C00465000,META,2024-06-04 19:03:36,2024-06-07,465.0,13.37,13.0,13.45,13.225,135.0,928.0,0.3143379113769531,476.36,calls,0.0010496263330254428
META240607C00467500,META,2024-06-04 18:47:47,2024-06-07,467.5,12.9,11.3,11.45,11.375,153.0,705.0,0.30493859130859374,476.36,calls,0.0010496263330254428
META240607C00470000,META,2024-06-04 19:00:24,2024-06-07,470.0,10.39,9.65,9.85,9.75,511.0,2927.0,0.31140825317382803,476.36,calls,0.0010496263330254428
META240607C00472500,META,2024-06-04 19:03:12,2024-06-07,472.5,7.7,7.8,8.0,7.9,660.0,1136.0,0.29621065124511714,476.36,calls,0.0010496263330254428
META240607C00475000,META,2024-06-04 19:03:00,2024-06-07,475.0,6.55,6.4,6.6,6.5,3925.0,3953.0,0.2967599621582031,476.36,calls,0.0010496263330254428
META240607C00477500,META,2024-06-04 19:03:45,2024-06-07,477.5,5.08,4.85,5.0,4.925,2613.0,1186.0,0.2786937365722656,476.36,calls,0.0010496263330254428
META240607C00480000,META,2024-06-04 19:04:00,2024-06-07,480.0,4.03,3.9,4.05,3.9749999999999996,7346.0,4794.0,0.2846751220703124,476.36,calls,0.0010496263330254428
META240607C00482500,META,2024-06-04 19:03:43,2024-06-07,482.5,3.04,2.96,3.05,3.005,1655.0,1455.0,0.27930408203124996,476.36,calls,0.0010496263330254428
META240607C00485000,META,2024-06-04 19:02:54,2024-06-07,485.0,2.3,2.25,2.32,2.285,4059.0,2635.0,0.27967028930664056,476.36,calls,0.0010496263330254428
META240607C00487500,META,2024-06-04 19:02:16,2024-06-07,487.5,1.69,1.64,1.77,1.705,641.0,905.0,0.2825999475097656,476.36,calls,0.0010496263330254428
META240607C00490000,META,2024-06-04 19:03:25,2024-06-07,490.0,1.21,1.26,1.31,1.2850000000000001,2901.0,3310.0,0.2834544311523437,476.36,calls,0.0010496263330254428
META240607C00495000,META,2024-06-04 19:02:15,2024-06-07,495.0,0.65,0.64,0.69,0.665,1804.0,2772.0,0.28626202026367187,476.36,calls,0.0010496263330254428
META240607C00500000,META,2024-06-04 19:01:41,2024-06-07,500.0,0.38,0.34,0.36,0.35,2118.0,8109.0,0.2919992675781249,476.36,calls,0.0010496263330254428
META240607C00505000,META,2024-06-04 18:57:44,2024-06-07,505.0,0.21,0.19,0.22,0.20500000000000002,491.0,1697.0,0.30811238769531246,476.36,calls,0.0010496263330254428
META240607C00510000,META,2024-06-04 18:56:43,2024-06-07,510.0,0.12,0.11,0.13,0.12,170.0,2357.0,0.32129584960937496,476.36,calls,0.0010496263330254428
META240607C00515000,META,2024-06-04 18:45:55,2024-06-07,515.0,0.08,0.05,0.07,0.060000000000000005,52.0,1231.0,0.32910827148437494,476.36,calls,0.0010496263330254428
META240607C00520000,META,2024-06-04 17:52:43,2024-06-07,520.0,0.03,0.03,0.05,0.04,32.0,1101.0,0.34961587890624996,476.36,calls,0.0010496263330254428
META240607C00525000,META,2024-06-04 18:53:01,2024-06-07,525.0,0.04,0.02,0.04,0.03,87.0,589.0,0.37305314453125,476.36,calls,0.0010496263330254428
META240607C00530000,META,2024-06-04 18:26:53,2024-06-07,530.0,0.01,0.01,0.03,0.02,134.0,1228.0,0.39063109375,476.36,calls,0.0010496263330254428
META240607C00535000,META,2024-06-04 15:52:13,2024-06-07,535.0,0.01,0.01,0.03,0.02,117.0,432.0,0.42188078125,476.36,calls,0.0010496263330254428
META240607C00540000,META,2024-06-04 13:30:00,2024-06-07,540.0,0.04,0.0,0.03,0.015,1.0,441.0,0.45313046875,476.36,calls,0.0010496263330254428
META240607C00545000,META,2024-06-04 17:55:47,2024-06-07,545.0,0.01,0.01,0.03,0.02,216.0,271.0,0.4804739453125,476.36,calls,0.0010496263330254428
META240607C00550000,META,2024-06-04 14:26:55,2024-06-07,550.0,0.01,0.0,0.03,0.015,7.0,513.0,0.5117236328125,476.36,calls,0.0010496263330254428
META240607C00570000,META,2024-06-04 17:24:05,2024-06-07,570.0,0.02,0.0,0.02,0.01,6.0,256.0,0.5625043750000001,476.36,calls,0.0010496263330254428
META240607P00180000,META,2024-06-04 14:06:17,2024-06-07,180.0,0.01,0.0,0.01,0.005,10.0,104.0,2.68750328125,476.36,puts,0.0010496263330254428
META240607P00335000,META,2024-06-04 15:46:56,2024-06-07,335.0,0.01,0.0,0.02,0.01,1.0,314.0,1.0625046875000002,476.36,puts,0.0010496263330254428
META240607P00345000,META,2024-06-04 15:47:08,2024-06-07,345.0,0.01,0.0,0.02,0.01,1.0,27.0,0.98437515625,476.36,puts,0.0010496263330254428
META240607P00360000,META,2024-06-04 17:05:10,2024-06-07,360.0,0.01,0.0,0.02,0.01,10.0,164.0,0.85937640625,476.36,puts,0.0010496263330254428
META240607P00375000,META,2024-06-04 13:47:26,2024-06-07,375.0,0.01,0.0,0.01,0.005,1.0,418.0,0.70312796875,476.36,puts,0.0010496263330254428
META240607P00390000,META,2024-06-04 18:53:45,2024-06-07,390.0,0.01,0.01,0.02,0.015,20.0,714.0,0.6562534375000001,476.36,puts,0.0010496263330254428
META240607P00395000,META,2024-06-04 18:48:08,2024-06-07,395.0,0.01,0.0,0.02,0.01,61.0,674.0,0.5937540625000001,476.36,puts,0.0010496263330254428
META240607P00400000,META,2024-06-04 19:02:03,2024-06-07,400.0,0.03,0.01,0.03,0.02,105.0,1217.0,0.5937540625000001,476.36,puts,0.0010496263330254428
META240607P00405000,META,2024-06-04 14:46:20,2024-06-07,405.0,0.02,0.01,0.02,0.015,245.0,446.0,0.5390671093750001,476.36,puts,0.0010496263330254428
META240607P00410000,META,2024-06-04 17:43:11,2024-06-07,410.0,0.02,0.02,0.03,0.025,54.0,652.0,0.5273484765625001,476.36,puts,0.0010496263330254428
META240607P00415000,META,2024-06-04 18:45:03,2024-06-07,415.0,0.02,0.03,0.04,0.035,55.0,1783.0,0.507817421875,476.36,puts,0.0010496263330254428
