contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MS240607C00087000,MS,2024-06-04 14:43:39,2024-06-07,87.0,10.37,9.2,11.05,10.125,4.0,5.0,0.92773509765625,96.47,calls,0.008189074323623924
MS240607C00094000,MS,2024-06-04 18:46:46,2024-06-07,94.0,3.08,2.53,2.83,2.6799999999999997,9.0,68.0,0.305671005859375,96.47,calls,0.008189074323623924
MS240607C00095000,MS,2024-06-04 13:31:00,2024-06-07,95.0,1.6,1.82,1.97,1.895,3.0,34.0,0.2700268310546875,96.47,calls,0.008189074323623924
MS240607C00096000,MS,2024-06-04 18:35:41,2024-06-07,96.0,1.22,1.18,1.19,1.185,47.0,167.0,0.2329178271484375,96.47,calls,0.008189074323623924
MS240607C00097000,MS,2024-06-04 18:59:52,2024-06-07,97.0,0.73,0.67,0.69,0.6799999999999999,154.0,415.0,0.2304764453125,96.47,calls,0.008189074323623924
MS240607C00098000,MS,2024-06-04 18:42:26,2024-06-07,98.0,0.39,0.32,0.34,0.33,297.0,672.0,0.22364057617187497,96.47,calls,0.008189074323623924
MS240607C00099000,MS,2024-06-04 18:18:14,2024-06-07,99.0,0.15,0.15,0.16,0.155,102.0,662.0,0.225593681640625,96.47,calls,0.008189074323623924
MS240607C00100000,MS,2024-06-04 18:53:53,2024-06-07,100.0,0.09,0.06,0.08,0.07,189.0,938.0,0.23633576171874998,96.47,calls,0.008189074323623924
MS240607C00101000,MS,2024-06-04 14:25:05,2024-06-07,101.0,0.08,0.03,0.04,0.035,11.0,329.0,0.24805439453125,96.47,calls,0.008189074323623924
MS240607C00103000,MS,2024-06-04 18:19:58,2024-06-07,103.0,0.02,0.01,0.02,0.015,28.0,101.0,0.29688203124999996,96.47,calls,0.008189074323623924
MS240607C00107000,MS,2024-06-04 14:59:20,2024-06-07,107.0,0.01,0.0,2.13,1.065,2.0,4.0,1.0605515722656251,96.47,calls,0.008189074323623924
MS240607C00108000,MS,2024-06-04 14:50:27,2024-06-07,108.0,0.01,0.0,0.02,0.01,17.0,26.0,0.476567734375,96.47,calls,0.008189074323623924
MS240607C00109000,MS,2024-06-04 14:35:12,2024-06-07,109.0,0.02,0.0,0.01,0.005,20.0,8.0,0.4687553125,96.47,calls,0.008189074323623924
MS240607P00079000,MS,2024-06-04 16:45:26,2024-06-07,79.0,0.01,0.0,0.02,0.01,37.0,218.0,0.73437765625,96.47,puts,0.008189074323623924
