contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NEE240607C00067000,NEE,2024-06-04 15:37:30,2024-06-07,67.0,9.7,10.3,11.55,10.925,1.0,1.0,1.15234798828125,77.4381,calls,0.005942811096863171
NEE240607C00070000,NEE,2024-06-04 19:02:59,2024-06-07,70.0,7.4,7.05,7.55,7.3,3.0,7.0,0.6074258007812501,77.4381,calls,0.005942811096863171
NEE240607C00071000,NEE,2024-06-04 14:55:11,2024-06-07,71.0,5.85,6.0,6.95,6.475,192.0,1.0,0.8164080859374999,77.4381,calls,0.005942811096863171
NEE240607C00075000,NEE,2024-06-04 15:46:49,2024-06-07,75.0,1.96,2.36,2.73,2.545,40.0,19.0,0.348639326171875,77.4381,calls,0.005942811096863171
NEE240607C00076000,NEE,2024-06-04 18:40:55,2024-06-07,76.0,1.89,1.54,1.79,1.665,96.0,41.0,0.278327529296875,77.4381,calls,0.005942811096863171
NEE240607C00077000,NEE,2024-06-04 18:52:36,2024-06-07,77.0,1.21,1.02,1.06,1.04,41.0,56.0,0.25489026367187506,77.4381,calls,0.005942811096863171
NEE240607C00078000,NEE,2024-06-04 18:38:37,2024-06-07,78.0,0.64,0.54,0.58,0.56,184.0,437.0,0.25586681640625003,77.4381,calls,0.005942811096863171
NEE240607C00079000,NEE,2024-06-04 19:00:21,2024-06-07,79.0,0.3,0.27,0.31,0.29000000000000004,108.0,318.0,0.2690502783203125,77.4381,calls,0.005942811096863171
NEE240607C00080000,NEE,2024-06-04 19:01:25,2024-06-07,80.0,0.13,0.11,0.14,0.125,57.0,892.0,0.27149166015625,77.4381,calls,0.005942811096863171
NEE240607C00081000,NEE,2024-06-04 16:28:41,2024-06-07,81.0,0.05,0.05,0.07,0.060000000000000005,13.0,6140.0,0.28711650390624993,77.4381,calls,0.005942811096863171
NEE240607C00082000,NEE,2024-06-04 13:41:04,2024-06-07,82.0,0.03,0.01,0.07,0.04,3.0,291.0,0.34570966796874997,77.4381,calls,0.005942811096863171
NEE240607C00084000,NEE,2024-06-04 13:55:59,2024-06-07,84.0,0.02,0.01,1.28,0.645,3.0,37.0,0.8242205078124999,77.4381,calls,0.005942811096863171
NEE240607C00085000,NEE,2024-06-04 14:21:05,2024-06-07,85.0,0.06,0.01,0.19,0.1,1.0,14.0,0.5449264257812501,77.4381,calls,0.005942811096863171
NEE240607C00086000,NEE,2024-06-04 13:56:45,2024-06-07,86.0,0.01,0.01,1.28,0.645,3.0,3.0,0.9687503125,77.4381,calls,0.005942811096863171
NEE240607C00087000,NEE,2024-06-04 15:53:07,2024-06-07,87.0,0.02,0.01,1.0,0.505,19.0,20.0,0.9609378906249999,77.4381,calls,0.005942811096863171
NEE240607P00060000,NEE,2024-06-04 15:50:18,2024-06-07,60.0,0.01,0.0,0.5,0.25,1.0,18.0,1.5195336523437497,77.4381,puts,0.005942811096863171
NEE240607P00061000,NEE,2024-06-04 16:37:38,2024-06-07,61.0,0.01,0.0,0.01,0.005,14.0,16.0,0.8125018749999999,77.4381,puts,0.005942811096863171
NEE240607P00062000,NEE,2024-06-04 13:55:55,2024-06-07,62.0,0.02,0.01,0.03,0.02,25.0,39.0,0.8984385156249999,77.4381,puts,0.005942811096863171
NEE240607P00065000,NEE,2024-06-04 13:33:01,2024-06-07,65.0,0.03,0.01,0.04,0.025,8.0,280.0,0.7500025,77.4381,puts,0.005942811096863171
NEE240607P00071000,NEE,2024-06-04 17:20:46,2024-06-07,71.0,0.06,0.01,0.1,0.055,1.0,396.0,0.52539537109375,77.4381,puts,0.005942811096863171
NEE240607P00072000,NEE,2024-06-04 15:13:44,2024-06-07,72.0,0.07,0.04,0.08,0.06,2.0,37.0,0.43555251953125,77.4381,puts,0.005942811096863171
NEE240607P00073000,NEE,2024-06-04 14:45:40,2024-06-07,73.0,0.08,0.04,0.1,0.07,1.0,227.0,0.38867798828125,77.4381,puts,0.005942811096863171
NEE240607P00074000,NEE,2024-06-04 18:20:35,2024-06-07,74.0,0.12,0.07,0.12,0.095,16.0,2046.0,0.33399103515625,77.4381,puts,0.005942811096863171
NEE240607P00075000,NEE,2024-06-04 18:57:54,2024-06-07,75.0,0.17,0.16,0.38,0.27,24.0,226.0,0.387701435546875,77.4381,puts,0.005942811096863171
NEE240607P00076000,NEE,2024-06-04 18:58:34,2024-06-07,76.0,0.33,0.34,0.37,0.355,326.0,482.0,0.28565167480468745,77.4381,puts,0.005942811096863171
NEE240607P00077000,NEE,2024-06-04 18:46:19,2024-06-07,77.0,0.65,0.67,0.71,0.69,50.0,306.0,0.28321029296874994,77.4381,puts,0.005942811096863171
NEE240607P00078000,NEE,2024-06-04 18:25:44,2024-06-07,78.0,1.11,1.17,1.22,1.1949999999999998,46.0,246.0,0.28076891113281244,77.4381,puts,0.005942811096863171
NEE240614C00074000,NEE,2024-06-04 16:16:50,2024-06-14,74.0,3.42,3.75,4.55,4.15,1.0,17.0,0.4687553125,77.4381,calls,0.005942811096863171
NEE240614C00076000,NEE,2024-06-04 18:33:02,2024-06-14,76.0,2.49,2.35,2.44,2.395,32.0,1439.0,0.3051827294921875,77.4381,calls,0.005942811096863171
NEE240614C00077000,NEE,2024-06-04 17:42:36,2024-06-14,77.0,1.93,1.76,1.81,1.7850000000000001,10.0,2573.0,0.29566134033203123,77.4381,calls,0.005942811096863171
