contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ORCL240607C00111000,ORCL,2024-06-04 18:56:12,2024-06-07,111.0,9.02,8.35,9.1,8.725,1.0,35.0,0.459966337890625,119.975,calls,0.003000625130235466
ORCL240607C00114000,ORCL,2024-06-04 17:43:12,2024-06-07,114.0,5.57,5.85,6.25,6.05,13.0,253.0,0.40479110839843746,119.975,calls,0.003000625130235466
ORCL240607C00115000,ORCL,2024-06-04 18:00:31,2024-06-07,115.0,4.85,4.95,5.35,5.15,46.0,655.0,0.39111937011718745,119.975,calls,0.003000625130235466
ORCL240607C00116000,ORCL,2024-06-04 13:44:03,2024-06-07,116.0,3.65,3.95,4.3,4.125,1.0,622.0,0.3198310205078124,119.975,calls,0.003000625130235466
ORCL240607C00117000,ORCL,2024-06-04 18:56:34,2024-06-07,117.0,3.2,3.05,3.25,3.15,440.0,753.0,0.249030947265625,119.975,calls,0.003000625130235466
ORCL240607C00118000,ORCL,2024-06-04 19:01:47,2024-06-07,118.0,2.34,2.24,2.38,2.31,489.0,479.0,0.22705851074218747,119.975,calls,0.003000625130235466
ORCL240607C00119000,ORCL,2024-06-04 19:03:12,2024-06-07,119.0,1.55,1.54,1.57,1.5550000000000002,301.0,702.0,0.20215641601562498,119.975,calls,0.003000625130235466
ORCL240607C00120000,ORCL,2024-06-04 19:01:47,2024-06-07,120.0,1.04,0.99,1.02,1.005,1075.0,3906.0,0.20606262695312497,119.975,calls,0.003000625130235466
ORCL240607C00121000,ORCL,2024-06-04 18:51:40,2024-06-07,121.0,0.66,0.59,0.64,0.615,331.0,1059.0,0.213875048828125,119.975,calls,0.003000625130235466
ORCL240607C00122000,ORCL,2024-06-04 19:00:03,2024-06-07,122.0,0.33,0.33,0.37,0.35,240.0,411.0,0.2172929833984375,119.975,calls,0.003000625130235466
ORCL240607C00123000,ORCL,2024-06-04 18:39:45,2024-06-07,123.0,0.22,0.18,0.21,0.195,72.0,696.0,0.22364057617187497,119.975,calls,0.003000625130235466
ORCL240607C00124000,ORCL,2024-06-04 19:00:03,2024-06-07,124.0,0.1,0.09,0.13,0.11,225.0,1883.0,0.23731231445312498,119.975,calls,0.003000625130235466
ORCL240607C00125000,ORCL,2024-06-04 18:25:25,2024-06-07,125.0,0.06,0.05,0.09,0.07,126.0,1357.0,0.25586681640625003,119.975,calls,0.003000625130235466
ORCL240607C00126000,ORCL,2024-06-04 14:28:15,2024-06-07,126.0,0.01,0.01,0.09,0.049999999999999996,5.0,1166.0,0.29492892578124996,119.975,calls,0.003000625130235466
ORCL240607C00127000,ORCL,2024-06-04 18:17:37,2024-06-07,127.0,0.02,0.02,0.05,0.035,2.0,483.0,0.29688203124999996,119.975,calls,0.003000625130235466
ORCL240607C00128000,ORCL,2024-06-04 17:59:13,2024-06-07,128.0,0.02,0.01,0.03,0.02,1.0,307.0,0.304694453125,119.975,calls,0.003000625130235466
ORCL240607C00129000,ORCL,2024-06-04 18:40:32,2024-06-07,129.0,0.02,0.01,0.03,0.02,9.0,249.0,0.3320379296875,119.975,calls,0.003000625130235466
ORCL240607C00130000,ORCL,2024-06-04 18:41:36,2024-06-07,130.0,0.02,0.0,0.02,0.01,11.0,604.0,0.3437565625,119.975,calls,0.003000625130235466
ORCL240607C00133000,ORCL,2024-06-04 18:52:05,2024-06-07,133.0,0.01,0.0,0.11,0.055,1.0,109.0,0.55273884765625,119.975,calls,0.003000625130235466
ORCL240607C00135000,ORCL,2024-06-04 14:19:13,2024-06-07,135.0,0.03,0.0,0.18,0.09,5.0,42.0,0.59570716796875,119.975,calls,0.003000625130235466
ORCL240607P00102000,ORCL,2024-06-04 14:43:37,2024-06-07,102.0,0.01,0.0,0.01,0.005,16.0,33.0,0.5625043750000001,119.975,puts,0.003000625130235466
ORCL240607P00107000,ORCL,2024-06-04 16:22:38,2024-06-07,107.0,0.02,0.01,0.03,0.02,11.0,2297.0,0.500005,119.975,puts,0.003000625130235466
ORCL240607P00109000,ORCL,2024-06-04 18:26:03,2024-06-07,109.0,0.01,0.01,0.03,0.02,102.0,324.0,0.42969320312500003,119.975,puts,0.003000625130235466
ORCL240607P00111000,ORCL,2024-06-04 18:44:19,2024-06-07,111.0,0.01,0.01,0.03,0.02,233.0,454.0,0.35938140625,119.975,puts,0.003000625130235466
ORCL240607P00112000,ORCL,2024-06-04 18:04:08,2024-06-07,112.0,0.02,0.01,0.03,0.02,3.0,68.0,0.32227240234374993,119.975,puts,0.003000625130235466
ORCL240607P00113000,ORCL,2024-06-04 18:53:48,2024-06-07,113.0,0.03,0.03,0.04,0.035,14.0,2162.0,0.3007882421875,119.975,puts,0.003000625130235466
ORCL240607P00114000,ORCL,2024-06-04 18:46:30,2024-06-07,114.0,0.03,0.03,0.04,0.035,26.0,712.0,0.26367923828125,119.975,puts,0.003000625130235466
ORCL240607P00115000,ORCL,2024-06-04 19:03:12,2024-06-07,115.0,0.06,0.05,0.07,0.060000000000000005,136.0,1549.0,0.25098405273437496,119.975,puts,0.003000625130235466
ORCL240607P00116000,ORCL,2024-06-04 18:55:58,2024-06-07,116.0,0.09,0.08,0.1,0.09,846.0,1093.0,0.22754678710937498,119.975,puts,0.003000625130235466
ORCL240607P00117000,ORCL,2024-06-04 18:53:17,2024-06-07,117.0,0.15,0.15,0.18,0.16499999999999998,424.0,2270.0,0.215828154296875,119.975,puts,0.003000625130235466
ORCL240607P00118000,ORCL,2024-06-04 18:38:04,2024-06-07,118.0,0.34,0.29,0.34,0.315,564.0,322.0,0.20996883789062498,119.975,puts,0.003000625130235466
ORCL240607P00119000,ORCL,2024-06-04 18:28:09,2024-06-07,119.0,0.66,0.59,0.59,0.59,211.0,844.0,0.20117986328124998,119.975,puts,0.003000625130235466
ORCL240607P00120000,ORCL,2024-06-04 18:45:14,2024-06-07,120.0,0.98,1.01,1.05,1.03,67.0,464.0,0.20703917968749996,119.975,puts,0.003000625130235466
ORCL240607P00121000,ORCL,2024-06-04 14:00:05,2024-06-07,121.0,2.3,1.63,1.66,1.645,1.0,941.0,0.21289849609375,119.975,puts,0.003000625130235466
ORCL240607P00122000,ORCL,2024-06-04 18:32:00,2024-06-07,122.0,2.5,2.34,2.53,2.4349999999999996,55.0,609.0,0.25098405273437496,119.975,puts,0.003000625130235466
ORCL240607P00123000,ORCL,2024-06-04 18:07:55,2024-06-07,123.0,3.6,2.64,3.35,2.995,14.0,307.0,0.260749580078125,119.975,puts,0.003000625130235466
ORCL240607P00124000,ORCL,2024-06-04 18:17:47,2024-06-07,124.0,4.0,4.05,4.3,4.175,2.0,141.0,0.29492892578124996,119.975,puts,0.003000625130235466
ORCL240614C00110000,ORCL,2024-06-04 15:32:11,2024-06-14,110.0,10.0,10.2,11.0,10.6,1.0,30.0,0.5390671093750001,119.975,calls,0.003000625130235466
ORCL240614C00114000,ORCL,2024-06-04 17:43:52,2024-06-14,114.0,7.42,7.55,7.8,7.675,30.0,108.0,0.5119677709960937,119.975,calls,0.003000625130235466
ORCL240614C00115000,ORCL,2024-06-04 18:32:55,2024-06-14,115.0,6.94,6.9,7.05,6.975,72.0,103.0,0.5029346582031251,119.975,calls,0.003000625130235466
ORCL240614C00116000,ORCL,2024-06-04 15:04:09,2024-06-14,116.0,5.85,6.2,6.45,6.325,2.0,141.0,0.5097705273437501,119.975,calls,0.003000625130235466
ORCL240614C00117000,ORCL,2024-06-04 15:27:53,2024-06-14,117.0,5.45,5.25,5.75,5.5,8.0,828.0,0.49878430908203125,119.975,calls,0.003000625130235466
ORCL240614C00118000,ORCL,2024-06-04 18:29:09,2024-06-14,118.0,5.15,5.05,5.35,5.199999999999999,14.0,411.0,0.5022022436523439,119.975,calls,0.003000625130235466
ORCL240614C00119000,ORCL,2024-06-04 18:44:19,2024-06-14,119.0,4.7,4.55,4.65,4.6,560.0,211.0,0.5009815527343751,119.975,calls,0.003000625130235466
ORCL240614C00120000,ORCL,2024-06-04 19:02:06,2024-06-14,120.0,4.1,4.0,4.1,4.05,111.0,873.0,0.495122236328125,119.975,calls,0.003000625130235466
ORCL240614C00121000,ORCL,2024-06-04 18:54:50,2024-06-14,121.0,3.71,3.55,3.7,3.625,12.0,196.0,0.5026905200195313,119.975,calls,0.003000625130235466
ORCL240614C00122000,ORCL,2024-06-04 18:59:52,2024-06-14,122.0,3.2,3.2,3.3,3.25,133.0,1159.0,0.5056201782226561,119.975,calls,0.003000625130235466
ORCL240614C00123000,ORCL,2024-06-04 18:59:52,2024-06-14,123.0,2.85,2.83,2.87,2.85,48.0,120.0,0.5007374145507812,119.975,calls,0.003000625130235466
ORCL240614C00124000,ORCL,2024-06-04 19:01:17,2024-06-14,124.0,2.48,2.46,2.53,2.495,200.0,497.0,0.5022022436523439,119.975,calls,0.003000625130235466
ORCL240614C00125000,ORCL,2024-06-04 18:41:18,2024-06-14,125.0,2.28,2.2,2.43,2.3150000000000004,322.0,2110.0,0.5161181201171875,119.975,calls,0.003000625130235466
ORCL240614C00126000,ORCL,2024-06-04 18:42:54,2024-06-14,126.0,2.0,1.92,2.02,1.97,124.0,935.0,0.508793974609375,119.975,calls,0.003000625130235466
ORCL240614C00127000,ORCL,2024-06-04 18:42:54,2024-06-14,127.0,1.74,1.46,1.76,1.6099999999999999,76.0,139.0,0.5161181201171875,119.975,calls,0.003000625130235466
ORCL240614C00128000,ORCL,2024-06-04 18:31:15,2024-06-14,128.0,1.5,1.45,1.5,1.475,37.0,750.0,0.5083056982421875,119.975,calls,0.003000625130235466
ORCL240614C00129000,ORCL,2024-06-04 18:26:37,2024-06-14,129.0,1.29,1.22,1.69,1.455,42.0,159.0,0.5380905566406251,119.975,calls,0.003000625130235466
