contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
PG240607C00155000,PG,2024-06-04 16:34:11,2024-06-07,155.0,11.51,10.55,12.0,11.275,1.0,16.0,0.5581098876953126,166.5,calls,0.005581381381381381
PG240607C00160000,PG,2024-06-04 13:30:45,2024-06-07,160.0,5.25,5.8,6.95,6.375,1.0,163.0,0.35742830078125,166.5,calls,0.005581381381381381
PG240607C00162500,PG,2024-06-04 19:05:17,2024-06-07,162.5,4.35,4.1,4.3,4.199999999999999,219.0,883.0,0.22412885253906245,166.5,calls,0.005581381381381381
PG240607C00165000,PG,2024-06-04 18:59:35,2024-06-07,165.0,2.08,1.88,2.04,1.96,190.0,1056.0,0.16407085937500002,166.5,calls,0.005581381381381381
PG240607C00167500,PG,2024-06-04 19:04:38,2024-06-07,167.5,0.43,0.44,0.45,0.445,1403.0,563.0,0.12305564453125001,166.5,calls,0.005581381381381381
PG240607C00170000,PG,2024-06-04 18:53:02,2024-06-07,170.0,0.08,0.06,0.08,0.07,107.0,495.0,0.13770393554687502,166.5,calls,0.005581381381381381
PG240607C00172500,PG,2024-06-04 16:42:54,2024-06-07,172.5,0.02,0.02,0.03,0.025,94.0,110.0,0.17383638671875,166.5,calls,0.005581381381381381
PG240607P00147000,PG,2024-06-04 15:35:56,2024-06-07,147.0,0.01,0.0,1.12,0.56,1.0,1.0,0.870118486328125,166.5,puts,0.005581381381381381
PG240607P00160000,PG,2024-06-04 18:39:23,2024-06-07,160.0,0.04,0.02,0.04,0.03,7.0,1608.0,0.20215641601562498,166.5,puts,0.005581381381381381
PG240607P00162500,PG,2024-06-04 16:35:40,2024-06-07,162.5,0.09,0.06,0.08,0.07,333.0,1332.0,0.15528188476562502,166.5,puts,0.005581381381381381
PG240607P00165000,PG,2024-06-04 19:02:45,2024-06-07,165.0,0.28,0.28,0.31,0.29500000000000004,361.0,359.0,0.124032197265625,166.5,puts,0.005581381381381381
PG240607P00167500,PG,2024-06-04 18:47:14,2024-06-07,167.5,1.14,1.21,1.26,1.2349999999999999,130.0,62.0,0.09180595703125,166.5,puts,0.005581381381381381
PG240607P00170000,PG,2024-06-04 18:26:01,2024-06-07,170.0,3.07,3.15,4.0,3.575,2.0,5.0,0.243171630859375,166.5,puts,0.005581381381381381
