contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
PM240607C00090000,PM,2024-06-04 17:55:31,2024-06-07,90.0,14.1,12.1,14.0,13.05,36.0,40.0,0.9941406835937501,103.595,calls,0.012288237849317053
PM240607C00092000,PM,2024-06-04 14:46:42,2024-06-07,92.0,12.03,11.7,11.9,11.8,1.0,1.0,0.743166630859375,103.595,calls,0.012288237849317053
PM240607C00093000,PM,2024-06-04 18:32:28,2024-06-07,93.0,11.0,10.7,11.0,10.85,13.0,19.0,0.7246121289062499,103.595,calls,0.012288237849317053
PM240607C00094000,PM,2024-06-04 14:47:26,2024-06-07,94.0,9.98,8.6,10.0,9.3,2.0,16.0,0.7539087109375,103.595,calls,0.012288237849317053
PM240607C00095000,PM,2024-06-04 18:54:10,2024-06-07,95.0,9.0,8.6,9.0,8.8,100.0,102.0,0.5810588769531251,103.595,calls,0.012288237849317053
PM240607C00096000,PM,2024-06-04 16:27:26,2024-06-07,96.0,7.8,7.6,7.9,7.75,1.0,39.0,0.5830119824218749,103.595,calls,0.012288237849317053
PM240607C00099000,PM,2024-06-04 19:02:02,2024-06-07,99.0,4.85,4.8,5.0,4.9,195.0,583.0,0.44336494140625,103.595,calls,0.012288237849317053
PM240607C00100000,PM,2024-06-04 18:23:58,2024-06-07,100.0,4.14,3.7,3.9,3.8,7.0,397.0,0.340826904296875,103.595,calls,0.012288237849317053
PM240607C00101000,PM,2024-06-04 15:17:08,2024-06-07,101.0,2.65,2.75,2.95,2.85,52.0,900.0,0.2929758203124999,103.595,calls,0.012288237849317053
PM240607C00102000,PM,2024-06-04 18:11:51,2024-06-07,102.0,2.05,1.9,2.05,1.9749999999999999,27.0,551.0,0.2500075,103.595,calls,0.012288237849317053
PM240607C00103000,PM,2024-06-04 19:01:32,2024-06-07,103.0,1.2,1.1,1.25,1.175,560.0,944.0,0.21436332519531248,103.595,calls,0.012288237849317053
PM240607C00104000,PM,2024-06-04 19:00:12,2024-06-07,104.0,0.6,0.5,0.65,0.575,209.0,97.0,0.19336744140625,103.595,calls,0.012288237849317053
PM240607C00105000,PM,2024-06-04 19:05:28,2024-06-07,105.0,0.22,0.2,0.25,0.225,868.0,83.0,0.1733481103515625,103.595,calls,0.012288237849317053
