contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
SCHW240607C00065000,SCHW,2024-06-04 14:24:04,2024-06-07,65.0,7.29,6.4,8.15,7.275,1.0,3.0,0.77148666015625,72.005,calls,0.0032497743212276924
SCHW240607C00066000,SCHW,2024-06-04 15:36:19,2024-06-07,66.0,6.39,5.5,6.7,6.1,2.0,,0.5293015820312501,72.005,calls,0.0032497743212276924
SCHW240607C00067000,SCHW,2024-06-04 15:36:19,2024-06-07,67.0,5.45,4.55,5.85,5.199999999999999,1.0,4.0,0.5449264257812501,72.005,calls,0.0032497743212276924
SCHW240607C00069000,SCHW,2024-06-04 13:58:38,2024-06-07,69.0,3.35,3.15,3.35,3.25,2.0,16.0,0.45703667968750006,72.005,calls,0.0032497743212276924
SCHW240607C00070000,SCHW,2024-06-04 16:19:00,2024-06-07,70.0,2.11,2.07,2.26,2.165,1.0,136.0,0.3154365332031249,72.005,calls,0.0032497743212276924
SCHW240607C00071000,SCHW,2024-06-04 18:49:01,2024-06-07,71.0,1.53,1.35,1.42,1.385,18.0,350.0,0.27539787109374997,72.005,calls,0.0032497743212276924
SCHW240607C00072000,SCHW,2024-06-04 18:42:45,2024-06-07,72.0,0.8,0.72,0.76,0.74,56.0,464.0,0.25196060546875,72.005,calls,0.0032497743212276924
SCHW240607C00073000,SCHW,2024-06-04 18:42:45,2024-06-07,73.0,0.39,0.33,0.35,0.33999999999999997,322.0,573.0,0.2461012890625,72.005,calls,0.0032497743212276924
SCHW240607C00074000,SCHW,2024-06-04 18:11:52,2024-06-07,74.0,0.13,0.12,0.14,0.13,57.0,305.0,0.2461012890625,72.005,calls,0.0032497743212276924
SCHW240607C00075000,SCHW,2024-06-04 15:31:41,2024-06-07,75.0,0.08,0.05,0.07,0.060000000000000005,34.0,421.0,0.270515107421875,72.005,calls,0.0032497743212276924
SCHW240607C00076000,SCHW,2024-06-04 18:46:09,2024-06-07,76.0,0.03,0.02,0.03,0.025,19.0,274.0,0.28516339843749994,72.005,calls,0.0032497743212276924
SCHW240607C00079000,SCHW,2024-06-04 16:53:03,2024-06-07,79.0,0.01,0.0,0.02,0.01,1.0,121.0,0.41797457031249996,72.005,calls,0.0032497743212276924
SCHW240607C00083000,SCHW,2024-06-04 15:28:22,2024-06-07,83.0,0.03,0.0,0.04,0.02,2.0,66.0,0.6015664843750002,72.005,calls,0.0032497743212276924
SCHW240607C00084000,SCHW,2024-06-04 13:33:20,2024-06-07,84.0,0.01,0.0,0.02,0.01,1.0,85.0,0.5937540625000001,72.005,calls,0.0032497743212276924
SCHW240607P00064000,SCHW,2024-06-04 17:00:46,2024-06-07,64.0,0.01,0.0,0.02,0.01,2.0,44.0,0.523442265625,72.005,puts,0.0032497743212276924
SCHW240607P00065000,SCHW,2024-06-04 13:30:03,2024-06-07,65.0,0.05,0.01,0.02,0.015,10.0,50.0,0.46094289062500005,72.005,puts,0.0032497743212276924
SCHW240607P00066000,SCHW,2024-06-04 15:45:15,2024-06-07,66.0,0.02,0.01,0.03,0.02,2.0,12.0,0.42578699218750005,72.005,puts,0.0032497743212276924
SCHW240607P00067000,SCHW,2024-06-04 13:55:44,2024-06-07,67.0,0.04,0.02,0.04,0.03,5.0,74.0,0.38281867187499996,72.005,puts,0.0032497743212276924
SCHW240607P00068000,SCHW,2024-06-04 17:23:38,2024-06-07,68.0,0.05,0.04,0.05,0.045,2.0,148.0,0.3320379296875,72.005,puts,0.0032497743212276924
SCHW240607P00069000,SCHW,2024-06-04 18:30:13,2024-06-07,69.0,0.08,0.07,0.08,0.07500000000000001,5.0,188.0,0.2919992675781249,72.005,puts,0.0032497743212276924
SCHW240607P00070000,SCHW,2024-06-04 16:24:34,2024-06-07,70.0,0.2,0.15,0.17,0.16,38.0,981.0,0.27149166015625,72.005,puts,0.0032497743212276924
SCHW240607P00071000,SCHW,2024-06-04 18:57:19,2024-06-07,71.0,0.31,0.33,0.35,0.33999999999999997,492.0,569.0,0.2500075,72.005,puts,0.0032497743212276924
SCHW240607P00072000,SCHW,2024-06-04 19:03:00,2024-06-07,72.0,0.69,0.67,0.7,0.685,1380.0,926.0,0.233406103515625,72.005,puts,0.0032497743212276924
SCHW240607P00073000,SCHW,2024-06-04 18:13:10,2024-06-07,73.0,1.31,1.27,1.3,1.2850000000000001,86.0,729.0,0.22852333984375,72.005,puts,0.0032497743212276924
SCHW240607P00075000,SCHW,2024-06-04 18:42:26,2024-06-07,75.0,2.95,2.79,3.25,3.02,80.0,688.0,0.39258419921875,72.005,puts,0.0032497743212276924
SCHW240607P00079000,SCHW,2024-06-04 13:44:19,2024-06-07,79.0,6.8,6.6,7.55,7.074999999999999,4.0,0.0,0.5273484765625001,72.005,puts,0.0032497743212276924
SCHW240614C00071000,SCHW,2024-06-04 16:32:27,2024-06-14,71.0,1.83,1.86,1.91,1.885,19.0,32.0,0.27246821289062495,72.005,calls,0.0032497743212276924
SCHW240614C00072000,SCHW,2024-06-04 18:15:02,2024-06-14,72.0,1.29,1.27,1.33,1.3,248.0,153.0,0.2661206201171875,72.005,calls,0.0032497743212276924
SCHW240614C00073000,SCHW,2024-06-04 17:21:56,2024-06-14,73.0,0.85,0.83,0.85,0.84,68.0,173.0,0.2563550927734375,72.005,calls,0.0032497743212276924
SCHW240614C00074000,SCHW,2024-06-04 18:14:05,2024-06-14,74.0,0.5,0.5,0.52,0.51,12.0,188.0,0.2524488818359375,72.005,calls,0.0032497743212276924
SCHW240614C00075000,SCHW,2024-06-04 18:28:17,2024-06-14,75.0,0.31,0.28,0.3,0.29000000000000004,57.0,330.0,0.25049577636718745,72.005,calls,0.0032497743212276924
SCHW240614C00076000,SCHW,2024-06-04 17:37:04,2024-06-14,76.0,0.16,0.16,0.18,0.16999999999999998,29.0,364.0,0.256843369140625,72.005,calls,0.0032497743212276924
SCHW240614C00079000,SCHW,2024-06-04 15:40:33,2024-06-14,79.0,0.05,0.03,0.05,0.04,4.0,72.0,0.2910227148437499,72.005,calls,0.0032497743212276924
SCHW240614C00090000,SCHW,2024-06-04 14:14:50,2024-06-14,90.0,0.01,,,,,,0.0,72.005,calls,0.0032497743212276924
SCHW240614P00063000,SCHW,2024-06-04 13:30:03,2024-06-14,63.0,0.04,0.03,0.05,0.04,1.0,5.0,0.4023497265625,72.005,puts,0.0032497743212276924
SCHW240614P00067000,SCHW,2024-06-04 17:46:56,2024-06-14,67.0,0.13,0.12,0.13,0.125,13.0,78.0,0.295905478515625,72.005,puts,0.0032497743212276924
SCHW240614P00069000,SCHW,2024-06-04 15:27:40,2024-06-14,69.0,0.3,0.29,0.32,0.305,16.0,320.0,0.26807372558593745,72.005,puts,0.0032497743212276924
SCHW240614P00070000,SCHW,2024-06-04 16:30:57,2024-06-14,70.0,0.52,0.46,0.48,0.47,156.0,148.0,0.25049577636718745,72.005,puts,0.0032497743212276924
SCHW240614P00071000,SCHW,2024-06-04 17:36:25,2024-06-14,71.0,0.84,0.76,0.79,0.775,35.0,329.0,0.24805439453125,72.005,puts,0.0032497743212276924
