contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
T240607C00016500,T,2024-06-04 13:33:49,2024-06-07,16.5,1.42,1.77,1.84,1.8050000000000002,3.0,221.0,0.57812921875,18.285,calls,0.016527208094066177
T240607C00017000,T,2024-06-04 18:22:18,2024-06-07,17.0,1.3,1.1,1.34,1.2200000000000002,339.0,1771.0,0.5664105859375,18.285,calls,0.016527208094066177
T240607C00017500,T,2024-06-04 19:02:34,2024-06-07,17.5,0.79,0.79,0.86,0.825,180.0,11769.0,0.4414118359375,18.285,calls,0.016527208094066177
T240607C00018000,T,2024-06-04 18:46:02,2024-06-07,18.0,0.35,0.33,0.37,0.35,1937.0,6249.0,0.257819921875,18.285,calls,0.016527208094066177
T240607C00018500,T,2024-06-04 18:40:17,2024-06-07,18.5,0.06,0.06,0.07,0.065,2924.0,3940.0,0.20117986328124998,18.285,calls,0.016527208094066177
T240607C00019000,T,2024-06-04 18:45:42,2024-06-07,19.0,0.02,0.01,0.02,0.015,680.0,2093.0,0.26563234375,18.285,calls,0.016527208094066177
T240607C00019500,T,2024-06-04 18:12:04,2024-06-07,19.5,0.01,0.0,0.01,0.005,18.0,57.0,0.3437565625,18.285,calls,0.016527208094066177
T240607P00017000,T,2024-06-04 17:12:49,2024-06-07,17.0,0.01,0.0,0.02,0.01,71.0,3865.0,0.437505625,18.285,puts,0.016527208094066177
T240607P00017500,T,2024-06-04 19:03:57,2024-06-07,17.5,0.02,0.01,0.02,0.015,1318.0,3459.0,0.29688203124999996,18.285,puts,0.016527208094066177
T240607P00018000,T,2024-06-04 18:54:39,2024-06-07,18.0,0.05,0.04,0.05,0.045,2586.0,2673.0,0.1992267578125,18.285,puts,0.016527208094066177
T240607P00018500,T,2024-06-04 19:03:33,2024-06-07,18.5,0.28,0.26,0.28,0.27,755.0,198.0,0.19336744140625,18.285,puts,0.016527208094066177
T240614C00015500,T,2024-06-04 17:59:08,2024-06-14,15.5,2.8,2.79,2.88,2.835,1.0,2.0,0.6250037500000001,18.285,calls,0.016527208094066177
T240614C00016500,T,2024-06-04 16:34:09,2024-06-14,16.5,1.74,1.76,1.95,1.855,2.0,57.0,0.6132851171875001,18.285,calls,0.016527208094066177
T240614C00017000,T,2024-06-04 18:34:04,2024-06-14,17.0,1.33,1.3,1.37,1.335,372.0,676.0,0.38867798828125,18.285,calls,0.016527208094066177
T240614C00017500,T,2024-06-04 17:14:06,2024-06-14,17.5,0.81,0.83,0.91,0.87,1281.0,5998.0,0.3242255078124999,18.285,calls,0.016527208094066177
T240614C00018000,T,2024-06-04 18:25:16,2024-06-14,18.0,0.42,0.42,0.45,0.435,1009.0,4826.0,0.22657023437499998,18.285,calls,0.016527208094066177
T240614C00018500,T,2024-06-04 18:59:37,2024-06-14,18.5,0.15,0.15,0.16,0.155,2761.0,4511.0,0.1992267578125,18.285,calls,0.016527208094066177
T240614C00019000,T,2024-06-04 18:56:00,2024-06-14,19.0,0.04,0.04,0.05,0.045,214.0,486.0,0.20703917968749996,18.285,calls,0.016527208094066177
T240614C00019500,T,2024-06-04 14:36:10,2024-06-14,19.5,0.02,0.01,0.02,0.015,1.0,252.0,0.23828886718749998,18.285,calls,0.016527208094066177
T240614C00020000,T,2024-06-04 14:35:06,2024-06-14,20.0,0.01,0.01,0.02,0.015,100.0,235.0,0.3086006640625,18.285,calls,0.016527208094066177
T240614C00020500,T,2024-06-04 18:38:19,2024-06-14,20.5,0.01,0.01,0.03,0.02,25.0,175.0,0.4062559375,18.285,calls,0.016527208094066177
T240614C00021000,T,2024-06-04 13:56:06,2024-06-14,21.0,0.01,0.01,0.23,0.12000000000000001,,,0.6543003320312502,18.285,calls,0.016527208094066177
T240614P00016000,T,2024-06-04 17:03:53,2024-06-14,16.0,0.02,0.01,0.02,0.015,23.0,308.0,0.437505625,18.285,puts,0.016527208094066177
T240614P00016500,T,2024-06-04 17:33:26,2024-06-14,16.5,0.02,0.01,0.02,0.015,31.0,239.0,0.35156898437499995,18.285,puts,0.016527208094066177
T240614P00017000,T,2024-06-04 18:58:11,2024-06-14,17.0,0.03,0.01,0.03,0.02,33.0,1355.0,0.2929758203124999,18.285,puts,0.016527208094066177
T240614P00017500,T,2024-06-04 18:52:59,2024-06-14,17.5,0.05,0.03,0.04,0.035,77.0,975.0,0.2148516015625,18.285,puts,0.016527208094066177
T240614P00018000,T,2024-06-04 18:58:47,2024-06-14,18.0,0.11,0.11,0.12,0.11499999999999999,477.0,1341.0,0.187508125,18.285,puts,0.016527208094066177
T240614P00018500,T,2024-06-04 18:43:00,2024-06-14,18.5,0.34,0.33,0.35,0.33999999999999997,937.0,1040.0,0.17774259765625,18.285,puts,0.016527208094066177
T240614P00019000,T,2024-06-04 14:20:34,2024-06-14,19.0,0.8,0.7,0.94,0.82,2.0,13.0,0.39063109375,18.285,puts,0.016527208094066177
T240621C00003000,T,2024-06-04 14:45:56,2024-06-21,3.0,15.25,14.2,17.0,15.6,4.0,9.0,5.87500265625,18.285,calls,0.016527208094066177
T240621C00013000,T,2024-06-04 13:39:54,2024-06-21,13.0,4.2,5.3,5.4,5.35,5.0,514.0,0.929688203125,18.285,calls,0.016527208094066177
T240621C00015000,T,2024-06-04 18:56:32,2024-06-21,15.0,3.35,3.3,3.4,3.3499999999999996,97.0,12027.0,0.5976602734375001,18.285,calls,0.016527208094066177
T240621C00016000,T,2024-06-04 18:56:32,2024-06-21,16.0,2.37,2.32,2.41,2.365,30.0,620.0,0.52539537109375,18.285,calls,0.016527208094066177
T240621C00016500,T,2024-06-04 18:10:36,2024-06-21,16.5,1.85,1.82,1.94,1.88,2.0,68.0,0.4687553125,18.285,calls,0.016527208094066177
T240621C00017000,T,2024-06-04 19:01:15,2024-06-21,17.0,1.38,1.36,1.39,1.375,324.0,51728.0,0.32617861328125,18.285,calls,0.016527208094066177
T240621C00017500,T,2024-06-04 18:23:37,2024-06-21,17.5,0.9,0.87,0.92,0.895,38.0,6109.0,0.2617261328125,18.285,calls,0.016527208094066177
T240621C00018000,T,2024-06-04 19:02:14,2024-06-21,18.0,0.49,0.49,0.5,0.495,1382.0,24674.0,0.21094539062499998,18.285,calls,0.016527208094066177
