contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TSLA240607C00110000,TSLA,2024-06-04 16:43:17,2024-06-07,110.0,65.64,66.2,66.65,66.42500000000001,1.0,22.0,2.3808634228515624,176.0308,calls,
TSLA240607C00120000,TSLA,2024-06-04 13:36:37,2024-06-07,120.0,55.9,56.2,56.75,56.475,1.0,34.0,2.037114282226563,176.0308,calls,
TSLA240607C00125000,TSLA,2024-06-04 16:13:16,2024-06-07,125.0,50.27,50.8,51.35,51.075,1.0,10.0,1.3203158984374999,176.0308,calls,
TSLA240607C00130000,TSLA,2024-06-04 18:43:06,2024-06-07,130.0,47.5,45.9,46.5,46.2,45.0,78.0,1.4179716601562502,176.0308,calls,
TSLA240607C00140000,TSLA,2024-06-04 15:42:36,2024-06-07,140.0,35.5,36.25,36.8,36.525,3.0,226.0,1.3525422998046874,176.0308,calls,
TSLA240607C00144000,TSLA,2024-06-04 17:09:38,2024-06-07,144.0,31.32,32.25,32.85,32.55,4.0,39.0,1.228519482421875,176.0308,calls,
TSLA240607C00145000,TSLA,2024-06-04 18:50:41,2024-06-07,145.0,32.85,30.7,31.35,31.025,5.0,294.0,1.0810592822265626,176.0308,calls,
TSLA240607C00147000,TSLA,2024-06-04 18:55:07,2024-06-07,147.0,30.25,28.9,29.4,29.15,3.0,20.0,0.85742330078125,176.0308,calls,
TSLA240607C00148000,TSLA,2024-06-04 15:50:18,2024-06-07,148.0,27.35,27.8,28.3,28.05,26.0,8.0,0.6562534375000001,176.0308,calls,
TSLA240607C00150000,TSLA,2024-06-04 18:48:35,2024-06-07,150.0,27.66,25.9,26.4,26.15,45.0,449.0,0.7753928710937501,176.0308,calls,
TSLA240607C00152500,TSLA,2024-06-04 18:56:22,2024-06-07,152.5,24.4,23.4,24.3,23.85,100.0,111.0,0.8457046679687499,176.0308,calls,
TSLA240607C00155000,TSLA,2024-06-04 18:44:52,2024-06-07,155.0,22.45,21.35,21.9,21.625,24.0,353.0,0.8852550537109375,176.0308,calls,
TSLA240607C00157500,TSLA,2024-06-04 18:43:20,2024-06-07,157.5,20.0,18.55,19.0,18.775,46.0,91.0,0.6513706738281251,176.0308,calls,
TSLA240607C00160000,TSLA,2024-06-04 19:02:02,2024-06-07,160.0,16.45,16.1,16.45,16.275,334.0,910.0,0.57617611328125,176.0308,calls,
TSLA240607C00162500,TSLA,2024-06-04 18:54:42,2024-06-07,162.5,15.38,13.75,14.05,13.9,349.0,373.0,0.551762294921875,176.0308,calls,
TSLA240607C00165000,TSLA,2024-06-04 18:54:42,2024-06-07,165.0,12.98,11.35,11.7,11.524999999999999,957.0,790.0,0.5092822509765625,176.0308,calls,
TSLA240607C00167500,TSLA,2024-06-04 19:02:02,2024-06-07,167.5,9.45,9.3,9.45,9.375,656.0,619.0,0.5043994873046875,176.0308,calls,
TSLA240607C00170000,TSLA,2024-06-04 19:02:34,2024-06-07,170.0,7.26,7.4,7.55,7.475,4266.0,2626.0,0.5129443237304687,176.0308,calls,
TSLA240607C00172500,TSLA,2024-06-04 19:02:15,2024-06-07,172.5,5.31,5.3,5.45,5.375,8940.0,2639.0,0.46680220703125,176.0308,calls,
