contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TXN240607C00175000,TXN,2024-06-04 16:53:31,2024-06-07,175.0,17.8,18.25,20.05,19.15,13.0,38.0,0.799806689453125,193.23,calls,0.006370646379961704
TXN240607C00180000,TXN,2024-06-04 16:51:50,2024-06-07,180.0,12.95,13.85,14.45,14.149999999999999,2.0,272.0,0.631839619140625,193.23,calls,0.006370646379961704
TXN240607C00185000,TXN,2024-06-04 17:07:54,2024-06-07,185.0,8.0,8.9,9.45,9.175,1.0,119.0,0.5127001855468749,193.23,calls,0.006370646379961704
TXN240607C00190000,TXN,2024-06-04 17:45:22,2024-06-07,190.0,3.75,4.0,4.75,4.375,4.0,249.0,0.3530338134765625,193.23,calls,0.006370646379961704
TXN240607C00192500,TXN,2024-06-04 18:38:54,2024-06-07,192.5,2.8,2.37,2.46,2.415,82.0,160.0,0.2553785400390626,193.23,calls,0.006370646379961704
TXN240607C00195000,TXN,2024-06-04 18:59:44,2024-06-07,195.0,1.4,1.17,1.2,1.185,126.0,861.0,0.24024197265624997,193.23,calls,0.006370646379961704
TXN240607C00197500,TXN,2024-06-04 19:01:20,2024-06-07,197.5,0.55,0.47,0.52,0.495,76.0,674.0,0.2387771435546875,193.23,calls,0.006370646379961704
TXN240607C00200000,TXN,2024-06-04 18:40:09,2024-06-07,200.0,0.24,0.19,0.23,0.21000000000000002,54.0,738.0,0.2500075,193.23,calls,0.006370646379961704
TXN240607C00202500,TXN,2024-06-04 14:18:35,2024-06-07,202.5,0.07,0.07,0.1,0.085,1.0,474.0,0.26270268554687504,193.23,calls,0.006370646379961704
TXN240607C00205000,TXN,2024-06-04 17:50:01,2024-06-07,205.0,0.05,0.04,0.05,0.045,211.0,623.0,0.28125718749999995,193.23,calls,0.006370646379961704
TXN240607C00210000,TXN,2024-06-04 15:54:14,2024-06-07,210.0,0.02,0.01,0.04,0.025,1.0,93.0,0.3632876171875,193.23,calls,0.006370646379961704
TXN240607C00230000,TXN,2024-06-04 17:41:11,2024-06-07,230.0,0.01,0.01,1.26,0.635,,1.0,1.0791061669921875,193.23,calls,0.006370646379961704
TXN240607P00172500,TXN,2024-06-04 14:35:37,2024-06-07,172.5,0.03,0.01,0.04,0.025,1.0,31.0,0.48438015625,193.23,puts,0.006370646379961704
TXN240607P00177500,TXN,2024-06-04 15:06:31,2024-06-07,177.5,0.05,0.02,0.04,0.03,4.0,10.0,0.37500625,193.23,puts,0.006370646379961704
TXN240607P00180000,TXN,2024-06-04 17:41:24,2024-06-07,180.0,0.04,0.03,0.05,0.04,7.0,119.0,0.33399103515625,193.23,puts,0.006370646379961704
TXN240607P00185000,TXN,2024-06-04 18:36:22,2024-06-07,185.0,0.1,0.09,0.11,0.1,23.0,228.0,0.25586681640625003,193.23,puts,0.006370646379961704
TXN240607P00187500,TXN,2024-06-04 18:45:04,2024-06-07,187.5,0.18,0.2,0.23,0.21500000000000002,29.0,4041.0,0.2304764453125,193.23,puts,0.006370646379961704
TXN240607P00190000,TXN,2024-06-04 18:57:57,2024-06-07,190.0,0.47,0.53,0.58,0.5549999999999999,45.0,885.0,0.21826953613281247,193.23,puts,0.006370646379961704
TXN240607P00192500,TXN,2024-06-04 18:59:24,2024-06-07,192.5,1.09,1.19,1.25,1.22,90.0,321.0,0.19873848144531248,193.23,puts,0.006370646379961704
TXN240607P00195000,TXN,2024-06-04 18:23:30,2024-06-07,195.0,2.38,2.43,2.52,2.475,85.0,664.0,0.1840901904296875,193.23,puts,0.006370646379961704
TXN240607P00197500,TXN,2024-06-04 17:35:23,2024-06-07,197.5,5.08,3.55,5.2,4.375,8.0,314.0,0.3107979077148437,193.23,puts,0.006370646379961704
