contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
UNH240607C00420000,UNH,2024-06-04 15:53:10,2024-06-07,420.0,83.77,83.6,90.2,86.9,6.0,13.0,1.245609240722656,504.7475,calls,0.0033719830212135763
UNH240607C00465000,UNH,2024-06-04 13:46:44,2024-06-07,465.0,29.9,39.2,45.15,42.175,1.0,7.0,0.7076445251464845,504.7475,calls,0.0033719830212135763
UNH240607C00480000,UNH,2024-06-04 16:29:06,2024-06-07,480.0,25.5,24.45,29.55,27.0,2.0,60.0,0.6706575903320313,504.7475,calls,0.0033719830212135763
UNH240607C00482500,UNH,2024-06-04 14:09:25,2024-06-07,482.5,15.9,22.35,27.45,24.9,2.0,26.0,0.6556430920410157,504.7475,calls,0.0033719830212135763
UNH240607C00485000,UNH,2024-06-04 18:31:57,2024-06-07,485.0,22.97,20.5,25.25,22.875,5.0,102.0,0.6326941027832031,504.7475,calls,0.0033719830212135763
UNH240607C00490000,UNH,2024-06-04 17:39:29,2024-06-07,490.0,17.19,15.05,20.05,17.55,23.0,193.0,0.5373581420898439,504.7475,calls,0.0033719830212135763
UNH240607C00492500,UNH,2024-06-04 18:40:39,2024-06-07,492.5,15.24,11.75,14.0,12.875,29.0,67.0,0.28748271118164054,504.7475,calls,0.0033719830212135763
UNH240607C00495000,UNH,2024-06-04 18:52:52,2024-06-07,495.0,12.17,11.0,12.0,11.5,38.0,194.0,0.2819896020507812,504.7475,calls,0.0033719830212135763
UNH240607C00500000,UNH,2024-06-04 19:03:57,2024-06-07,500.0,7.5,6.95,7.45,7.2,245.0,368.0,0.22400678344726557,504.7475,calls,0.0033719830212135763
UNH240607C00502500,UNH,2024-06-04 18:14:42,2024-06-07,502.5,7.68,5.45,5.95,5.7,302.0,181.0,0.2254716125488281,504.7475,calls,0.0033719830212135763
UNH240607C00505000,UNH,2024-06-04 19:00:06,2024-06-07,505.0,4.7,4.25,4.55,4.4,681.0,542.0,0.22168747070312497,504.7475,calls,0.0033719830212135763
UNH240607C00507500,UNH,2024-06-04 18:54:30,2024-06-07,507.5,3.28,3.05,3.3,3.175,177.0,109.0,0.21497367065429687,504.7475,calls,0.0033719830212135763
UNH240607C00510000,UNH,2024-06-04 19:03:21,2024-06-07,510.0,2.25,2.2,2.39,2.295,2161.0,289.0,0.21430229064941403,504.7475,calls,0.0033719830212135763
UNH240607C00512500,UNH,2024-06-04 18:59:24,2024-06-07,512.5,1.76,1.29,1.69,1.49,194.0,60.0,0.21442435974121093,504.7475,calls,0.0033719830212135763
UNH240607C00515000,UNH,2024-06-04 18:55:51,2024-06-07,515.0,1.3,0.82,1.19,1.005,1895.0,221.0,0.2166826379394531,504.7475,calls,0.0033719830212135763
UNH240607C00517500,UNH,2024-06-04 18:55:12,2024-06-07,517.5,0.8,0.67,0.83,0.75,138.0,37.0,0.2196122961425781,504.7475,calls,0.0033719830212135763
UNH240607C00520000,UNH,2024-06-04 19:04:15,2024-06-07,520.0,0.51,0.5,0.58,0.54,1094.0,242.0,0.22364057617187497,504.7475,calls,0.0033719830212135763
UNH240607C00522500,UNH,2024-06-04 18:07:00,2024-06-07,522.5,0.62,0.34,0.45,0.395,53.0,37.0,0.23389437988281248,504.7475,calls,0.0033719830212135763
UNH240607C00525000,UNH,2024-06-04 18:57:00,2024-06-07,525.0,0.33,0.27,0.33,0.30000000000000004,108.0,352.0,0.24073024902343748,504.7475,calls,0.0033719830212135763
UNH240607C00527500,UNH,2024-06-04 15:49:37,2024-06-07,527.5,0.25,0.2,0.31,0.255,20.0,12.0,0.25977302734375,504.7475,calls,0.0033719830212135763
UNH240607C00530000,UNH,2024-06-04 16:33:41,2024-06-07,530.0,0.21,0.2,0.32,0.26,27.0,225.0,0.28321029296874994,504.7475,calls,0.0033719830212135763
UNH240607C00532500,UNH,2024-06-04 17:29:52,2024-06-07,532.5,0.2,0.05,0.71,0.38,6.0,6.0,0.36304347900390627,504.7475,calls,0.0033719830212135763
UNH240607C00535000,UNH,2024-06-04 18:57:37,2024-06-07,535.0,0.12,0.12,0.35,0.235,275.0,138.0,0.33179379150390625,504.7475,calls,0.0033719830212135763
UNH240607C00540000,UNH,2024-06-04 16:55:58,2024-06-07,540.0,0.12,0.01,0.36,0.185,98.0,1066.0,0.3754945263671875,504.7475,calls,0.0033719830212135763
UNH240607C00545000,UNH,2024-06-04 16:37:42,2024-06-07,545.0,0.1,0.02,0.33,0.17500000000000002,52.0,34.0,0.4096738720703125,504.7475,calls,0.0033719830212135763
UNH240607C00550000,UNH,2024-06-04 18:52:09,2024-06-07,550.0,0.06,0.06,0.1,0.08,3.0,282.0,0.37305314453125,504.7475,calls,0.0033719830212135763
UNH240607P00370000,UNH,2024-06-04 13:34:47,2024-06-07,370.0,0.01,0.0,0.01,0.005,5.0,5.0,0.9062509375,504.7475,puts,0.0033719830212135763
UNH240607P00380000,UNH,2024-06-04 14:14:06,2024-06-07,380.0,0.01,0.0,0.01,0.005,6.0,1.0,0.8125018749999999,504.7475,puts,0.0033719830212135763
UNH240607P00385000,UNH,2024-06-04 14:16:51,2024-06-07,385.0,0.01,0.0,0.01,0.005,30.0,15.0,0.7812521875,504.7475,puts,0.0033719830212135763
UNH240607P00400000,UNH,2024-06-04 14:48:28,2024-06-07,400.0,0.01,0.0,0.02,0.01,1.0,11.0,0.7187528125,504.7475,puts,0.0033719830212135763
UNH240607P00430000,UNH,2024-06-04 16:07:03,2024-06-07,430.0,0.1,0.01,0.12,0.065,14.0,190.0,0.6171913281250001,504.7475,puts,0.0033719830212135763
UNH240607P00465000,UNH,2024-06-04 15:52:36,2024-06-07,465.0,0.13,0.05,0.3,0.175,6.0,103.0,0.43164630859375,504.7475,puts,0.0033719830212135763
UNH240607P00470000,UNH,2024-06-04 15:29:43,2024-06-07,470.0,0.15,0.01,0.24,0.125,14.0,185.0,0.36914693359375,504.7475,puts,0.0033719830212135763
UNH240607P00472500,UNH,2024-06-04 15:01:44,2024-06-07,472.5,0.14,0.01,0.51,0.26,1.0,4.0,0.401373173828125,504.7475,puts,0.0033719830212135763
UNH240607P00475000,UNH,2024-06-04 17:33:17,2024-06-07,475.0,0.18,0.01,0.17,0.09000000000000001,24.0,173.0,0.304694453125,504.7475,puts,0.0033719830212135763
UNH240607P00477500,UNH,2024-06-04 14:08:15,2024-06-07,477.5,0.32,0.01,0.36,0.185,1.0,29.0,0.32471378417968744,504.7475,puts,0.0033719830212135763
UNH240607P00480000,UNH,2024-06-04 18:04:29,2024-06-07,480.0,0.18,0.12,0.5,0.31,79.0,523.0,0.3227606787109374,504.7475,puts,0.0033719830212135763
UNH240607P00482500,UNH,2024-06-04 14:47:27,2024-06-07,482.5,0.39,0.02,0.31,0.165,17.0,47.0,0.2668530346679688,504.7475,puts,0.0033719830212135763
UNH240607P00485000,UNH,2024-06-04 18:52:35,2024-06-07,485.0,0.27,0.2,0.34,0.27,78.0,200.0,0.247077841796875,504.7475,puts,0.0033719830212135763
UNH240607P00487500,UNH,2024-06-04 18:03:32,2024-06-07,487.5,0.31,0.27,0.55,0.41000000000000003,171.0,160.0,0.24927508544921873,504.7475,puts,0.0033719830212135763
UNH240607P00490000,UNH,2024-06-04 18:52:35,2024-06-07,490.0,0.45,0.41,0.58,0.495,130.0,165.0,0.22486126708984372,504.7475,puts,0.0033719830212135763
UNH240607P00492500,UNH,2024-06-04 18:47:43,2024-06-07,492.5,0.53,0.6,0.79,0.6950000000000001,41.0,93.0,0.21558401611328126,504.7475,puts,0.0033719830212135763
UNH240607P00495000,UNH,2024-06-04 18:53:51,2024-06-07,495.0,0.9,0.83,1.0,0.915,92.0,106.0,0.2005695178222656,504.7475,puts,0.0033719830212135763
UNH240607P00500000,UNH,2024-06-04 18:44:46,2024-06-07,500.0,1.55,1.9,2.23,2.065,302.0,222.0,0.19934882690429687,504.7475,puts,0.0033719830212135763
UNH240607P00502500,UNH,2024-06-04 19:04:51,2024-06-07,502.5,2.95,2.76,3.0,2.88,227.0,74.0,0.19135330139160156,504.7475,puts,0.0033719830212135763
UNH240607P00505000,UNH,2024-06-04 18:55:12,2024-06-07,505.0,3.6,3.75,3.9,3.825,134.0,114.0,0.17896328857421873,504.7475,puts,0.0033719830212135763
UNH240607P00507500,UNH,2024-06-04 18:11:59,2024-06-07,507.5,3.95,4.95,5.25,5.1,28.0,24.0,0.17566742309570313,504.7475,puts,0.0033719830212135763
UNH240607P00510000,UNH,2024-06-04 17:57:55,2024-06-07,510.0,5.5,6.6,6.9,6.75,8.0,72.0,0.1744467321777344,504.7475,puts,0.0033719830212135763
UNH240607P00512500,UNH,2024-06-04 18:47:43,2024-06-07,512.5,7.6,8.3,9.75,9.025,1.0,4.0,0.23236851623535154,504.7475,puts,0.0033719830212135763
UNH240607P00520000,UNH,2024-06-04 18:41:08,2024-06-07,520.0,13.55,14.95,16.5,15.725,2.0,80.0,0.2825999475097656,504.7475,puts,0.0033719830212135763
UNH240607P00530000,UNH,2024-06-04 14:36:26,2024-06-07,530.0,27.23,21.05,26.0,23.525,1.0,1.0,0.3435124243164062,504.7475,puts,0.0033719830212135763
UNH240614C00477500,UNH,2024-06-04 14:19:22,2024-06-14,477.5,24.55,27.85,33.15,30.5,,,0.4694877270507813,504.7475,calls,0.0033719830212135763
UNH240614C00490000,UNH,2024-06-04 15:09:24,2024-06-14,490.0,16.6,17.8,20.75,19.275,9.0,66.0,0.34717449707031245,504.7475,calls,0.0033719830212135763
