contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
UPS240607C00134000,UPS,2024-06-04 15:29:30,2024-06-07,134.0,3.5,2.63,2.75,2.69,14.0,34.0,0.273444765625,136.01,calls,0.011631497683993824
UPS240607C00135000,UPS,2024-06-04 19:02:02,2024-06-07,135.0,2.0,1.85,1.96,1.905,9.0,122.0,0.247077841796875,136.01,calls,0.011631497683993824
UPS240607C00136000,UPS,2024-06-04 18:58:23,2024-06-07,136.0,1.5,1.33,1.37,1.35,76.0,195.0,0.24024197265624997,136.01,calls,0.011631497683993824
UPS240607C00137000,UPS,2024-06-04 18:58:22,2024-06-07,137.0,1.01,0.82,0.9,0.86,82.0,244.0,0.23438265625,136.01,calls,0.011631497683993824
UPS240607C00138000,UPS,2024-06-04 19:04:31,2024-06-07,138.0,0.52,0.51,0.55,0.53,69.0,403.0,0.22925575439453127,136.01,calls,0.011631497683993824
UPS240607C00139000,UPS,2024-06-04 19:01:29,2024-06-07,139.0,0.35,0.28,0.35,0.315,140.0,170.0,0.2348709326171875,136.01,calls,0.011631497683993824
UPS240607C00140000,UPS,2024-06-04 18:55:29,2024-06-07,140.0,0.24,0.17,0.22,0.195,94.0,462.0,0.2417068017578125,136.01,calls,0.011631497683993824
UPS240607C00141000,UPS,2024-06-04 19:04:00,2024-06-07,141.0,0.11,0.11,0.16,0.135,28.0,310.0,0.25879647460937505,136.01,calls,0.011631497683993824
UPS240607C00142000,UPS,2024-06-04 16:22:40,2024-06-07,142.0,0.09,0.06,0.1,0.08,47.0,288.0,0.26563234375,136.01,calls,0.011631497683993824
UPS240607C00143000,UPS,2024-06-04 17:56:37,2024-06-07,143.0,0.01,0.01,0.08,0.045,44.0,177.0,0.28516339843749994,136.01,calls,0.011631497683993824
UPS240607C00144000,UPS,2024-06-04 17:33:41,2024-06-07,144.0,0.03,0.01,0.05,0.030000000000000002,251.0,815.0,0.2910227148437499,136.01,calls,0.011631497683993824
UPS240607C00145000,UPS,2024-06-04 16:27:53,2024-06-07,145.0,0.04,0.02,0.06,0.04,14.0,159.0,0.33008482421874996,136.01,calls,0.011631497683993824
UPS240607C00146000,UPS,2024-06-04 14:45:57,2024-06-07,146.0,0.04,0.01,0.06,0.034999999999999996,6.0,29.0,0.35742830078125,136.01,calls,0.011631497683993824
UPS240607C00147000,UPS,2024-06-04 17:29:32,2024-06-07,147.0,0.01,0.01,0.05,0.030000000000000002,2.0,49.0,0.37500625,136.01,calls,0.011631497683993824
UPS240607C00148000,UPS,2024-06-04 14:25:54,2024-06-07,148.0,0.02,0.02,0.25,0.135,12.0,61.0,0.5459029785156251,136.01,calls,0.011631497683993824
UPS240607C00149000,UPS,2024-06-04 15:55:18,2024-06-07,149.0,0.02,0.01,0.04,0.025,1.0,90.0,0.414068359375,136.01,calls,0.011631497683993824
UPS240607C00150000,UPS,2024-06-04 16:36:25,2024-06-07,150.0,0.03,0.01,0.03,0.02,1.0,270.0,0.42188078125,136.01,calls,0.011631497683993824
UPS240607C00155000,UPS,2024-06-04 19:01:40,2024-06-07,155.0,0.01,0.01,0.02,0.015,28.0,567.0,0.500005,136.01,calls,0.011631497683993824
UPS240607C00165000,UPS,2024-06-04 17:39:52,2024-06-07,165.0,0.04,0.0,0.08,0.04,15.0,4.0,0.789064609375,136.01,calls,0.011631497683993824
UPS240607P00115000,UPS,2024-06-04 14:19:54,2024-06-07,115.0,0.01,,,,,,0.0,136.01,puts,0.011631497683993824
UPS240607P00127000,UPS,2024-06-04 13:49:08,2024-06-07,127.0,0.04,0.01,0.05,0.030000000000000002,24.0,42.0,0.34180345703125,136.01,puts,0.011631497683993824
UPS240607P00129000,UPS,2024-06-04 16:52:44,2024-06-07,129.0,0.03,0.04,0.34,0.19,2.0,13.0,0.42578699218750005,136.01,puts,0.011631497683993824
UPS240607P00130000,UPS,2024-06-04 15:26:08,2024-06-07,130.0,0.06,0.06,0.08,0.07,16.0,114.0,0.26563234375,136.01,puts,0.011631497683993824
UPS240607P00132000,UPS,2024-06-04 19:03:12,2024-06-07,132.0,0.17,0.14,0.18,0.16,103.0,1698.0,0.23535920898437498,136.01,puts,0.011631497683993824
UPS240607P00133000,UPS,2024-06-04 18:08:48,2024-06-07,133.0,0.26,0.26,0.31,0.28500000000000003,60.0,163.0,0.2304764453125,136.01,puts,0.011631497683993824
UPS240607P00134000,UPS,2024-06-04 19:04:43,2024-06-07,134.0,0.49,0.46,0.5,0.48,33.0,164.0,0.22315229980468748,136.01,puts,0.011631497683993824
UPS240607P00135000,UPS,2024-06-04 19:01:51,2024-06-07,135.0,0.73,0.75,0.77,0.76,146.0,257.0,0.2133867724609375,136.01,puts,0.011631497683993824
UPS240607P00136000,UPS,2024-06-04 19:05:04,2024-06-07,136.0,1.2,1.18,1.22,1.2,214.0,403.0,0.215828154296875,136.01,puts,0.011631497683993824
UPS240607P00137000,UPS,2024-06-04 18:41:14,2024-06-07,137.0,1.47,1.73,1.79,1.76,225.0,258.0,0.21631643066406248,136.01,puts,0.011631497683993824
UPS240607P00138000,UPS,2024-06-04 18:38:25,2024-06-07,138.0,2.1,2.38,2.48,2.4299999999999997,96.0,222.0,0.21656056884765623,136.01,puts,0.011631497683993824
UPS240607P00139000,UPS,2024-06-04 16:17:11,2024-06-07,139.0,2.95,3.1,3.45,3.2750000000000004,19.0,145.0,0.2622144091796875,136.01,puts,0.011631497683993824
UPS240607P00140000,UPS,2024-06-04 18:52:43,2024-06-07,140.0,3.74,4.0,4.35,4.175,28.0,258.0,0.2841868457031249,136.01,puts,0.011631497683993824
UPS240607P00141000,UPS,2024-06-04 17:50:12,2024-06-07,141.0,4.55,4.85,5.05,4.949999999999999,5.0,52.0,0.20703917968749996,136.01,puts,0.011631497683993824
UPS240607P00142000,UPS,2024-06-04 15:40:36,2024-06-07,142.0,5.25,5.85,6.9,6.375,2.0,37.0,0.5170946728515625,136.01,puts,0.011631497683993824
UPS240607P00144000,UPS,2024-06-04 13:59:04,2024-06-07,144.0,6.14,7.0,8.1,7.55,15.0,136.0,0.336920693359375,136.01,puts,0.011631497683993824
UPS240607P00145000,UPS,2024-06-04 18:41:49,2024-06-07,145.0,8.55,8.8,9.7,9.25,1.0,17.0,0.6005899316406251,136.01,puts,0.011631497683993824
UPS240614C00130000,UPS,2024-06-04 15:26:08,2024-06-14,130.0,7.75,6.6,6.85,6.725,4.0,7.0,0.31592480957031244,136.01,calls,0.011631497683993824
UPS240614C00133000,UPS,2024-06-04 18:41:47,2024-06-14,133.0,4.57,4.15,4.3,4.225,1.0,11.0,0.26978269287109374,136.01,calls,0.011631497683993824
UPS240614C00134000,UPS,2024-06-04 18:41:47,2024-06-14,134.0,3.82,3.45,3.6,3.5250000000000004,1.0,64.0,0.26367923828125,136.01,calls,0.011631497683993824
UPS240614C00135000,UPS,2024-06-04 18:48:54,2024-06-14,135.0,3.1,2.83,2.86,2.8449999999999998,30.0,42.0,0.24732197998046873,136.01,calls,0.011631497683993824
UPS240614C00136000,UPS,2024-06-04 18:58:23,2024-06-14,136.0,2.45,2.28,2.34,2.3099999999999996,22.0,103.0,0.24781025634765624,136.01,calls,0.011631497683993824
UPS240614C00137000,UPS,2024-06-04 19:02:05,2024-06-14,137.0,1.8,1.73,1.78,1.755,141.0,20.0,0.23706817626953125,136.01,calls,0.011631497683993824
UPS240614C00138000,UPS,2024-06-04 18:57:25,2024-06-14,138.0,1.49,1.34,1.37,1.355,78.0,121.0,0.23438265625,136.01,calls,0.011631497683993824
UPS240614C00139000,UPS,2024-06-04 18:44:11,2024-06-14,139.0,1.15,0.98,1.05,1.0150000000000001,25.0,88.0,0.23462679443359374,136.01,calls,0.011631497683993824
UPS240614C00140000,UPS,2024-06-04 17:33:01,2024-06-14,140.0,0.87,0.71,0.79,0.75,62.0,197.0,0.23462679443359374,136.01,calls,0.011631497683993824
UPS240614C00141000,UPS,2024-06-04 18:09:59,2024-06-14,141.0,0.61,0.48,0.56,0.52,75.0,84.0,0.2309647216796875,136.01,calls,0.011631497683993824
UPS240614C00142000,UPS,2024-06-04 19:02:03,2024-06-14,142.0,0.4,0.25,0.41,0.32999999999999996,13.0,96.0,0.23242955078125,136.01,calls,0.011631497683993824
UPS240614C00143000,UPS,2024-06-04 15:14:31,2024-06-14,143.0,0.45,0.25,0.3,0.275,4.0,63.0,0.2348709326171875,136.01,calls,0.011631497683993824
UPS240614C00144000,UPS,2024-06-04 18:55:49,2024-06-14,144.0,0.23,0.19,0.24,0.215,7.0,56.0,0.243171630859375,136.01,calls,0.011631497683993824
UPS240614C00145000,UPS,2024-06-04 17:45:36,2024-06-14,145.0,0.17,0.13,0.17,0.15000000000000002,7.0,106.0,0.24414818359375,136.01,calls,0.011631497683993824
UPS240614C00146000,UPS,2024-06-04 18:56:17,2024-06-14,146.0,0.11,0.11,0.15,0.13,7.0,30.0,0.256843369140625,136.01,calls,0.011631497683993824
UPS240614C00152500,UPS,2024-06-04 18:56:17,2024-06-14,152.5,0.02,0.02,0.06,0.04,8.0,164.0,0.32227240234374993,136.01,calls,0.011631497683993824
UPS240614C00160000,UPS,2024-06-04 18:11:01,2024-06-14,160.0,0.4,0.01,0.38,0.195,1.0,26.0,0.5224657128906249,136.01,calls,0.011631497683993824
UPS240614P00127000,UPS,2024-06-04 16:25:54,2024-06-14,127.0,0.16,0.13,0.15,0.14,1.0,2.0,0.25391371093750004,136.01,puts,0.011631497683993824
UPS240614P00128000,UPS,2024-06-04 18:14:32,2024-06-14,128.0,0.18,0.17,0.21,0.19,1.0,10.0,0.2500075,136.01,puts,0.011631497683993824
UPS240614P00129000,UPS,2024-06-04 19:01:29,2024-06-14,129.0,0.25,0.24,0.28,0.26,45.0,10.0,0.243171630859375,136.01,puts,0.011631497683993824
UPS240614P00130000,UPS,2024-06-04 16:15:28,2024-06-14,130.0,0.37,0.34,0.37,0.355,2.0,246.0,0.23584748535156247,136.01,puts,0.011631497683993824
UPS240614P00131000,UPS,2024-06-04 18:15:01,2024-06-14,131.0,0.46,0.47,0.53,0.5,7.0,49.0,0.23535920898437498,136.01,puts,0.011631497683993824
