contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
VZ240607C00039000,VZ,2024-06-04 16:34:31,2024-06-07,39.0,2.44,2.39,2.53,2.46,1.0,415.0,0.35547519531249994,41.485,calls,0.01573339761359528
VZ240607C00039500,VZ,2024-06-04 17:19:26,2024-06-07,39.5,2.04,1.94,2.66,2.3,11.0,1381.0,0.5898478515625001,41.485,calls,0.01573339761359528
VZ240607C00040000,VZ,2024-06-04 18:24:53,2024-06-07,40.0,1.59,1.4,1.57,1.4849999999999999,89.0,1610.0,0.2929758203124999,41.485,calls,0.01573339761359528
VZ240607C00040500,VZ,2024-06-04 18:58:05,2024-06-07,40.5,1.07,1.02,1.05,1.0350000000000001,587.0,1674.0,0.19727365234375,41.485,calls,0.01573339761359528
VZ240607C00041000,VZ,2024-06-04 18:42:59,2024-06-07,41.0,0.65,0.59,0.63,0.61,2384.0,9099.0,0.18555501953124998,41.485,calls,0.01573339761359528
VZ240607C00041500,VZ,2024-06-04 18:56:07,2024-06-07,41.5,0.3,0.26,0.28,0.27,687.0,1807.0,0.16211775390625,41.485,calls,0.01573339761359528
VZ240607C00042000,VZ,2024-06-04 19:00:38,2024-06-07,42.0,0.12,0.11,0.13,0.12,702.0,3232.0,0.18360191406249998,41.485,calls,0.01573339761359528
VZ240607C00042500,VZ,2024-06-04 18:54:15,2024-06-07,42.5,0.05,0.04,0.05,0.045,927.0,425.0,0.19336744140625,41.485,calls,0.01573339761359528
VZ240607C00043000,VZ,2024-06-04 17:46:15,2024-06-07,43.0,0.01,0.01,0.03,0.02,105.0,543.0,0.22657023437499998,41.485,calls,0.01573339761359528
VZ240607C00043500,VZ,2024-06-04 18:30:43,2024-06-07,43.5,0.01,0.01,0.02,0.015,74.0,295.0,0.2617261328125,41.485,calls,0.01573339761359528
VZ240607P00033000,VZ,2024-06-04 18:51:53,2024-06-07,33.0,0.01,0.01,0.15,0.08,1.0,546.0,1.2578162109375,41.485,puts,0.01573339761359528
VZ240607P00037000,VZ,2024-06-04 19:03:38,2024-06-07,37.0,0.01,0.01,0.02,0.015,110.0,244.0,0.5312546875,41.485,puts,0.01573339761359528
VZ240607P00037500,VZ,2024-06-04 18:34:57,2024-06-07,37.5,0.02,0.01,0.22,0.115,5.0,89.0,0.7070341796875,41.485,puts,0.01573339761359528
