contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
WMT240607C00058000,WMT,2024-06-04 18:12:45,2024-06-07,58.0,8.54,8.5,8.7,8.6,129.0,242.0,0.773439765625,66.495,calls,0.0028914474772539283
WMT240607C00060000,WMT,2024-06-04 18:13:08,2024-06-07,60.0,6.5,6.55,6.7,6.625,31.0,595.0,0.64648791015625,66.495,calls,0.0028914474772539283
WMT240607C00061000,WMT,2024-06-04 17:34:19,2024-06-07,61.0,5.55,5.35,5.65,5.5,257.0,898.0,0.5898478515625001,66.495,calls,0.0028914474772539283
WMT240607C00062000,WMT,2024-06-04 18:51:46,2024-06-07,62.0,4.74,4.2,4.7,4.45,8.0,2058.0,0.5468795312500001,66.495,calls,0.0028914474772539283
WMT240607C00063000,WMT,2024-06-04 18:50:05,2024-06-07,63.0,3.68,3.4,3.7,3.55,81.0,541.0,0.45313046875,66.495,calls,0.0028914474772539283
WMT240607C00064000,WMT,2024-06-04 19:01:42,2024-06-07,64.0,2.6,2.51,2.63,2.57,642.0,2810.0,0.31153032226562494,66.495,calls,0.0028914474772539283
WMT240607C00065000,WMT,2024-06-04 19:02:36,2024-06-07,65.0,1.59,1.55,1.64,1.595,1077.0,5749.0,0.22461712890624996,66.495,calls,0.0028914474772539283
WMT240607C00066000,WMT,2024-06-04 19:03:38,2024-06-07,66.0,0.71,0.7,0.72,0.71,4339.0,9403.0,0.1518639501953125,66.495,calls,0.0028914474772539283
WMT240607C00067000,WMT,2024-06-04 19:04:19,2024-06-07,67.0,0.19,0.19,0.2,0.195,5607.0,2189.0,0.143563251953125,66.495,calls,0.0028914474772539283
WMT240607C00068000,WMT,2024-06-04 19:04:12,2024-06-07,68.0,0.04,0.04,0.05,0.045,1649.0,1811.0,0.16211775390625,66.495,calls,0.0028914474772539283
WMT240607C00069000,WMT,2024-06-04 19:04:58,2024-06-07,69.0,0.02,0.02,0.03,0.025,88.0,171.0,0.21094539062499998,66.495,calls,0.0028914474772539283
WMT240607C00070000,WMT,2024-06-04 16:47:30,2024-06-07,70.0,0.02,0.01,0.02,0.015,27.0,362.0,0.257819921875,66.495,calls,0.0028914474772539283
WMT240607C00071000,WMT,2024-06-04 17:52:59,2024-06-07,71.0,0.02,0.01,0.02,0.015,10.0,115.0,0.31250687499999996,66.495,calls,0.0028914474772539283
WMT240607C00072000,WMT,2024-06-04 17:25:10,2024-06-07,72.0,0.01,0.0,0.01,0.005,13.0,325.0,0.335944140625,66.495,calls,0.0028914474772539283
WMT240607P00053000,WMT,2024-06-04 17:08:31,2024-06-07,53.0,0.02,0.0,1.27,0.635,5.0,97.0,1.8125009374999999,66.495,puts,0.0028914474772539283
WMT240607P00058000,WMT,2024-06-04 18:51:46,2024-06-07,58.0,0.01,0.0,0.02,0.01,94.0,248.0,0.5468795312500001,66.495,puts,0.0028914474772539283
WMT240607P00059000,WMT,2024-06-04 17:22:00,2024-06-07,59.0,0.01,0.01,0.02,0.015,3.0,437.0,0.51562984375,66.495,puts,0.0028914474772539283
WMT240607P00060000,WMT,2024-06-04 18:16:46,2024-06-07,60.0,0.01,0.01,0.02,0.015,44.0,4803.0,0.4687553125,66.495,puts,0.0028914474772539283
WMT240607P00061000,WMT,2024-06-04 17:59:56,2024-06-07,61.0,0.02,0.02,0.03,0.025,61.0,483.0,0.42969320312500003,66.495,puts,0.0028914474772539283
WMT240607P00062000,WMT,2024-06-04 18:13:27,2024-06-07,62.0,0.02,0.02,0.03,0.025,16.0,770.0,0.35938140625,66.495,puts,0.0028914474772539283
WMT240607P00063000,WMT,2024-06-04 18:38:21,2024-06-07,63.0,0.03,0.03,0.04,0.035,72.0,8617.0,0.3086006640625,66.495,puts,0.0028914474772539283
WMT240607P00064000,WMT,2024-06-04 17:41:14,2024-06-07,64.0,0.05,0.04,0.05,0.045,165.0,2918.0,0.2461012890625,66.495,puts,0.0028914474772539283
WMT240607P00065000,WMT,2024-06-04 18:55:35,2024-06-07,65.0,0.07,0.06,0.07,0.065,2821.0,5796.0,0.18164880859375,66.495,puts,0.0028914474772539283
WMT240607P00066000,WMT,2024-06-04 19:03:46,2024-06-07,66.0,0.19,0.19,0.2,0.195,7327.0,698.0,0.145516357421875,66.495,puts,0.0028914474772539283
WMT240607P00067000,WMT,2024-06-04 19:03:12,2024-06-07,67.0,0.69,0.66,0.69,0.675,1091.0,155.0,0.141610146484375,66.495,puts,0.0028914474772539283
WMT240607P00068000,WMT,2024-06-04 18:57:11,2024-06-07,68.0,1.5,1.52,1.6,1.56,14.0,9.0,0.20117986328124998,66.495,puts,0.0028914474772539283
WMT240614C00058000,WMT,2024-06-04 16:32:25,2024-06-14,58.0,8.3,8.45,8.7,8.575,3.0,25.0,0.5449264257812501,66.495,calls,0.0028914474772539283
WMT240614C00060000,WMT,2024-06-04 14:43:37,2024-06-14,60.0,6.14,6.1,6.7,6.4,2.0,222.0,0.437505625,66.495,calls,0.0028914474772539283
WMT240614C00061000,WMT,2024-06-04 17:18:06,2024-06-14,61.0,5.61,5.6,5.75,5.675,249.0,205.0,0.40918559570312496,66.495,calls,0.0028914474772539283
WMT240614C00062000,WMT,2024-06-04 17:38:39,2024-06-14,62.0,4.6,4.55,4.75,4.65,5.0,212.0,0.35205726074218746,66.495,calls,0.0028914474772539283
WMT240614C00063000,WMT,2024-06-04 18:50:05,2024-06-14,63.0,3.78,3.6,3.8,3.7,37.0,415.0,0.3129951513671875,66.495,calls,0.0028914474772539283
WMT240614C00064000,WMT,2024-06-04 18:36:44,2024-06-14,64.0,2.8,2.65,2.73,2.69,93.0,756.0,0.22705851074218747,66.495,calls,0.0028914474772539283
WMT240614C00065000,WMT,2024-06-04 19:03:11,2024-06-14,65.0,1.82,1.77,1.83,1.8,209.0,5199.0,0.19336744140625,66.495,calls,0.0028914474772539283
WMT240614C00066000,WMT,2024-06-04 18:51:33,2024-06-14,66.0,1.09,0.99,1.01,1.0,965.0,1016.0,0.159188095703125,66.495,calls,0.0028914474772539283
WMT240614C00067000,WMT,2024-06-04 19:03:12,2024-06-14,67.0,0.46,0.46,0.47,0.46499999999999997,3019.0,1045.0,0.1489342919921875,66.495,calls,0.0028914474772539283
WMT240614C00068000,WMT,2024-06-04 18:56:51,2024-06-14,68.0,0.2,0.17,0.18,0.175,497.0,632.0,0.14649291015625,66.495,calls,0.0028914474772539283
WMT240614C00069000,WMT,2024-06-04 18:10:34,2024-06-14,69.0,0.07,0.07,0.08,0.07500000000000001,296.0,521.0,0.159188095703125,66.495,calls,0.0028914474772539283
WMT240614C00070000,WMT,2024-06-04 17:39:05,2024-06-14,70.0,0.04,0.03,0.04,0.035,61.0,246.0,0.1757894921875,66.495,calls,0.0028914474772539283
WMT240614C00072000,WMT,2024-06-04 18:26:55,2024-06-14,72.0,0.02,0.01,0.02,0.015,102.0,582.0,0.22266402343749997,66.495,calls,0.0028914474772539283
WMT240614C00073000,WMT,2024-06-04 16:45:12,2024-06-14,73.0,0.02,0.01,0.02,0.015,1.0,72.0,0.25391371093750004,66.495,calls,0.0028914474772539283
WMT240614C00074000,WMT,2024-06-04 17:37:35,2024-06-14,74.0,0.02,0.0,0.02,0.01,2.0,92.0,0.28516339843749994,66.495,calls,0.0028914474772539283
WMT240614C00076000,WMT,2024-06-04 16:09:23,2024-06-14,76.0,0.01,,0.02,,2.0,,0.34766277343749996,66.495,calls,0.0028914474772539283
WMT240614P00059000,WMT,2024-06-04 16:02:50,2024-06-14,59.0,0.03,0.03,0.04,0.035,11.0,102.0,0.35742830078125,66.495,puts,0.0028914474772539283
WMT240614P00060000,WMT,2024-06-04 14:01:37,2024-06-14,60.0,0.04,0.03,0.04,0.035,6.0,296.0,0.31445998046874996,66.495,puts,0.0028914474772539283
WMT240614P00062000,WMT,2024-06-04 18:12:47,2024-06-14,62.0,0.05,0.05,0.06,0.055,17.0,4954.0,0.24805439453125,66.495,puts,0.0028914474772539283
WMT240614P00063000,WMT,2024-06-04 18:03:30,2024-06-14,63.0,0.06,0.06,0.07,0.065,46.0,663.0,0.20899228515624996,66.495,puts,0.0028914474772539283
WMT240614P00064000,WMT,2024-06-04 18:51:42,2024-06-14,64.0,0.1,0.09,0.1,0.095,101.0,2572.0,0.176766044921875,66.495,puts,0.0028914474772539283
WMT240614P00065000,WMT,2024-06-04 19:02:52,2024-06-14,65.0,0.2,0.18,0.19,0.185,555.0,2826.0,0.1538170556640625,66.495,puts,0.0028914474772539283
WMT240614P00066000,WMT,2024-06-04 19:02:02,2024-06-14,66.0,0.4,0.41,0.42,0.415,3242.0,227.0,0.139657041015625,66.495,puts,0.0028914474772539283
WMT240614P00067000,WMT,2024-06-04 18:59:50,2024-06-14,67.0,0.86,0.85,0.87,0.86,715.0,25.0,0.1274501318359375,66.495,puts,0.0028914474772539283
WMT240614P00068000,WMT,2024-06-04 18:46:20,2024-06-14,68.0,1.52,1.59,1.66,1.625,238.0,4.0,0.141610146484375,66.495,puts,0.0028914474772539283
WMT240621C00043330,WMT,2024-06-04 17:09:48,2024-06-21,43.33,23.2,23.2,23.35,23.275,2.0,2096.0,0.9687503125,66.495,calls,0.0028914474772539283
WMT240621C00050000,WMT,2024-06-04 18:58:23,2024-06-21,50.0,16.72,16.45,16.75,16.6,32.0,3921.0,0.6757844921875001,66.495,calls,0.0028914474772539283
WMT240621C00053330,WMT,2024-06-04 19:02:37,2024-06-21,53.33,13.36,13.25,13.45,13.35,4.0,9862.0,0.6103554589843752,66.495,calls,0.0028914474772539283
WMT240621C00055000,WMT,2024-06-04 18:48:37,2024-06-21,55.0,11.77,11.6,11.75,11.675,527.0,13517.0,0.5371140039062501,66.495,calls,0.0028914474772539283
WMT240621C00056670,WMT,2024-06-04 18:17:11,2024-06-21,56.67,10.04,9.95,10.15,10.05,6.0,8170.0,0.5419967675781252,66.495,calls,0.0028914474772539283
WMT240621C00057000,WMT,2024-06-04 17:34:33,2024-06-21,57.0,9.68,9.1,9.85,9.475,1.0,17.0,0.5395553857421876,66.495,calls,0.0028914474772539283
WMT240621C00058330,WMT,2024-06-04 18:00:05,2024-06-21,58.33,8.45,8.3,8.45,8.375,21.0,15690.0,0.44922425781249997,66.495,calls,0.0028914474772539283
WMT240621C00060000,WMT,2024-06-04 18:59:49,2024-06-21,60.0,6.85,6.65,6.8,6.725,153.0,8506.0,0.38281867187499996,66.495,calls,0.0028914474772539283
WMT240621C00061670,WMT,2024-06-04 18:55:41,2024-06-21,61.67,5.13,5.05,5.2,5.125,171.0,10843.0,0.3286199951171874,66.495,calls,0.0028914474772539283
WMT240621C00063000,WMT,2024-06-04 18:59:46,2024-06-21,63.0,3.8,3.7,3.85,3.7750000000000004,11.0,144.0,0.25879647460937505,66.495,calls,0.0028914474772539283
WMT240621C00063330,WMT,2024-06-04 18:46:49,2024-06-21,63.33,3.55,3.4,3.45,3.425,170.0,11905.0,0.22315229980468748,66.495,calls,0.0028914474772539283
WMT240621C00064000,WMT,2024-06-04 18:00:05,2024-06-21,64.0,2.9,2.68,2.85,2.765,105.0,467.0,0.20850400878906244,66.495,calls,0.0028914474772539283
WMT240621C00065000,WMT,2024-06-04 19:02:13,2024-06-21,65.0,1.93,1.87,1.94,1.905,1874.0,34215.0,0.17432466308593753,66.495,calls,0.0028914474772539283
WMT240621C00066000,WMT,2024-06-04 19:00:50,2024-06-21,66.0,1.2,1.15,1.16,1.1549999999999998,1760.0,4647.0,0.1506432592773438,66.495,calls,0.0028914474772539283
WMT240621C00066670,WMT,2024-06-04 19:03:13,2024-06-21,66.67,0.76,0.76,0.77,0.765,460.0,8237.0,0.14405152832031248,66.495,calls,0.0028914474772539283
WMT240621C00067000,WMT,2024-06-04 18:40:51,2024-06-21,67.0,0.64,0.6,0.62,0.61,709.0,2406.0,0.14283083740234376,66.495,calls,0.0028914474772539283
WMT240621C00068000,WMT,2024-06-04 18:46:01,2024-06-21,68.0,0.31,0.27,0.28,0.275,541.0,2327.0,0.13770393554687502,66.495,calls,0.0028914474772539283
WMT240621C00069000,WMT,2024-06-04 18:21:07,2024-06-21,69.0,0.13,0.12,0.13,0.125,69.0,203.0,0.14258669921875,66.495,calls,0.0028914474772539283
WMT240621C00070000,WMT,2024-06-04 18:51:40,2024-06-21,70.0,0.05,0.05,0.06,0.055,763.0,4588.0,0.149422568359375,66.495,calls,0.0028914474772539283
WMT240621C00072000,WMT,2024-06-04 17:58:32,2024-06-21,72.0,0.02,0.01,0.02,0.015,154.0,608.0,0.1757894921875,66.495,calls,0.0028914474772539283
WMT240621P00050000,WMT,2024-06-04 17:05:53,2024-06-21,50.0,0.01,0.0,0.02,0.01,34.0,13057.0,0.500005,66.495,puts,0.0028914474772539283
WMT240621P00051670,WMT,2024-06-04 18:26:38,2024-06-21,51.67,0.01,0.01,0.05,0.030000000000000002,20.0,10261.0,0.5117236328125,66.495,puts,0.0028914474772539283
WMT240621P00053330,WMT,2024-06-04 18:29:12,2024-06-21,53.33,0.01,0.01,0.02,0.015,17.0,11412.0,0.42969320312500003,66.495,puts,0.0028914474772539283
WMT240621P00056670,WMT,2024-06-04 18:46:17,2024-06-21,56.67,0.03,0.02,0.03,0.025,5.0,10558.0,0.3437565625,66.495,puts,0.0028914474772539283
WMT240621P00058330,WMT,2024-06-04 17:17:05,2024-06-21,58.33,0.04,0.03,0.04,0.035,43.0,9528.0,0.30274134765625,66.495,puts,0.0028914474772539283
WMT240621P00060000,WMT,2024-06-04 18:30:23,2024-06-21,60.0,0.05,0.04,0.05,0.045,66.0,9975.0,0.25586681640625003,66.495,puts,0.0028914474772539283
WMT240621P00061000,WMT,2024-06-04 16:58:39,2024-06-21,61.0,0.05,0.05,0.06,0.055,4.0,161.0,0.229499892578125,66.495,puts,0.0028914474772539283
WMT240621P00061670,WMT,2024-06-04 18:47:51,2024-06-21,61.67,0.06,0.06,0.07,0.065,4.0,5819.0,0.21289849609375,66.495,puts,0.0028914474772539283
WMT240621P00062000,WMT,2024-06-04 18:31:42,2024-06-21,62.0,0.07,0.06,0.07,0.065,6.0,2764.0,0.20020331054687499,66.495,puts,0.0028914474772539283
WMT240621P00063000,WMT,2024-06-04 18:45:19,2024-06-21,63.0,0.09,0.08,0.09,0.08499999999999999,90.0,790.0,0.17285983398437502,66.495,puts,0.0028914474772539283
WMT240621P00063330,WMT,2024-06-04 18:06:13,2024-06-21,63.33,0.1,0.09,0.1,0.095,47.0,4089.0,0.165047412109375,66.495,puts,0.0028914474772539283
WMT240621P00064000,WMT,2024-06-04 18:55:46,2024-06-21,64.0,0.13,0.13,0.14,0.135,956.0,5184.0,0.1518639501953125,66.495,puts,0.0028914474772539283
WMT240621P00065000,WMT,2024-06-04 18:52:58,2024-06-21,65.0,0.24,0.25,0.26,0.255,1346.0,8912.0,0.13672738281250002,66.495,puts,0.0028914474772539283
WMT240621P00066000,WMT,2024-06-04 19:02:07,2024-06-21,66.0,0.5,0.5,0.5,0.5,1535.0,1101.0,0.1235439208984375,66.495,puts,0.0028914474772539283
