contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
SPXW240604C02000000,^SPX,2024-06-04 00:31:18,2024-06-04,2000.0,3290.0,3298.4,3299.0,3298.7,,,9.71875392578125,5282.1499,calls,
SPXW240604C03000000,^SPX,2024-06-04 00:17:52,2024-06-04,3000.0,2288.5,2298.0,2298.5,2298.25,,,5.958010364990233,5282.1499,calls,
SPXW240604C04350000,^SPX,2024-06-04 16:53:07,2024-06-04,4350.0,917.3,937.9,943.5,940.7,1.0,12.0,2.1554611543273925,5282.1499,calls,
SPXW240604C04400000,^SPX,2024-06-04 18:35:13,2024-06-04,4400.0,893.2,898.7,899.5,899.1,1.0,,2.3449138056945795,5282.1499,calls,
SPXW240604C04450000,^SPX,2024-06-04 18:41:13,2024-06-04,4450.0,844.18,840.3,840.9,840.5999999999999,1.0,1.0,1.9411013687133791,5282.1499,calls,
SPXW240604C04750000,^SPX,2024-06-04 15:20:34,2024-06-04,4750.0,520.2,534.9,541.0,537.95,10.0,112.0,1.2287636218261717,5282.1499,calls,
SPXW240604C04875000,^SPX,2024-06-04 13:54:47,2024-06-04,4875.0,397.27,397.1,414.1,405.6,2.0,28.0,1.016179235534668,5282.1499,calls,
SPXW240604C04900000,^SPX,2024-06-04 15:47:22,2024-06-04,4900.0,363.72,381.1,393.5,387.3,5.0,8.0,0.9107064593505858,5282.1499,calls,
SPXW240604C04910000,^SPX,2024-06-04 17:18:50,2024-06-04,4910.0,364.9,376.6,378.8,377.70000000000005,1.0,23.0,0.9035654174804688,5282.1499,calls,
SPXW240604C04920000,^SPX,2024-06-04 15:47:22,2024-06-04,4920.0,343.69,361.1,373.5,367.3,1.0,1.0,0.8712781427001952,5282.1499,calls,
SPXW240604C04950000,^SPX,2024-06-04 18:13:01,2024-06-04,4950.0,331.99,331.8,340.1,335.95000000000005,1.0,2.0,0.7686790710449221,5282.1499,calls,
SPXW240604C04975000,^SPX,2024-06-04 14:41:57,2024-06-04,4975.0,305.06,301.9,315.0,308.45,2.0,2.0,0.6214637463378907,5282.1499,calls,
SPXW240604C05000000,^SPX,2024-06-04 18:54:11,2024-06-04,5000.0,296.51,281.8,292.3,287.05,3.0,69.0,0.7048979705810547,5282.1499,calls,
SPXW240604C05005000,^SPX,2024-06-04 18:39:20,2024-06-04,5005.0,289.16,293.0,293.6,293.3,1.0,,0.9296271685791015,5282.1499,calls,
SPXW240604C05020000,^SPX,2024-06-04 16:55:13,2024-06-04,5020.0,252.32,261.1,273.5,267.3,20.0,28.0,0.6713900048828126,5282.1499,calls,
SPXW240604C05030000,^SPX,2024-06-04 16:55:13,2024-06-04,5030.0,242.29,244.8,259.1,251.95000000000002,20.0,22.0,0.6946441668701173,5282.1499,calls,
SPXW240604C05050000,^SPX,2024-06-04 18:41:00,2024-06-04,5050.0,244.71,237.8,243.5,240.65,19.0,40.0,0.6846345013427735,5282.1499,calls,
SPXW240604C05055000,^SPX,2024-06-04 13:41:56,2024-06-04,5055.0,216.22,226.1,238.5,232.3,9.0,65.0,0.5998575170898439,5282.1499,calls,
SPXW240604C05060000,^SPX,2024-06-04 14:45:44,2024-06-04,5060.0,218.8,225.5,227.6,226.55,11.0,32.0,0.5708050732421875,5282.1499,calls,
