contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
AAPL240607C00110000,AAPL,2024-06-04 18:35:18,2024-06-07,110.0,85.1,83.1,85.75,84.425,20.0,3.0,2.2031294921874993,194.365,calls,0.0012090654181565609
AAPL240607C00150000,AAPL,2024-06-04 13:30:09,2024-06-07,150.0,45.0,43.15,45.75,44.45,1.0,156.0,1.12891060546875,194.365,calls,0.0012090654181565609
AAPL240607C00155000,AAPL,2024-06-04 14:21:11,2024-06-07,155.0,39.07,39.0,40.8,39.9,1.0,34.0,1.3408236083984373,194.365,calls,0.0012090654181565609
AAPL240607C00160000,AAPL,2024-06-04 19:41:31,2024-06-07,160.0,34.62,33.15,35.7,34.425,2.0,170.0,0.8437515624999999,194.365,calls,0.0012090654181565609
AAPL240607C00165000,AAPL,2024-06-04 19:01:01,2024-06-07,165.0,29.75,28.3,29.9,29.1,2.0,172.0,1.0332079589843752,194.365,calls,0.0012090654181565609
AAPL240607C00170000,AAPL,2024-06-04 19:55:29,2024-06-07,170.0,24.34,23.95,26.5,25.225,14.0,636.0,0.9907227490234375,194.365,calls,0.0012090654181565609
AAPL240607C00172500,AAPL,2024-06-04 19:31:51,2024-06-07,172.5,22.55,21.8,22.15,21.975,45.0,231.0,0.5976602734375001,194.365,calls,0.0012090654181565609
AAPL240607C00175000,AAPL,2024-06-04 19:29:58,2024-06-07,175.0,19.42,18.25,20.15,19.2,88.0,1350.0,0.80664255859375,194.365,calls,0.0012090654181565609
AAPL240607C00177500,AAPL,2024-06-04 19:48:50,2024-06-07,177.5,17.32,16.65,17.15,16.9,24.0,432.0,0.5654340332031251,194.365,calls,0.0012090654181565609
AAPL240607C00180000,AAPL,2024-06-04 19:56:58,2024-06-07,180.0,14.49,12.7,15.6,14.149999999999999,211.0,3426.0,0.74414318359375,194.365,calls,0.0012090654181565609
AAPL240607C00182500,AAPL,2024-06-04 17:28:45,2024-06-07,182.5,12.5,10.85,12.85,11.85,115.0,1175.0,0.6035195898437502,194.365,calls,0.0012090654181565609
AAPL240607C00185000,AAPL,2024-06-04 19:57:45,2024-06-07,185.0,9.54,9.35,10.0,9.675,3204.0,5731.0,0.44336494140625,194.365,calls,0.0012090654181565609
AAPL240607C00187500,AAPL,2024-06-04 19:59:47,2024-06-07,187.5,7.05,6.95,7.7,7.325,632.0,7338.0,0.3967345483398438,194.365,calls,0.0012090654181565609
AAPL240607C00190000,AAPL,2024-06-04 19:59:49,2024-06-07,190.0,4.65,4.6,4.75,4.675,5518.0,13870.0,0.22364057617187497,194.365,calls,0.0012090654181565609
AAPL240607C00192500,AAPL,2024-06-04 19:59:26,2024-06-07,192.5,2.68,2.48,2.95,2.715,25600.0,21608.0,0.2329178271484375,194.365,calls,0.0012090654181565609
AAPL240607C00195000,AAPL,2024-06-04 19:59:58,2024-06-07,195.0,1.19,1.18,1.24,1.21,100236.0,31455.0,0.18970536865234378,194.365,calls,0.0012090654181565609
AAPL240607C00197500,AAPL,2024-06-04 19:59:59,2024-06-07,197.5,0.41,0.4,0.42,0.41000000000000003,48867.0,16265.0,0.1828694995117187,194.365,calls,0.0012090654181565609
AAPL240607C00200000,AAPL,2024-06-04 20:00:00,2024-06-07,200.0,0.13,0.12,0.13,0.125,30088.0,44501.0,0.18946123046875002,194.365,calls,0.0012090654181565609
AAPL240607C00202500,AAPL,2024-06-04 19:59:13,2024-06-07,202.5,0.05,0.05,0.06,0.055,6984.0,11685.0,0.2148516015625,194.365,calls,0.0012090654181565609
AAPL240607C00205000,AAPL,2024-06-04 19:59:44,2024-06-07,205.0,0.01,0.01,0.02,0.015,5034.0,17717.0,0.22657023437499998,194.365,calls,0.0012090654181565609
AAPL240607C00207500,AAPL,2024-06-04 19:41:57,2024-06-07,207.5,0.01,0.0,0.02,0.01,2968.0,9453.0,0.2695385546875,194.365,calls,0.0012090654181565609
AAPL240607C00210000,AAPL,2024-06-04 19:14:51,2024-06-07,210.0,0.01,0.0,0.01,0.005,100.0,6735.0,0.2890696093749999,194.365,calls,0.0012090654181565609
AAPL240607C00212500,AAPL,2024-06-04 13:41:06,2024-06-07,212.5,0.01,0.0,0.01,0.005,142.0,309.0,0.32813171874999997,194.365,calls,0.0012090654181565609
AAPL240607C00215000,AAPL,2024-06-04 14:35:30,2024-06-07,215.0,0.01,0.0,0.01,0.005,2.0,1087.0,0.367193828125,194.365,calls,0.0012090654181565609
AAPL240607C00225000,AAPL,2024-06-04 15:47:33,2024-06-07,225.0,0.01,0.0,0.01,0.005,2.0,436.0,0.507817421875,194.365,calls,0.0012090654181565609
