contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
ADBE240607C00430000,ADBE,2024-06-04 15:00:01,2024-06-07,430.0,17.5,15.35,23.0,19.175,5.0,71.0,0.63086306640625,448.38,calls,1.4496632320799323e-05
ADBE240607C00435000,ADBE,2024-06-04 19:59:38,2024-06-07,435.0,14.5,13.2,16.45,14.825,22.0,318.0,0.4371394177246094,448.38,calls,1.4496632320799323e-05
ADBE240607C00440000,ADBE,2024-06-04 19:53:19,2024-06-07,440.0,10.1,9.65,14.55,12.100000000000001,142.0,250.0,0.528447098388672,448.38,calls,1.4496632320799323e-05
ADBE240607C00445000,ADBE,2024-06-04 19:59:58,2024-06-07,445.0,7.0,6.7,7.2,6.95,433.0,375.0,0.2866282275390625,448.38,calls,1.4496632320799323e-05
ADBE240607C00450000,ADBE,2024-06-04 19:56:29,2024-06-07,450.0,4.2,4.05,4.5,4.275,885.0,550.0,0.2811961529541015,448.38,calls,1.4496632320799323e-05
ADBE240607C00455000,ADBE,2024-06-04 19:59:59,2024-06-07,455.0,2.47,2.18,2.65,2.415,603.0,620.0,0.28211167114257807,448.38,calls,1.4496632320799323e-05
ADBE240607C00460000,ADBE,2024-06-04 19:54:01,2024-06-07,460.0,1.35,1.16,1.5,1.33,623.0,857.0,0.2873606420898437,448.38,calls,1.4496632320799323e-05
ADBE240607C00462500,ADBE,2024-06-04 19:55:48,2024-06-07,462.5,0.88,0.87,1.1,0.9850000000000001,179.0,260.0,0.28955788574218744,448.38,calls,1.4496632320799323e-05
ADBE240607C00465000,ADBE,2024-06-04 19:59:15,2024-06-07,465.0,0.7,0.13,0.76,0.445,620.0,536.0,0.2880930566406249,448.38,calls,1.4496632320799323e-05
ADBE240607C00467500,ADBE,2024-06-04 19:48:51,2024-06-07,467.5,0.5,0.14,0.56,0.35000000000000003,72.0,151.0,0.2929758203124999,448.38,calls,1.4496632320799323e-05
ADBE240607C00470000,ADBE,2024-06-04 19:54:04,2024-06-07,470.0,0.35,0.3,0.34,0.32,459.0,621.0,0.28613995117187496,448.38,calls,1.4496632320799323e-05
ADBE240607C00472500,ADBE,2024-06-04 19:43:53,2024-06-07,472.5,0.25,0.17,0.42,0.295,207.0,273.0,0.32520206054687495,448.38,calls,1.4496632320799323e-05
ADBE240607C00475000,ADBE,2024-06-04 19:59:15,2024-06-07,475.0,0.24,0.1,0.32,0.21000000000000002,408.0,871.0,0.3315496533203125,448.38,calls,1.4496632320799323e-05
ADBE240607C00477500,ADBE,2024-06-04 19:33:12,2024-06-07,477.5,0.12,0.07,0.15,0.11,20.0,126.0,0.3100654931640625,448.38,calls,1.4496632320799323e-05
