contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
AMZN240607C00100000,AMZN,2024-06-04 18:24:51,2024-06-07,100.0,79.64,79.05,79.75,79.4,22.0,28.0,2.2187544531249994,179.35,calls,
AMZN240607C00125000,AMZN,2024-06-04 13:30:05,2024-06-07,125.0,53.02,53.75,54.95,54.35,1.0,33.0,1.1875040625,179.35,calls,
AMZN240607C00135000,AMZN,2024-06-04 16:15:11,2024-06-07,135.0,43.25,43.75,44.95,44.35,1.0,257.0,0.9531254687499999,179.35,calls,
AMZN240607C00140000,AMZN,2024-06-04 17:07:27,2024-06-07,140.0,38.5,38.8,40.0,39.4,1.0,63.0,1.0234423828125,179.35,calls,
AMZN240607C00150000,AMZN,2024-06-04 17:14:22,2024-06-07,150.0,28.8,29.1,29.75,29.425,26.0,457.0,0.804689453125,179.35,calls,
AMZN240607C00155000,AMZN,2024-06-04 15:45:54,2024-06-07,155.0,23.62,23.8,25.05,24.425,3.0,95.0,0.6757844921875001,179.35,calls,
AMZN240607C00160000,AMZN,2024-06-04 18:24:07,2024-06-07,160.0,19.5,18.85,20.4,19.625,8.0,284.0,0.6835969140625001,179.35,calls,
AMZN240607C00162500,AMZN,2024-06-04 16:19:36,2024-06-07,162.5,17.05,16.55,17.6,17.075000000000003,5.0,40.0,0.5839885351562499,179.35,calls,
AMZN240607C00165000,AMZN,2024-06-04 19:38:44,2024-06-07,165.0,14.05,13.85,15.05,14.45,15.0,347.0,0.6748079394531252,179.35,calls,
AMZN240607C00167500,AMZN,2024-06-04 18:15:05,2024-06-07,167.5,11.6,11.45,12.4,11.925,70.0,221.0,0.5454147021484376,179.35,calls,
AMZN240607C00170000,AMZN,2024-06-04 19:59:02,2024-06-07,170.0,9.58,9.2,9.85,9.524999999999999,293.0,1822.0,0.4458063232421875,179.35,calls,
AMZN240607C00172500,AMZN,2024-06-04 19:59:59,2024-06-07,172.5,7.15,6.9,7.25,7.075,632.0,1904.0,0.33350275878906255,179.35,calls,
AMZN240607C00175000,AMZN,2024-06-04 19:59:59,2024-06-07,175.0,4.85,4.75,5.0,4.875,3662.0,7870.0,0.29395237304687494,179.35,calls,
AMZN240607C00177500,AMZN,2024-06-04 19:59:50,2024-06-07,177.5,2.89,2.85,2.97,2.91,12276.0,9681.0,0.2563550927734375,179.35,calls,
AMZN240607C00180000,AMZN,2024-06-04 19:59:58,2024-06-07,180.0,1.48,1.45,1.5,1.475,36177.0,20343.0,0.241218525390625,179.35,calls,
AMZN240607C00182500,AMZN,2024-06-04 19:59:51,2024-06-07,182.5,0.61,0.59,0.64,0.615,18885.0,16272.0,0.2375564526367187,179.35,calls,
AMZN240607C00185000,AMZN,2024-06-04 19:59:54,2024-06-07,185.0,0.21,0.21,0.24,0.22499999999999998,9565.0,13935.0,0.24073024902343748,179.35,calls,
AMZN240607C00187500,AMZN,2024-06-04 19:59:47,2024-06-07,187.5,0.07,0.07,0.08,0.07500000000000001,4319.0,8735.0,0.2461012890625,179.35,calls,
AMZN240607C00190000,AMZN,2024-06-04 19:59:44,2024-06-07,190.0,0.04,0.03,0.04,0.035,2148.0,15274.0,0.2695385546875,179.35,calls,
AMZN240607C00192500,AMZN,2024-06-04 19:56:59,2024-06-07,192.5,0.03,0.02,0.03,0.025,1396.0,6033.0,0.3086006640625,179.35,calls,
AMZN240607C00195000,AMZN,2024-06-04 19:52:32,2024-06-07,195.0,0.02,0.01,0.02,0.015,1030.0,9317.0,0.3398503515625,179.35,calls,
AMZN240607C00197500,AMZN,2024-06-04 19:58:20,2024-06-07,197.5,0.02,0.01,0.02,0.015,514.0,1446.0,0.38281867187499996,179.35,calls,
AMZN240607C00200000,AMZN,2024-06-04 19:19:17,2024-06-07,200.0,0.01,0.0,0.01,0.005,302.0,4345.0,0.39063109375,179.35,calls,
AMZN240607C00202500,AMZN,2024-06-04 18:01:33,2024-06-07,202.5,0.01,0.0,0.02,0.01,29.0,986.0,0.4687553125,179.35,calls,
AMZN240607C00205000,AMZN,2024-06-04 19:44:28,2024-06-07,205.0,0.01,0.0,0.01,0.005,43.0,7077.0,0.4687553125,179.35,calls,
AMZN240607C00207500,AMZN,2024-06-04 19:01:57,2024-06-07,207.5,0.01,0.0,0.05,0.025,1.0,396.0,0.5625043750000001,179.35,calls,
AMZN240607C00210000,AMZN,2024-06-04 18:58:52,2024-06-07,210.0,0.01,0.0,0.01,0.005,120.0,2606.0,0.51562984375,179.35,calls,
AMZN240607C00255000,AMZN,2024-06-04 16:31:45,2024-06-07,255.0,0.01,0.0,0.01,0.005,12.0,232.0,1.0625046875000002,179.35,calls,
AMZN240607P00150000,AMZN,2024-06-04 18:14:00,2024-06-07,150.0,0.01,0.0,0.01,0.005,120.0,1489.0,0.57812921875,179.35,puts,
AMZN240607P00152500,AMZN,2024-06-04 16:02:49,2024-06-07,152.5,0.02,0.0,0.01,0.005,16.0,,0.5312546875,179.35,puts,
AMZN240607P00155000,AMZN,2024-06-04 18:46:32,2024-06-07,155.0,0.01,0.01,0.04,0.025,80.0,1846.0,0.5742230078125,179.35,puts,
AMZN240607P00157500,AMZN,2024-06-04 19:46:12,2024-06-07,157.5,0.02,0.01,0.02,0.015,123.0,1341.0,0.5039112109375,179.35,puts,
AMZN240607P00160000,AMZN,2024-06-04 19:20:03,2024-06-07,160.0,0.01,0.01,0.02,0.015,399.0,2489.0,0.44922425781249997,179.35,puts,
AMZN240607P00162500,AMZN,2024-06-04 19:54:19,2024-06-07,162.5,0.02,0.02,0.03,0.025,377.0,942.0,0.414068359375,179.35,puts,
AMZN240607P00165000,AMZN,2024-06-04 19:48:18,2024-06-07,165.0,0.02,0.03,0.04,0.035,324.0,3693.0,0.37500625,179.35,puts,
AMZN240607P00167500,AMZN,2024-06-04 19:57:03,2024-06-07,167.5,0.05,0.05,0.06,0.055,579.0,2511.0,0.335944140625,179.35,puts,
AMZN240607P00170000,AMZN,2024-06-04 19:57:50,2024-06-07,170.0,0.08,0.09,0.1,0.095,3150.0,5356.0,0.3007882421875,179.35,puts,
AMZN240607P00172500,AMZN,2024-06-04 19:59:52,2024-06-07,172.5,0.18,0.16,0.18,0.16999999999999998,5309.0,6274.0,0.26563234375,179.35,puts,
AMZN240607P00175000,AMZN,2024-06-04 19:59:59,2024-06-07,175.0,0.4,0.38,0.42,0.4,13439.0,14832.0,0.24658956542968752,179.35,puts,
AMZN240607P00177500,AMZN,2024-06-04 19:59:21,2024-06-07,177.5,0.95,0.9,0.98,0.94,13460.0,6420.0,0.23462679443359374,179.35,puts,
AMZN240607P00180000,AMZN,2024-06-04 19:59:59,2024-06-07,180.0,2.03,1.94,2.06,2.0,3969.0,6723.0,0.22779092529296874,179.35,puts,
AMZN240607P00182500,AMZN,2024-06-04 19:58:30,2024-06-07,182.5,3.72,3.65,3.8,3.7249999999999996,457.0,2653.0,0.2375564526367187,179.35,puts,
AMZN240607P00185000,AMZN,2024-06-04 19:59:59,2024-06-07,185.0,5.82,5.7,5.95,5.825,322.0,1897.0,0.25391371093750004,179.35,puts,
AMZN240607P00187500,AMZN,2024-06-04 19:30:02,2024-06-07,187.5,8.39,7.8,8.4,8.1,57.0,416.0,0.31250687499999996,179.35,puts,
AMZN240607P00190000,AMZN,2024-06-04 19:30:02,2024-06-07,190.0,10.87,10.35,10.85,10.6,33.0,38.0,0.36035795898437495,179.35,puts,
AMZN240607P00197500,AMZN,2024-06-04 14:33:59,2024-06-07,197.5,19.68,17.85,18.4,18.125,1.0,0.0,0.5644574804687501,179.35,puts,
AMZN240607P00255000,AMZN,2024-06-04 15:56:53,2024-06-07,255.0,76.9,75.1,75.4,75.25,2.0,,1.0000000000000003e-05,179.35,puts,
AMZN240614C00100000,AMZN,2024-06-04 18:24:51,2024-06-14,100.0,79.79,79.05,79.8,79.425,18.0,11.0,1.39453427734375,179.35,calls,
AMZN240614C00110000,AMZN,2024-06-04 16:36:41,2024-06-14,110.0,68.52,69.05,69.85,69.44999999999999,1.0,37.0,1.2265663671875,179.35,calls,
AMZN240614C00125000,AMZN,2024-06-04 16:50:03,2024-06-14,125.0,54.25,54.15,55.6,54.875,1.0,115.0,1.2041055419921873,179.35,calls,
AMZN240614C00130000,AMZN,2024-06-04 19:41:45,2024-06-14,130.0,49.28,49.1,49.85,49.475,2.0,7.0,0.867188828125,179.35,calls,
AMZN240614C00150000,AMZN,2024-06-04 18:23:15,2024-06-14,150.0,30.0,29.2,30.05,29.625,6.0,77.0,0.5937540625000001,179.35,calls,
AMZN240614C00155000,AMZN,2024-06-04 16:11:26,2024-06-14,155.0,23.44,23.7,25.6,24.65,1.0,305.0,0.5112353564453125,179.35,calls,
