contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
AVGO240607C01060000,AVGO,2024-06-04 13:51:37,2024-06-07,1060.0,252.9,264.6,279.5,272.05,2.0,2.0,1.0988814587402347,1331.33,calls,0.0034026124251688157
AVGO240607C01200000,AVGO,2024-06-04 14:15:44,2024-06-07,1200.0,111.12,125.0,139.1,132.05,2.0,38.0,0.5666547241210937,1331.33,calls,0.0034026124251688157
AVGO240607C01270000,AVGO,2024-06-04 19:54:33,2024-06-07,1270.0,65.2,61.5,68.2,64.85,4.0,9.0,0.5127001855468749,1331.33,calls,0.0034026124251688157
AVGO240607C01280000,AVGO,2024-06-04 19:22:40,2024-06-07,1280.0,47.8,53.2,59.0,56.1,6.0,15.0,0.47855135711669916,1331.33,calls,0.0034026124251688157
AVGO240607C01290000,AVGO,2024-06-04 19:22:01,2024-06-07,1290.0,39.9,45.0,50.7,47.85,10.0,13.0,0.4606377178955079,1331.33,calls,0.0034026124251688157
AVGO240607C01295000,AVGO,2024-06-04 18:00:20,2024-06-07,1295.0,39.5,41.2,46.9,44.05,21.0,13.0,0.4563042651367188,1331.33,calls,0.0034026124251688157
AVGO240607C01300000,AVGO,2024-06-04 19:54:39,2024-06-07,1300.0,38.85,37.6,43.5,40.55,70.0,45.0,0.45770805969238293,1331.33,calls,0.0034026124251688157
AVGO240607C01305000,AVGO,2024-06-04 18:46:02,2024-06-07,1305.0,32.1,33.9,39.0,36.45,71.0,27.0,0.4343318286132813,1331.33,calls,0.0034026124251688157
AVGO240607C01310000,AVGO,2024-06-04 19:59:31,2024-06-07,1310.0,31.73,30.7,36.2,33.45,254.0,68.0,0.44232735412597657,1331.33,calls,0.0034026124251688157
AVGO240607C01315000,AVGO,2024-06-04 19:23:16,2024-06-07,1315.0,26.8,27.3,29.7,28.5,88.0,233.0,0.37723401092529296,1331.33,calls,0.0034026124251688157
AVGO240607C01320000,AVGO,2024-06-04 19:56:41,2024-06-07,1320.0,24.6,24.0,26.5,25.25,186.0,146.0,0.3729005581665039,1331.33,calls,0.0034026124251688157
AVGO240607C01325000,AVGO,2024-06-04 19:59:53,2024-06-07,1325.0,23.0,21.7,26.0,23.85,159.0,210.0,0.41425146301269533,1331.33,calls,0.0034026124251688157
AVGO240607C01330000,AVGO,2024-06-04 19:59:37,2024-06-07,1330.0,20.0,19.4,20.5,19.95,186.0,173.0,0.36154813262939456,1331.33,calls,0.0034026124251688157
AVGO240607C01335000,AVGO,2024-06-04 19:59:17,2024-06-07,1335.0,17.1,16.5,18.6,17.55,123.0,154.0,0.3704896936035156,1331.33,calls,0.0034026124251688157
AVGO240607C01340000,AVGO,2024-06-04 19:59:37,2024-06-07,1340.0,15.3,14.5,16.0,15.25,1167.0,85.0,0.3632876171875,1331.33,calls,0.0034026124251688157
AVGO240607C01345000,AVGO,2024-06-04 19:54:16,2024-06-07,1345.0,13.0,12.4,14.3,13.350000000000001,173.0,89.0,0.36902486450195315,1331.33,calls,0.0034026124251688157
AVGO240607C01350000,AVGO,2024-06-04 19:59:45,2024-06-07,1350.0,11.54,10.9,11.8,11.350000000000001,2469.0,456.0,0.3562076098632812,1331.33,calls,0.0034026124251688157
AVGO240607C01355000,AVGO,2024-06-04 19:58:54,2024-06-07,1355.0,9.75,9.2,10.7,9.95,201.0,131.0,0.36676658630371095,1331.33,calls,0.0034026124251688157
AVGO240607C01360000,AVGO,2024-06-04 19:59:59,2024-06-07,1360.0,9.1,8.0,9.1,8.55,292.0,216.0,0.36426416992187505,1331.33,calls,0.0034026124251688157
AVGO240607C01365000,AVGO,2024-06-04 19:57:51,2024-06-07,1365.0,6.65,6.6,7.7,7.15,206.0,101.0,0.362311064453125,1331.33,calls,0.0034026124251688157
AVGO240607C01370000,AVGO,2024-06-04 19:59:52,2024-06-07,1370.0,6.0,5.7,6.2,5.95,428.0,191.0,0.35407140075683585,1331.33,calls,0.0034026124251688157
AVGO240607C01375000,AVGO,2024-06-04 19:59:37,2024-06-07,1375.0,4.88,4.6,5.2,4.9,384.0,195.0,0.3537662280273437,1331.33,calls,0.0034026124251688157
AVGO240607C01380000,AVGO,2024-06-04 19:59:55,2024-06-07,1380.0,4.2,3.6,4.4,4.0,639.0,148.0,0.35535312622070303,1331.33,calls,0.0034026124251688157
AVGO240607C01382500,AVGO,2024-06-04 19:55:28,2024-06-07,1382.5,3.7,3.3,4.3,3.8,85.0,183.0,0.36377589355468753,1331.33,calls,0.0034026124251688157
