contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CRM240607C00200000,CRM,2024-06-04 18:43:09,2024-06-07,200.0,35.6,32.7,37.1,34.900000000000006,6.0,146.0,0.64062859375,234.96,calls,0.0017024174327545114
CRM240607C00205000,CRM,2024-06-04 13:30:22,2024-06-07,205.0,30.93,27.7,32.2,29.950000000000003,10.0,119.0,0.6171913281250001,234.96,calls,0.0017024174327545114
CRM240607C00210000,CRM,2024-06-04 14:55:31,2024-06-07,210.0,23.0,22.6,27.1,24.85,25.0,783.0,1.0988814587402347,234.96,calls,0.0017024174327545114
CRM240607C00215000,CRM,2024-06-04 19:59:21,2024-06-07,215.0,20.56,19.1,21.85,20.475,76.0,1573.0,0.6289099609375001,234.96,calls,0.0017024174327545114
CRM240607C00217500,CRM,2024-06-04 16:37:10,2024-06-07,217.5,16.6,16.4,19.05,17.725,11.0,,0.7751487329101563,234.96,calls,0.0017024174327545114
CRM240607C00220000,CRM,2024-06-04 19:56:37,2024-06-07,220.0,15.21,13.45,16.9,15.174999999999999,124.0,1935.0,0.7524438818359375,234.96,calls,0.0017024174327545114
CRM240607C00225000,CRM,2024-06-04 19:59:52,2024-06-07,225.0,10.1,10.1,10.6,10.35,274.0,2228.0,0.39551385742187506,234.96,calls,0.0017024174327545114
CRM240607C00227500,CRM,2024-06-04 18:38:09,2024-06-07,227.5,8.1,8.45,8.75,8.6,148.0,,0.4194393994140625,234.96,calls,0.0017024174327545114
CRM240607C00230000,CRM,2024-06-04 19:58:13,2024-06-07,230.0,6.0,5.6,6.15,5.875,1385.0,3175.0,0.32349309326171866,234.96,calls,0.0017024174327545114
CRM240607C00232500,CRM,2024-06-04 18:45:22,2024-06-07,232.5,4.65,4.45,4.65,4.550000000000001,558.0,,0.34204759521484374,234.96,calls,0.0017024174327545114
CRM240607C00235000,CRM,2024-06-04 19:59:55,2024-06-07,235.0,2.79,2.73,2.93,2.83,5288.0,4038.0,0.305671005859375,234.96,calls,0.0017024174327545114
CRM240607C00237500,CRM,2024-06-04 18:48:51,2024-06-07,237.5,2.01,1.99,2.1,2.045,3670.0,,0.32959654785156245,234.96,calls,0.0017024174327545114
CRM240607C00240000,CRM,2024-06-04 19:59:57,2024-06-07,240.0,1.13,1.07,1.17,1.12,9186.0,4740.0,0.3107979077148437,234.96,calls,0.0017024174327545114
CRM240607C00242500,CRM,2024-06-04 18:47:41,2024-06-07,242.5,0.8,0.8,0.84,0.8200000000000001,3150.0,,0.33789724609375,234.96,calls,0.0017024174327545114
CRM240607C00245000,CRM,2024-06-04 19:59:51,2024-06-07,245.0,0.38,0.38,0.44,0.41000000000000003,4449.0,2788.0,0.32959654785156245,234.96,calls,0.0017024174327545114
CRM240607C00247500,CRM,2024-06-04 19:58:00,2024-06-07,247.5,0.27,0.22,0.3,0.26,1086.0,1411.0,0.3491276025390625,234.96,calls,0.0017024174327545114
CRM240607C00250000,CRM,2024-06-04 19:57:15,2024-06-07,250.0,0.2,0.18,0.19,0.185,4595.0,7347.0,0.362311064453125,234.96,calls,0.0017024174327545114
CRM240607C00252500,CRM,2024-06-04 19:57:16,2024-06-07,252.5,0.1,0.1,0.17,0.135,331.0,1036.0,0.398443515625,234.96,calls,0.0017024174327545114
CRM240607C00255000,CRM,2024-06-04 19:59:30,2024-06-07,255.0,0.12,0.1,0.14,0.12000000000000001,477.0,1155.0,0.42676354492187507,234.96,calls,0.0017024174327545114
CRM240607C00257500,CRM,2024-06-04 19:45:15,2024-06-07,257.5,0.06,0.0,0.11,0.055,85.0,338.0,0.44922425781249997,234.96,calls,0.0017024174327545114
CRM240607C00260000,CRM,2024-06-04 19:50:01,2024-06-07,260.0,0.16,0.06,0.11,0.08499999999999999,243.0,816.0,0.48828636718750007,234.96,calls,0.0017024174327545114
CRM240607C00262500,CRM,2024-06-04 19:03:15,2024-06-07,262.5,0.07,0.05,0.11,0.08,16.0,594.0,0.5019581054687501,234.96,calls,0.0017024174327545114
CRM240607C00265000,CRM,2024-06-04 19:15:42,2024-06-07,265.0,0.05,0.05,0.14,0.095,163.0,369.0,0.5507857421875001,234.96,calls,0.0017024174327545114
CRM240607C00267500,CRM,2024-06-04 14:49:42,2024-06-07,267.5,0.09,0.02,0.08,0.05,45.0,246.0,0.5390671093750001,234.96,calls,0.0017024174327545114
CRM240607C00270000,CRM,2024-06-04 19:18:14,2024-06-07,270.0,0.05,0.0,0.05,0.025,114.0,663.0,0.523442265625,234.96,calls,0.0017024174327545114
CRM240607C00272500,CRM,2024-06-04 15:06:36,2024-06-07,272.5,0.04,0.0,0.05,0.025,3.0,565.0,0.5546919531250001,234.96,calls,0.0017024174327545114
CRM240607C00275000,CRM,2024-06-04 16:56:01,2024-06-07,275.0,0.03,0.01,0.07,0.04,40.0,798.0,0.6171913281250001,234.96,calls,0.0017024174327545114
CRM240607C00277500,CRM,2024-06-04 18:25:07,2024-06-07,277.5,0.02,0.01,0.09,0.049999999999999996,65.0,236.0,0.6679720703125002,234.96,calls,0.0017024174327545114
CRM240607C00280000,CRM,2024-06-04 19:45:24,2024-06-07,280.0,0.01,0.01,0.03,0.02,63.0,865.0,0.632816171875,234.96,calls,0.0017024174327545114
CRM240607C00282500,CRM,2024-06-04 17:18:12,2024-06-07,282.5,0.02,0.0,0.05,0.025,6.0,308.0,0.6718782812500002,234.96,calls,0.0017024174327545114
CRM240607C00285000,CRM,2024-06-04 17:49:22,2024-06-07,285.0,0.01,0.0,0.03,0.015,21.0,946.0,0.6640658593750002,234.96,calls,0.0017024174327545114
CRM240607C00287500,CRM,2024-06-04 18:33:34,2024-06-07,287.5,0.03,0.0,0.07,0.035,28.0,291.0,0.7578149218750001,234.96,calls,0.0017024174327545114
CRM240607C00290000,CRM,2024-06-04 17:54:23,2024-06-07,290.0,0.01,0.0,0.02,0.01,28.0,509.0,0.6875031250000001,234.96,calls,0.0017024174327545114
