contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
CVS240607C00050000,CVS,2024-06-04 14:10:02,2024-06-07,50.0,10.01,10.15,11.35,10.75,1.0,35.0,1.4960962695312499,60.255,calls,0.009874699195087544
CVS240607C00051000,CVS,2024-06-04 17:33:51,2024-06-07,51.0,9.0,9.15,10.3,9.725000000000001,4.0,5.0,1.3574250878906249,60.255,calls,0.009874699195087544
CVS240607C00053000,CVS,2024-06-04 19:36:44,2024-06-07,53.0,7.38,7.15,8.3,7.7250000000000005,35.0,564.0,1.125004375,60.255,calls,0.009874699195087544
CVS240607C00053500,CVS,2024-06-04 19:21:28,2024-06-07,53.5,6.87,6.65,6.9,6.775,1.0,171.0,0.51562984375,60.255,calls,0.009874699195087544
CVS240607C00054000,CVS,2024-06-04 19:35:24,2024-06-07,54.0,6.4,6.15,7.2,6.675000000000001,6.0,489.0,0.971679970703125,60.255,calls,0.009874699195087544
CVS240607C00055000,CVS,2024-06-04 17:53:56,2024-06-07,55.0,5.29,5.15,5.85,5.5,45.0,1216.0,0.7226590234375,60.255,calls,0.009874699195087544
CVS240607C00056000,CVS,2024-06-04 19:56:26,2024-06-07,56.0,4.21,4.15,4.4,4.275,14.0,1727.0,0.5293015820312501,60.255,calls,0.009874699195087544
CVS240607C00057000,CVS,2024-06-04 19:46:41,2024-06-07,57.0,3.32,3.2,3.55,3.375,37.0,1063.0,0.5429733203125001,60.255,calls,0.009874699195087544
CVS240607C00058000,CVS,2024-06-04 19:59:20,2024-06-07,58.0,2.25,2.31,2.44,2.375,182.0,1481.0,0.35938140625,60.255,calls,0.009874699195087544
CVS240607C00059000,CVS,2024-06-04 19:56:06,2024-06-07,59.0,1.39,1.43,1.65,1.54,770.0,1810.0,0.35352208984374994,60.255,calls,0.009874699195087544
CVS240607C00060000,CVS,2024-06-04 19:59:51,2024-06-07,60.0,0.76,0.74,0.78,0.76,2331.0,2837.0,0.25586681640625003,60.255,calls,0.009874699195087544
CVS240607C00061000,CVS,2024-06-04 19:59:30,2024-06-07,61.0,0.31,0.31,0.34,0.325,3665.0,5060.0,0.25391371093750004,60.255,calls,0.009874699195087544
CVS240607C00062000,CVS,2024-06-04 19:59:56,2024-06-07,62.0,0.12,0.11,0.14,0.125,1086.0,2318.0,0.26856200195312496,60.255,calls,0.009874699195087544
CVS240607C00063000,CVS,2024-06-04 19:57:09,2024-06-07,63.0,0.06,0.06,0.07,0.065,530.0,1819.0,0.3007882421875,60.255,calls,0.009874699195087544
CVS240607C00064000,CVS,2024-06-04 19:45:33,2024-06-07,64.0,0.03,0.03,0.05,0.04,136.0,336.0,0.35352208984374994,60.255,calls,0.009874699195087544
CVS240607C00065000,CVS,2024-06-04 19:43:31,2024-06-07,65.0,0.02,0.02,0.04,0.03,218.0,509.0,0.4062559375,60.255,calls,0.009874699195087544
CVS240607C00066000,CVS,2024-06-04 19:55:15,2024-06-07,66.0,0.03,0.01,0.03,0.02,117.0,444.0,0.44922425781249997,60.255,calls,0.009874699195087544
CVS240607C00067000,CVS,2024-06-04 13:36:44,2024-06-07,67.0,0.02,0.01,0.03,0.02,40.0,232.0,0.507817421875,60.255,calls,0.009874699195087544
CVS240607C00068000,CVS,2024-06-04 13:50:27,2024-06-07,68.0,0.02,0.01,0.58,0.295,31.0,244.0,0.9082040429687499,60.255,calls,0.009874699195087544
CVS240607C00070000,CVS,2024-06-04 16:43:03,2024-06-07,70.0,0.01,0.0,0.3,0.15,4.0,141.0,0.9062509375,60.255,calls,0.009874699195087544
