contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
DIS240607C00095000,DIS,2024-06-04 14:28:57,2024-06-07,95.0,7.7,8.2,8.8,8.5,4.0,128.0,0.5410202148437502,103.32,calls,0.0073557878435927225
DIS240607C00098000,DIS,2024-06-04 17:41:27,2024-06-07,98.0,5.35,5.3,6.45,5.875,3.0,102.0,0.543949873046875,103.32,calls,0.0073557878435927225
DIS240607C00099000,DIS,2024-06-04 19:28:10,2024-06-07,99.0,4.15,4.25,4.7,4.475,33.0,59.0,0.41260353027343744,103.32,calls,0.0073557878435927225
DIS240607C00100000,DIS,2024-06-04 19:51:18,2024-06-07,100.0,3.4,3.3,4.05,3.675,47.0,416.0,0.45898978515625005,103.32,calls,0.0073557878435927225
DIS240607C00101000,DIS,2024-06-04 19:51:18,2024-06-07,101.0,2.49,2.46,2.62,2.54,67.0,1119.0,0.2524488818359375,103.32,calls,0.0073557878435927225
DIS240607C00102000,DIS,2024-06-04 19:59:37,2024-06-07,102.0,1.7,1.65,1.88,1.765,1687.0,836.0,0.25391371093750004,103.32,calls,0.0073557878435927225
DIS240607C00103000,DIS,2024-06-04 19:59:34,2024-06-07,103.0,1.01,1.0,1.05,1.025,1771.0,3257.0,0.20313296874999998,103.32,calls,0.0073557878435927225
DIS240607C00104000,DIS,2024-06-04 19:59:54,2024-06-07,104.0,0.56,0.54,0.6,0.5700000000000001,1926.0,3529.0,0.20703917968749996,103.32,calls,0.0073557878435927225
DIS240607C00105000,DIS,2024-06-04 19:59:32,2024-06-07,105.0,0.29,0.26,0.29,0.275,1115.0,3007.0,0.2036212451171875,103.32,calls,0.0073557878435927225
DIS240607C00106000,DIS,2024-06-04 19:54:57,2024-06-07,106.0,0.15,0.13,0.17,0.15000000000000002,958.0,1735.0,0.22266402343749997,103.32,calls,0.0073557878435927225
DIS240607C00107000,DIS,2024-06-04 19:55:23,2024-06-07,107.0,0.08,0.07,0.1,0.085,154.0,3640.0,0.24024197265624997,103.32,calls,0.0073557878435927225
DIS240607C00108000,DIS,2024-06-04 19:51:47,2024-06-07,108.0,0.06,0.05,0.07,0.060000000000000005,97.0,761.0,0.26563234375,103.32,calls,0.0073557878435927225
DIS240607C00109000,DIS,2024-06-04 19:54:30,2024-06-07,109.0,0.04,0.03,0.05,0.04,10.0,625.0,0.2890696093749999,103.32,calls,0.0073557878435927225
DIS240607C00110000,DIS,2024-06-04 19:49:15,2024-06-07,110.0,0.03,0.02,0.04,0.03,134.0,2059.0,0.31641308593749995,103.32,calls,0.0073557878435927225
DIS240607C00111000,DIS,2024-06-04 13:47:35,2024-06-07,111.0,0.03,0.02,0.26,0.14,1.0,526.0,0.5214891601562499,103.32,calls,0.0073557878435927225
DIS240607C00112000,DIS,2024-06-04 18:34:14,2024-06-07,112.0,0.02,0.02,0.03,0.025,8.0,638.0,0.3711000390625,103.32,calls,0.0073557878435927225
DIS240607C00115000,DIS,2024-06-04 19:17:30,2024-06-07,115.0,0.02,0.01,0.03,0.02,5.0,552.0,0.4726615234375,103.32,calls,0.0073557878435927225
DIS240607C00117000,DIS,2024-06-04 14:21:11,2024-06-07,117.0,0.02,0.0,0.02,0.01,10.0,365.0,0.507817421875,103.32,calls,0.0073557878435927225
DIS240607C00118000,DIS,2024-06-04 16:16:26,2024-06-07,118.0,0.01,0.01,0.03,0.02,2.0,341.0,0.5390671093750001,103.32,calls,0.0073557878435927225
DIS240607C00119000,DIS,2024-06-04 13:56:07,2024-06-07,119.0,0.01,0.01,0.02,0.015,5.0,185.0,0.5468795312500001,103.32,calls,0.0073557878435927225
DIS240607C00120000,DIS,2024-06-04 14:02:05,2024-06-07,120.0,0.01,0.0,0.04,0.02,1.0,288.0,0.6015664843750002,103.32,calls,0.0073557878435927225
DIS240607C00121000,DIS,2024-06-04 19:54:53,2024-06-07,121.0,0.01,0.0,0.02,0.01,47.0,291.0,0.57812921875,103.32,calls,0.0073557878435927225
DIS240607C00122000,DIS,2024-06-04 14:41:12,2024-06-07,122.0,0.01,0.0,0.01,0.005,9.0,33.0,0.5625043750000001,103.32,calls,0.0073557878435927225
DIS240607C00124000,DIS,2024-06-04 17:19:06,2024-06-07,124.0,0.01,0.0,0.22,0.11,1.0,35.0,0.9023447265625,103.32,calls,0.0073557878435927225
DIS240607P00089000,DIS,2024-06-04 13:45:52,2024-06-07,89.0,0.01,0.0,0.01,0.005,41.0,314.0,0.5312546875,103.32,puts,0.0073557878435927225
DIS240607P00090000,DIS,2024-06-04 13:46:25,2024-06-07,90.0,0.01,0.0,0.01,0.005,313.0,132.0,0.523442265625,103.32,puts,0.0073557878435927225
DIS240607P00094000,DIS,2024-06-04 15:49:01,2024-06-07,94.0,0.02,0.01,0.09,0.049999999999999996,3.0,114.0,0.5214891601562499,103.32,puts,0.0073557878435927225
DIS240607P00095000,DIS,2024-06-04 17:17:58,2024-06-07,95.0,0.02,0.01,0.03,0.02,22.0,1023.0,0.39063109375,103.32,puts,0.0073557878435927225
DIS240607P00096000,DIS,2024-06-04 13:41:24,2024-06-07,96.0,0.03,0.01,0.06,0.034999999999999996,2.0,375.0,0.39258419921875,103.32,puts,0.0073557878435927225
DIS240607P00097000,DIS,2024-06-04 19:16:36,2024-06-07,97.0,0.02,0.01,0.2,0.10500000000000001,69.0,421.0,0.45215391601562505,103.32,puts,0.0073557878435927225
DIS240607P00098000,DIS,2024-06-04 19:12:14,2024-06-07,98.0,0.03,0.02,0.29,0.155,123.0,598.0,0.4414118359375,103.32,puts,0.0073557878435927225
DIS240607P00099000,DIS,2024-06-04 18:52:56,2024-06-07,99.0,0.04,0.01,0.09,0.049999999999999996,119.0,897.0,0.27637442382812494,103.32,puts,0.0073557878435927225
DIS240607P00100000,DIS,2024-06-04 19:45:14,2024-06-07,100.0,0.1,0.05,0.08,0.065,905.0,2562.0,0.21875781249999998,103.32,puts,0.0073557878435927225
DIS240607P00101000,DIS,2024-06-04 19:57:38,2024-06-07,101.0,0.15,0.12,0.15,0.135,334.0,1791.0,0.20020331054687499,103.32,puts,0.0073557878435927225
DIS240607P00102000,DIS,2024-06-04 19:56:16,2024-06-07,102.0,0.33,0.29,0.32,0.305,720.0,2090.0,0.1909260595703125,103.32,puts,0.0073557878435927225
DIS240607P00103000,DIS,2024-06-04 19:52:32,2024-06-07,103.0,0.65,0.59,0.64,0.615,1897.0,991.0,0.18433432861328125,103.32,puts,0.0073557878435927225
DIS240607P00104000,DIS,2024-06-04 19:48:32,2024-06-07,104.0,1.18,1.02,1.2,1.1099999999999999,221.0,1045.0,0.18994950683593753,103.32,puts,0.0073557878435927225
DIS240607P00105000,DIS,2024-06-04 19:59:10,2024-06-07,105.0,1.92,1.83,1.96,1.895,70.0,460.0,0.2036212451171875,103.32,puts,0.0073557878435927225
