contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
IBM240607C00155000,IBM,2024-06-04 19:54:09,2024-06-07,155.0,10.98,10.3,11.3,10.8,1.0,5.0,0.532231240234375,165.79,calls,0.00998250799203812
IBM240607C00160000,IBM,2024-06-04 19:59:20,2024-06-07,160.0,6.08,4.95,6.15,5.550000000000001,6.0,10.0,0.30371790039062496,165.79,calls,0.00998250799203812
IBM240607C00162500,IBM,2024-06-04 19:39:50,2024-06-07,162.5,3.85,3.65,3.85,3.75,32.0,56.0,0.24927508544921873,165.79,calls,0.00998250799203812
IBM240607C00165000,IBM,2024-06-04 19:39:50,2024-06-07,165.0,2.01,1.85,1.93,1.8900000000000001,239.0,419.0,0.215828154296875,165.79,calls,0.00998250799203812
IBM240607C00167500,IBM,2024-06-04 19:43:50,2024-06-07,167.5,0.76,0.7,0.72,0.71,1031.0,892.0,0.20215641601562498,165.79,calls,0.00998250799203812
IBM240607C00170000,IBM,2024-06-04 19:53:37,2024-06-07,170.0,0.23,0.18,0.24,0.21,199.0,1215.0,0.21094539062499998,165.79,calls,0.00998250799203812
IBM240607C00172500,IBM,2024-06-04 19:20:13,2024-06-07,172.5,0.08,0.05,0.1,0.07500000000000001,99.0,1060.0,0.23731231445312498,165.79,calls,0.00998250799203812
IBM240607C00175000,IBM,2024-06-04 18:25:04,2024-06-07,175.0,0.05,0.03,0.05,0.04,81.0,1888.0,0.26758544921875,165.79,calls,0.00998250799203812
IBM240607C00177500,IBM,2024-06-04 19:25:03,2024-06-07,177.5,0.09,0.01,0.08,0.045,5.0,117.0,0.35156898437499995,165.79,calls,0.00998250799203812
IBM240607C00180000,IBM,2024-06-04 19:10:28,2024-06-07,180.0,0.23,0.01,0.12,0.065,11.0,2833.0,0.4414118359375,165.79,calls,0.00998250799203812
IBM240607C00182500,IBM,2024-06-04 19:57:12,2024-06-07,182.5,0.02,0.02,0.04,0.03,3.0,56.0,0.42188078125,165.79,calls,0.00998250799203812
IBM240607C00185000,IBM,2024-06-04 18:36:45,2024-06-07,185.0,0.01,0.0,0.09,0.045,2.0,40.0,0.5312546875,165.79,calls,0.00998250799203812
IBM240607C00192500,IBM,2024-06-04 18:20:53,2024-06-07,192.5,0.02,0.01,0.05,0.030000000000000002,12.0,10.0,0.5937540625000001,165.79,calls,0.00998250799203812
IBM240607C00197500,IBM,2024-06-04 15:36:01,2024-06-07,197.5,0.01,0.0,,,3.0,,0.2500075,165.79,calls,0.00998250799203812
IBM240607P00095000,IBM,2024-06-04 13:30:03,2024-06-07,95.0,0.01,,,,,,0.0,165.79,puts,0.00998250799203812
IBM240607P00135000,IBM,2024-06-04 14:09:03,2024-06-07,135.0,0.01,0.01,0.01,0.01,16.0,67.0,0.7187528125,165.79,puts,0.00998250799203812
IBM240607P00140000,IBM,2024-06-04 17:12:40,2024-06-07,140.0,0.01,0.0,0.24,0.12,1.0,20.0,0.8203142968749999,165.79,puts,0.00998250799203812
IBM240607P00152500,IBM,2024-06-04 14:44:15,2024-06-07,152.5,0.03,0.0,0.07,0.035,5.0,3.0,0.414068359375,165.79,puts,0.00998250799203812
IBM240607P00155000,IBM,2024-06-04 17:33:03,2024-06-07,155.0,0.04,0.02,0.09,0.055,2.0,170.0,0.36133451171875,165.79,puts,0.00998250799203812
IBM240607P00157500,IBM,2024-06-04 17:33:03,2024-06-07,157.5,0.08,0.03,0.11,0.07,6.0,70.0,0.3007882421875,165.79,puts,0.00998250799203812
IBM240607P00160000,IBM,2024-06-04 19:57:34,2024-06-07,160.0,0.11,0.1,0.12,0.11,71.0,283.0,0.2304764453125,165.79,puts,0.00998250799203812
IBM240607P00162500,IBM,2024-06-04 19:37:33,2024-06-07,162.5,0.33,0.3,0.37,0.33499999999999996,260.0,216.0,0.21436332519531248,165.79,puts,0.00998250799203812
IBM240607P00165000,IBM,2024-06-04 19:47:53,2024-06-07,165.0,0.92,0.93,1.0,0.9650000000000001,244.0,427.0,0.1977619287109375,165.79,puts,0.00998250799203812
IBM240607P00167500,IBM,2024-06-04 18:43:30,2024-06-07,167.5,2.09,2.23,2.36,2.295,27.0,259.0,0.19385571777343752,165.79,puts,0.00998250799203812
IBM240607P00170000,IBM,2024-06-04 18:20:51,2024-06-07,170.0,3.97,4.2,4.65,4.425000000000001,218.0,294.0,0.26319096191406255,165.79,puts,0.00998250799203812
IBM240607P00172500,IBM,2024-06-04 19:28:38,2024-06-07,172.5,6.67,6.3,7.25,6.775,219.0,244.0,0.37842418457031246,165.79,puts,0.00998250799203812
IBM240614C00162500,IBM,2024-06-04 15:03:50,2024-06-14,162.5,4.47,4.45,4.65,4.550000000000001,4.0,23.0,0.23535920898437498,165.79,calls,0.00998250799203812
IBM240614C00165000,IBM,2024-06-04 19:52:58,2024-06-14,165.0,2.93,2.83,2.93,2.88,192.0,159.0,0.21851367431640623,165.79,calls,0.00998250799203812
IBM240614C00167500,IBM,2024-06-04 19:55:03,2024-06-14,167.5,1.64,1.61,1.68,1.645,63.0,165.0,0.21070125244140625,165.79,calls,0.00998250799203812
IBM240614C00170000,IBM,2024-06-04 18:08:48,2024-06-14,170.0,0.87,0.8,0.87,0.835,141.0,1118.0,0.20703917968749996,165.79,calls,0.00998250799203812
IBM240614C00172500,IBM,2024-06-04 19:46:18,2024-06-14,172.5,0.42,0.38,0.43,0.405,83.0,145.0,0.20899228515624996,165.79,calls,0.00998250799203812
IBM240614C00175000,IBM,2024-06-04 16:18:11,2024-06-14,175.0,0.18,0.17,0.22,0.195,17.0,308.0,0.2172929833984375,165.79,calls,0.00998250799203812
IBM240614C00177500,IBM,2024-06-04 19:12:03,2024-06-14,177.5,0.1,0.09,0.14,0.115,10.0,80.0,0.23584748535156247,165.79,calls,0.00998250799203812
IBM240614C00180000,IBM,2024-06-04 18:07:59,2024-06-14,180.0,0.06,0.04,0.09,0.065,17.0,463.0,0.252937158203125,165.79,calls,0.00998250799203812
IBM240614C00190000,IBM,2024-06-04 18:44:50,2024-06-14,190.0,0.06,0.01,0.24,0.125,1.0,21.0,0.454107021484375,165.79,calls,0.00998250799203812
IBM240614P00140000,IBM,2024-06-04 17:02:39,2024-06-14,140.0,0.04,0.02,0.13,0.075,1.0,3.0,0.5009815527343751,165.79,puts,0.00998250799203812
IBM240614P00150000,IBM,2024-06-04 19:47:04,2024-06-14,150.0,0.06,0.05,0.11,0.08,1.0,21.0,0.313483427734375,165.79,puts,0.00998250799203812
IBM240614P00155000,IBM,2024-06-04 16:05:45,2024-06-14,155.0,0.2,0.11,0.19,0.15,9.0,90.0,0.252937158203125,165.79,puts,0.00998250799203812
IBM240614P00157500,IBM,2024-06-04 14:43:07,2024-06-14,157.5,0.34,0.24,0.28,0.26,6.0,57.0,0.225593681640625,165.79,puts,0.00998250799203812
