contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
INTC240607C00020000,INTC,2024-06-04 19:23:40,2024-06-07,20.0,10.05,8.25,10.15,9.2,10.0,2.0,2.3359416601562493,30.015,calls,0.008162585373979677
INTC240607C00024000,INTC,2024-06-04 16:08:34,2024-06-07,24.0,6.1,5.8,6.75,6.275,11.0,16.0,1.71875140625,30.015,calls,0.008162585373979677
INTC240607C00025000,INTC,2024-06-04 19:23:40,2024-06-07,25.0,5.05,4.95,5.15,5.050000000000001,49.0,102.0,0.867188828125,30.015,calls,0.008162585373979677
INTC240607C00026000,INTC,2024-06-04 19:07:43,2024-06-07,26.0,4.1,3.25,4.15,3.7,35.0,26.0,1.015629921875,30.015,calls,0.008162585373979677
INTC240607C00026500,INTC,2024-06-04 19:49:53,2024-06-07,26.5,3.5,2.9,3.9,3.4,4.0,0.0,1.2968785156249998,30.015,calls,0.008162585373979677
INTC240607C00027000,INTC,2024-06-04 19:37:01,2024-06-07,27.0,3.0,2.8,4.1,3.4499999999999997,12.0,20.0,1.23047259765625,30.015,calls,0.008162585373979677
INTC240607C00028000,INTC,2024-06-04 19:57:21,2024-06-07,28.0,2.06,2.0,2.26,2.13,81.0,152.0,0.5664105859375,30.015,calls,0.008162585373979677
INTC240607C00028500,INTC,2024-06-04 19:46:49,2024-06-07,28.5,1.58,1.51,1.82,1.665,90.0,89.0,0.5097705273437501,30.015,calls,0.008162585373979677
INTC240607C00029000,INTC,2024-06-04 19:59:39,2024-06-07,29.0,1.15,1.0,1.17,1.085,695.0,676.0,0.40039662109375,30.015,calls,0.008162585373979677
INTC240607C00029500,INTC,2024-06-04 19:54:57,2024-06-07,29.5,0.75,0.72,0.76,0.74,755.0,285.0,0.35938140625,30.015,calls,0.008162585373979677
INTC240607C00030000,INTC,2024-06-04 19:59:52,2024-06-07,30.0,0.43,0.41,0.44,0.425,4958.0,2787.0,0.33887379882812496,30.015,calls,0.008162585373979677
INTC240607C00030500,INTC,2024-06-04 19:59:59,2024-06-07,30.5,0.23,0.22,0.23,0.225,12686.0,4155.0,0.335944140625,30.015,calls,0.008162585373979677
INTC240607C00031000,INTC,2024-06-04 19:59:58,2024-06-07,31.0,0.12,0.11,0.12,0.11499999999999999,16092.0,11129.0,0.35156898437499995,30.015,calls,0.008162585373979677
INTC240607C00031500,INTC,2024-06-04 19:59:54,2024-06-07,31.5,0.05,0.05,0.06,0.055,9139.0,6867.0,0.367193828125,30.015,calls,0.008162585373979677
INTC240607C00032000,INTC,2024-06-04 19:59:56,2024-06-07,32.0,0.03,0.03,0.04,0.035,3663.0,13368.0,0.4062559375,30.015,calls,0.008162585373979677
INTC240607C00032500,INTC,2024-06-04 19:49:03,2024-06-07,32.5,0.02,0.02,0.03,0.025,446.0,10501.0,0.45313046875,30.015,calls,0.008162585373979677
INTC240607C00033000,INTC,2024-06-04 19:43:17,2024-06-07,33.0,0.02,0.01,0.02,0.015,285.0,4888.0,0.48438015625,30.015,calls,0.008162585373979677
INTC240607C00033500,INTC,2024-06-04 19:56:02,2024-06-07,33.5,0.02,0.01,0.02,0.015,209.0,5442.0,0.523442265625,30.015,calls,0.008162585373979677
INTC240607C00034000,INTC,2024-06-04 19:38:24,2024-06-07,34.0,0.01,0.0,0.01,0.005,647.0,1752.0,0.500005,30.015,calls,0.008162585373979677
INTC240607C00034500,INTC,2024-06-04 15:56:04,2024-06-07,34.5,0.01,0.0,0.01,0.005,90.0,435.0,0.5625043750000001,30.015,calls,0.008162585373979677
INTC240607C00035000,INTC,2024-06-04 18:53:37,2024-06-07,35.0,0.01,0.0,0.01,0.005,722.0,3684.0,0.5937540625000001,30.015,calls,0.008162585373979677
INTC240607C00036000,INTC,2024-06-04 16:30:16,2024-06-07,36.0,0.01,0.0,0.01,0.005,35.0,1863.0,0.6875031250000001,30.015,calls,0.008162585373979677
INTC240607P00026000,INTC,2024-06-04 18:17:15,2024-06-07,26.0,0.01,0.0,0.01,0.005,2.0,4435.0,0.57812921875,30.015,puts,0.008162585373979677
INTC240607P00027000,INTC,2024-06-04 19:37:01,2024-06-07,27.0,0.01,0.0,0.01,0.005,151.0,1095.0,0.48438015625,30.015,puts,0.008162585373979677
INTC240607P00027500,INTC,2024-06-04 17:24:28,2024-06-07,27.5,0.01,0.0,0.02,0.01,858.0,1149.0,0.4687553125,30.015,puts,0.008162585373979677
INTC240607P00028000,INTC,2024-06-04 19:53:08,2024-06-07,28.0,0.02,0.02,0.03,0.025,311.0,1948.0,0.42188078125,30.015,puts,0.008162585373979677
INTC240607P00028500,INTC,2024-06-04 19:55:45,2024-06-07,28.5,0.04,0.03,0.05,0.04,183.0,1788.0,0.3789124609375,30.015,puts,0.008162585373979677
INTC240607P00029000,INTC,2024-06-04 19:59:21,2024-06-07,29.0,0.08,0.08,0.09,0.08499999999999999,1285.0,4564.0,0.3398503515625,30.015,puts,0.008162585373979677
INTC240607P00029500,INTC,2024-06-04 19:59:58,2024-06-07,29.5,0.19,0.18,0.2,0.19,4688.0,2982.0,0.3320379296875,30.015,puts,0.008162585373979677
INTC240607P00030000,INTC,2024-06-04 19:57:55,2024-06-07,30.0,0.38,0.37,0.39,0.38,4374.0,7945.0,0.32227240234374993,30.015,puts,0.008162585373979677
INTC240607P00030500,INTC,2024-06-04 19:54:49,2024-06-07,30.5,0.67,0.66,0.69,0.675,653.0,2248.0,0.32617861328125,30.015,puts,0.008162585373979677
INTC240607P00031000,INTC,2024-06-04 19:56:02,2024-06-07,31.0,1.06,1.03,1.15,1.0899999999999999,806.0,3263.0,0.41602146484374997,30.015,puts,0.008162585373979677
INTC240607P00031500,INTC,2024-06-04 19:46:56,2024-06-07,31.5,1.54,1.35,1.65,1.5,106.0,1865.0,0.52539537109375,30.015,puts,0.008162585373979677
INTC240607P00032000,INTC,2024-06-04 19:43:30,2024-06-07,32.0,2.02,1.95,2.16,2.055,83.0,1217.0,0.63867548828125,30.015,puts,0.008162585373979677
INTC240607P00033000,INTC,2024-06-04 18:52:31,2024-06-07,33.0,2.73,1.45,3.15,2.3,3.0,200.0,0.8125018749999999,30.015,puts,0.008162585373979677
INTC240614C00025000,INTC,2024-06-04 14:16:21,2024-06-14,25.0,5.25,4.75,5.45,5.1,2.0,2.0,0.6562534375000001,30.015,calls,0.008162585373979677
