contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
JNJ240607C00144000,JNJ,2024-06-04 14:14:21,2024-06-07,144.0,3.8,3.9,4.2,4.05,2.0,681.0,0.270515107421875,147.79,calls,0.007835442181473713
JNJ240607C00145000,JNJ,2024-06-04 19:37:12,2024-06-07,145.0,2.56,3.0,4.05,3.525,69.0,1057.0,0.39160764648437496,147.79,calls,0.007835442181473713
JNJ240607C00146000,JNJ,2024-06-04 19:33:37,2024-06-07,146.0,1.83,2.2,2.36,2.2800000000000002,347.0,470.0,0.20557435058593748,147.79,calls,0.007835442181473713
JNJ240607C00147000,JNJ,2024-06-04 19:13:33,2024-06-07,147.0,1.54,1.47,1.53,1.5,473.0,503.0,0.17603363037109376,147.79,calls,0.007835442181473713
JNJ240607C00148000,JNJ,2024-06-04 19:55:27,2024-06-07,148.0,0.93,0.89,0.95,0.9199999999999999,353.0,273.0,0.1694418994140625,147.79,calls,0.007835442181473713
JNJ240607C00149000,JNJ,2024-06-04 19:44:27,2024-06-07,149.0,0.56,0.46,0.58,0.52,254.0,899.0,0.1733481103515625,147.79,calls,0.007835442181473713
JNJ240607C00150000,JNJ,2024-06-04 19:44:48,2024-06-07,150.0,0.23,0.25,0.29,0.27,236.0,846.0,0.16748879394531252,147.79,calls,0.007835442181473713
JNJ240607C00152500,JNJ,2024-06-04 19:30:49,2024-06-07,152.5,0.04,0.05,0.06,0.055,153.0,585.0,0.18164880859375,147.79,calls,0.007835442181473713
JNJ240607C00157500,JNJ,2024-06-04 15:42:09,2024-06-07,157.5,0.02,0.01,0.06,0.034999999999999996,1.0,92.0,0.32227240234374993,147.79,calls,0.007835442181473713
JNJ240607C00162500,JNJ,2024-06-04 15:43:46,2024-06-07,162.5,0.01,0.01,0.07,0.04,24.0,35.0,0.46094289062500005,147.79,calls,0.007835442181473713
JNJ240607C00165000,JNJ,2024-06-04 18:39:17,2024-06-07,165.0,0.01,0.0,0.1,0.05,12.0,161.0,0.55273884765625,147.79,calls,0.007835442181473713
JNJ240607P00124000,JNJ,2024-06-04 16:20:39,2024-06-07,124.0,0.01,0.0,0.75,0.375,40.0,,1.0664109179687502,147.79,puts,0.007835442181473713
JNJ240607P00125000,JNJ,2024-06-04 13:30:37,2024-06-07,125.0,0.01,0.0,0.33,0.165,10.0,71.0,0.87500125,147.79,puts,0.007835442181473713
JNJ240607P00138000,JNJ,2024-06-04 19:52:03,2024-06-07,138.0,0.03,0.02,0.04,0.03,67.0,9.0,0.32617861328125,147.79,puts,0.007835442181473713
JNJ240607P00139000,JNJ,2024-06-04 19:51:12,2024-06-07,139.0,0.03,0.02,0.25,0.135,110.0,10.0,0.42774009765625004,147.79,puts,0.007835442181473713
JNJ240607P00140000,JNJ,2024-06-04 19:52:24,2024-06-07,140.0,0.04,0.03,0.06,0.045,105.0,420.0,0.28613995117187496,147.79,puts,0.007835442181473713
JNJ240607P00141000,JNJ,2024-06-04 15:47:04,2024-06-07,141.0,0.05,0.02,0.1,0.060000000000000005,14.0,280.0,0.282233740234375,147.79,puts,0.007835442181473713
JNJ240607P00142000,JNJ,2024-06-04 15:40:42,2024-06-07,142.0,0.07,0.03,0.29,0.15999999999999998,6.0,435.0,0.32520206054687495,147.79,puts,0.007835442181473713
JNJ240607P00143000,JNJ,2024-06-04 19:07:29,2024-06-07,143.0,0.11,0.06,0.09,0.075,37.0,582.0,0.20801573242187496,147.79,puts,0.007835442181473713
JNJ240607P00144000,JNJ,2024-06-04 19:50:29,2024-06-07,144.0,0.12,0.1,0.13,0.115,143.0,222.0,0.19043778320312502,147.79,puts,0.007835442181473713
JNJ240607P00145000,JNJ,2024-06-04 19:55:28,2024-06-07,145.0,0.26,0.18,0.21,0.195,212.0,723.0,0.17627776855468752,147.79,puts,0.007835442181473713
JNJ240607P00146000,JNJ,2024-06-04 19:57:35,2024-06-07,146.0,0.35,0.33,0.35,0.33999999999999997,176.0,574.0,0.16358258300781253,147.79,puts,0.007835442181473713
JNJ240607P00147000,JNJ,2024-06-04 18:59:01,2024-06-07,147.0,0.78,0.57,0.63,0.6,188.0,323.0,0.15894395751953128,147.79,puts,0.007835442181473713
JNJ240607P00148000,JNJ,2024-06-04 19:58:06,2024-06-07,148.0,1.04,0.99,1.04,1.0150000000000001,428.0,1132.0,0.15161981201171876,147.79,puts,0.007835442181473713
JNJ240607P00149000,JNJ,2024-06-04 17:41:10,2024-06-07,149.0,2.18,1.5,1.69,1.595,4.0,86.0,0.157234990234375,147.79,puts,0.007835442181473713
JNJ240607P00150000,JNJ,2024-06-04 19:58:01,2024-06-07,150.0,2.42,2.11,2.52,2.315,3.0,98.0,0.17432466308593753,147.79,puts,0.007835442181473713
JNJ240614C00144000,JNJ,2024-06-04 13:31:06,2024-06-14,144.0,4.15,4.35,5.5,4.925,1.0,46.0,0.3220282641601562,147.79,calls,0.007835442181473713
JNJ240614C00145000,JNJ,2024-06-04 18:36:06,2024-06-14,145.0,3.45,3.5,3.7,3.6,379.0,254.0,0.19678537597656248,147.79,calls,0.007835442181473713
JNJ240614C00146000,JNJ,2024-06-04 16:51:09,2024-06-14,146.0,1.95,2.8,2.91,2.855,39.0,59.0,0.1840901904296875,147.79,calls,0.007835442181473713
JNJ240614C00147000,JNJ,2024-06-04 19:59:08,2024-06-14,147.0,2.18,2.14,2.22,2.18,60.0,50.0,0.17554535400390625,147.79,calls,0.007835442181473713
JNJ240614C00148000,JNJ,2024-06-04 19:59:41,2024-06-14,148.0,1.62,1.56,1.63,1.595,73.0,183.0,0.1687094848632813,147.79,calls,0.007835442181473713
JNJ240614C00149000,JNJ,2024-06-04 19:48:40,2024-06-14,149.0,1.02,1.09,1.17,1.13,128.0,57.0,0.16577982666015628,147.79,calls,0.007835442181473713
JNJ240614C00150000,JNJ,2024-06-04 19:50:17,2024-06-14,150.0,0.7,0.75,0.8,0.775,157.0,671.0,0.16236189208984375,147.79,calls,0.007835442181473713
JNJ240614C00152500,JNJ,2024-06-04 19:38:17,2024-06-14,152.5,0.24,0.04,0.28,0.16,18.0,131.0,0.16162947753906248,147.79,calls,0.007835442181473713
