contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
KO240607C00058000,KO,2024-06-04 16:23:45,2024-06-07,58.0,5.55,5.15,6.35,5.75,1.0,10.0,0.87500125,63.94,calls,0.007045667813575228
KO240607C00059000,KO,2024-06-04 15:11:30,2024-06-07,59.0,4.8,4.9,5.05,4.975,15.0,36.0,0.5273484765625001,63.94,calls,0.007045667813575228
KO240607C00060000,KO,2024-06-04 16:20:28,2024-06-07,60.0,3.55,3.9,4.05,3.9749999999999996,23.0,250.0,0.4414118359375,63.94,calls,0.007045667813575228
KO240607C00061000,KO,2024-06-04 19:25:54,2024-06-07,61.0,2.89,2.73,3.05,2.8899999999999997,20.0,863.0,0.35156898437499995,63.94,calls,0.007045667813575228
KO240607C00062000,KO,2024-06-04 19:04:34,2024-06-07,62.0,1.69,1.83,2.06,1.945,151.0,1651.0,0.266608896484375,63.94,calls,0.007045667813575228
KO240607C00063000,KO,2024-06-04 19:59:54,2024-06-07,63.0,1.05,0.94,1.1,1.02,799.0,2202.0,0.186531572265625,63.94,calls,0.007045667813575228
KO240607C00064000,KO,2024-06-04 19:59:09,2024-06-07,64.0,0.3,0.31,0.33,0.32,2281.0,2515.0,0.13477427734375003,63.94,calls,0.007045667813575228
KO240607C00065000,KO,2024-06-04 19:48:37,2024-06-07,65.0,0.06,0.04,0.06,0.05,1036.0,2562.0,0.13868048828125001,63.94,calls,0.007045667813575228
KO240607C00066000,KO,2024-06-04 19:56:33,2024-06-07,66.0,0.02,0.01,0.02,0.015,55.0,825.0,0.1757894921875,63.94,calls,0.007045667813575228
KO240607C00067000,KO,2024-06-04 18:05:14,2024-06-07,67.0,0.01,0.0,0.01,0.005,200.0,138.0,0.2148516015625,63.94,calls,0.007045667813575228
KO240607P00059000,KO,2024-06-04 18:46:32,2024-06-07,59.0,0.01,0.0,0.02,0.01,56.0,394.0,0.38281867187499996,63.94,puts,0.007045667813575228
KO240607P00060000,KO,2024-06-04 19:18:13,2024-06-07,60.0,0.02,0.01,0.02,0.015,304.0,682.0,0.31250687499999996,63.94,puts,0.007045667813575228
KO240607P00061000,KO,2024-06-04 19:30:58,2024-06-07,61.0,0.02,0.01,0.02,0.015,113.0,6125.0,0.242195078125,63.94,puts,0.007045667813575228
KO240607P00062000,KO,2024-06-04 19:59:21,2024-06-07,62.0,0.04,0.03,0.04,0.035,1258.0,2851.0,0.1992267578125,63.94,puts,0.007045667813575228
KO240607P00063000,KO,2024-06-04 19:59:49,2024-06-07,63.0,0.08,0.07,0.08,0.07500000000000001,2337.0,1770.0,0.14258669921875,63.94,puts,0.007045667813575228
KO240607P00064000,KO,2024-06-04 19:59:33,2024-06-07,64.0,0.35,0.33,0.36,0.345,606.0,18.0,0.12305564453125001,63.94,puts,0.007045667813575228
KO240607P00065000,KO,2024-06-04 19:06:39,2024-06-07,65.0,1.29,1.04,1.18,1.1099999999999999,15.0,5.0,0.1757894921875,63.94,puts,0.007045667813575228
KO240607P00066000,KO,2024-06-04 17:12:50,2024-06-07,66.0,2.14,1.86,2.47,2.165,2.0,0.0,0.42774009765625004,63.94,puts,0.007045667813575228
