contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
LOW240607C00210000,LOW,2024-06-04 13:34:17,2024-06-07,210.0,8.13,5.35,9.0,7.175,2.0,21.0,0.5705609350585938,216.52,calls,0.0047108812118972845
LOW240607C00212500,LOW,2024-06-04 13:44:02,2024-06-07,212.5,5.4,3.7,5.75,4.725,2.0,16.0,0.37476211181640623,216.52,calls,0.0047108812118972845
LOW240607C00215000,LOW,2024-06-04 18:13:55,2024-06-07,215.0,3.25,2.8,2.97,2.885,14.0,395.0,0.23499300170898438,216.52,calls,0.0047108812118972845
LOW240607C00217500,LOW,2024-06-04 19:48:16,2024-06-07,217.5,1.62,1.48,1.61,1.545,145.0,355.0,0.22705851074218747,216.52,calls,0.0047108812118972845
LOW240607C00220000,LOW,2024-06-04 19:55:05,2024-06-07,220.0,0.77,0.66,0.77,0.7150000000000001,141.0,418.0,0.225593681640625,216.52,calls,0.0047108812118972845
LOW240607C00222500,LOW,2024-06-04 18:58:01,2024-06-07,222.5,0.45,0.17,0.36,0.265,45.0,293.0,0.23389437988281248,216.52,calls,0.0047108812118972845
LOW240607C00225000,LOW,2024-06-04 19:28:02,2024-06-07,225.0,0.17,0.1,0.16,0.13,108.0,232.0,0.242195078125,216.52,calls,0.0047108812118972845
LOW240607C00230000,LOW,2024-06-04 18:54:56,2024-06-07,230.0,0.04,0.03,0.12,0.075,52.0,206.0,0.327155166015625,216.52,calls,0.0047108812118972845
LOW240607C00235000,LOW,2024-06-04 16:37:44,2024-06-07,235.0,0.05,0.0,0.25,0.125,3.0,201.0,0.481450498046875,216.52,calls,0.0047108812118972845
LOW240607C00260000,LOW,2024-06-04 18:56:07,2024-06-07,260.0,0.01,0.0,0.02,0.01,6.0,5.0,0.6093789062500001,216.52,calls,0.0047108812118972845
LOW240607P00175000,LOW,2024-06-04 14:28:30,2024-06-07,175.0,0.01,0.0,0.01,0.005,25.0,114.0,0.6718782812500002,216.52,puts,0.0047108812118972845
LOW240607P00202500,LOW,2024-06-04 17:46:56,2024-06-07,202.5,0.06,0.02,0.07,0.045000000000000005,2.0,3.0,0.32813171874999997,216.52,puts,0.0047108812118972845
LOW240607P00205000,LOW,2024-06-04 14:27:44,2024-06-07,205.0,0.14,0.03,0.26,0.14500000000000002,1.0,33.0,0.36035795898437495,216.52,puts,0.0047108812118972845
LOW240607P00207500,LOW,2024-06-04 18:40:10,2024-06-07,207.5,0.09,0.05,0.18,0.11499999999999999,40.0,2898.0,0.27246821289062495,216.52,puts,0.0047108812118972845
LOW240607P00210000,LOW,2024-06-04 18:14:22,2024-06-07,210.0,0.22,0.21,0.26,0.235,14.0,159.0,0.2329178271484375,216.52,puts,0.0047108812118972845
LOW240607P00212500,LOW,2024-06-04 19:59:45,2024-06-07,212.5,0.53,0.49,0.59,0.54,40.0,152.0,0.2219316088867187,216.52,puts,0.0047108812118972845
LOW240607P00215000,LOW,2024-06-04 19:58:56,2024-06-07,215.0,1.17,1.12,1.27,1.195,49.0,339.0,0.2153398779296875,216.52,puts,0.0047108812118972845
LOW240607P00217500,LOW,2024-06-04 18:56:11,2024-06-07,217.5,1.86,2.3,2.46,2.38,70.0,160.0,0.21363091064453127,216.52,puts,0.0047108812118972845
LOW240607P00220000,LOW,2024-06-04 19:59:25,2024-06-07,220.0,4.05,3.95,4.2,4.075,22.0,217.0,0.2199785034179687,216.52,puts,0.0047108812118972845
LOW240607P00222500,LOW,2024-06-04 15:47:39,2024-06-07,222.5,5.6,5.8,6.45,6.125,2.0,119.0,0.256843369140625,216.52,puts,0.0047108812118972845
LOW240607P00225000,LOW,2024-06-04 18:35:02,2024-06-07,225.0,7.48,7.95,9.35,8.65,12.0,178.0,0.39649041015625003,216.52,puts,0.0047108812118972845
LOW240607P00230000,LOW,2024-06-04 19:55:36,2024-06-07,230.0,12.95,13.05,13.9,13.475000000000001,1.0,1.0,0.4331111376953125,216.52,puts,0.0047108812118972845
LOW240614C00215000,LOW,2024-06-04 19:49:04,2024-06-14,215.0,4.43,4.15,4.35,4.25,14.0,30.0,0.23633576171874998,216.52,calls,0.0047108812118972845
LOW240614C00217500,LOW,2024-06-04 16:01:50,2024-06-14,217.5,3.33,2.81,2.99,2.9000000000000004,41.0,43.0,0.22974403076171873,216.52,calls,0.0047108812118972845
LOW240614C00220000,LOW,2024-06-04 19:32:32,2024-06-14,220.0,2.02,1.79,1.95,1.87,82.0,96.0,0.2254716125488281,216.52,calls,0.0047108812118972845
LOW240614C00222500,LOW,2024-06-04 19:55:57,2024-06-14,222.5,1.13,1.08,1.2,1.1400000000000001,45.0,32.0,0.22217574707031246,216.52,calls,0.0047108812118972845
LOW240614C00225000,LOW,2024-06-04 19:30:06,2024-06-14,225.0,0.76,0.61,0.73,0.6699999999999999,42.0,157.0,0.22364057617187497,216.52,calls,0.0047108812118972845
LOW240614C00227500,LOW,2024-06-04 15:17:32,2024-06-14,227.5,0.61,0.36,0.45,0.405,7.0,16.0,0.22852333984375,216.52,calls,0.0047108812118972845
LOW240614C00230000,LOW,2024-06-04 13:38:19,2024-06-14,230.0,0.3,0.2,0.26,0.23,1.0,155.0,0.2309647216796875,216.52,calls,0.0047108812118972845
LOW240614C00235000,LOW,2024-06-04 16:08:26,2024-06-14,235.0,0.12,0.04,0.17,0.10500000000000001,1.0,327.0,0.2695385546875,216.52,calls,0.0047108812118972845
LOW240614P00200000,LOW,2024-06-04 17:54:18,2024-06-14,200.0,0.15,0.08,0.7,0.38999999999999996,2.0,17.0,0.3706117626953125,216.52,puts,0.0047108812118972845
LOW240614P00202500,LOW,2024-06-04 17:46:56,2024-06-14,202.5,0.26,0.21,0.28,0.245,1.0,89.0,0.2585523364257813,216.52,puts,0.0047108812118972845
LOW240614P00207500,LOW,2024-06-04 19:31:26,2024-06-14,207.5,0.55,0.54,0.62,0.5800000000000001,1.0,109.0,0.2299881689453125,216.52,puts,0.0047108812118972845
LOW240614P00210000,LOW,2024-06-04 19:46:08,2024-06-14,210.0,0.95,0.92,1.01,0.9650000000000001,44.0,100.0,0.22315229980468748,216.52,puts,0.0047108812118972845
LOW240614P00212500,LOW,2024-06-04 17:54:45,2024-06-14,212.5,1.51,1.45,1.59,1.52,26.0,32.0,0.21607229248046872,216.52,puts,0.0047108812118972845
LOW240614P00215000,LOW,2024-06-04 19:53:37,2024-06-14,215.0,2.32,2.27,2.41,2.34,38.0,172.0,0.20850400878906244,216.52,puts,0.0047108812118972845
LOW240614P00217500,LOW,2024-06-04 17:54:45,2024-06-14,217.5,3.33,3.4,3.6,3.5,9.0,41.0,0.20569641967773436,216.52,puts,0.0047108812118972845
LOW240614P00220000,LOW,2024-06-04 13:54:41,2024-06-14,220.0,5.0,4.9,5.1,5.0,1.0,130.0,0.20227848510742186,216.52,puts,0.0047108812118972845
LOW240614P00222500,LOW,2024-06-04 15:36:43,2024-06-14,222.5,6.1,6.65,6.95,6.800000000000001,2.0,8.0,0.20337710693359373,216.52,puts,0.0047108812118972845
LOW240621C00200000,LOW,2024-06-04 19:37:03,2024-06-21,200.0,17.6,16.4,18.8,17.6,11.0,242.0,0.4309138940429688,216.52,calls,0.0047108812118972845
LOW240621C00210000,LOW,2024-06-04 19:33:11,2024-06-21,210.0,8.8,8.3,8.65,8.475000000000001,5.0,2343.0,0.2475661181640625,216.52,calls,0.0047108812118972845
LOW240621C00215000,LOW,2024-06-04 18:53:08,2024-06-21,215.0,5.74,4.85,5.05,4.949999999999999,8.0,138.0,0.22187057434082028,216.52,calls,0.0047108812118972845
LOW240621C00217500,LOW,2024-06-04 15:00:25,2024-06-21,217.5,4.6,3.5,3.65,3.575,24.0,114.0,0.21411918701171873,216.52,calls,0.0047108812118972845
LOW240621C00220000,LOW,2024-06-04 18:57:22,2024-06-21,220.0,2.92,2.42,2.54,2.48,26.0,571.0,0.2089312506103515,216.52,calls,0.0047108812118972845
LOW240621C00222500,LOW,2024-06-04 18:28:35,2024-06-21,222.5,2.05,1.61,1.69,1.65,22.0,232.0,0.2048419360351562,216.52,calls,0.0047108812118972845
LOW240621C00225000,LOW,2024-06-04 19:55:25,2024-06-21,225.0,1.1,1.0,1.1,1.05,71.0,334.0,0.2036212451171875,216.52,calls,0.0047108812118972845
LOW240621C00227500,LOW,2024-06-04 15:17:05,2024-06-21,227.5,0.97,0.64,0.7,0.6699999999999999,2.0,153.0,0.20386538330078124,216.52,calls,0.0047108812118972845
LOW240621C00230000,LOW,2024-06-04 15:11:33,2024-06-21,230.0,0.6,0.4,0.45,0.42500000000000004,16.0,2569.0,0.20655090332031245,216.52,calls,0.0047108812118972845
