contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MA240607C00430000,MA,2024-06-04 15:27:34,2024-06-07,430.0,13.21,13.5,16.2,14.85,1.0,8.0,0.34009448974609374,444.74,calls,0.001250168637855826
MA240607C00440000,MA,2024-06-04 19:38:53,2024-06-07,440.0,5.25,6.2,6.65,6.425000000000001,11.0,338.0,0.20557435058593748,444.74,calls,0.001250168637855826
MA240607C00442500,MA,2024-06-04 19:54:23,2024-06-07,442.5,4.13,4.5,4.7,4.6,27.0,77.0,0.1860432958984375,444.74,calls,0.001250168637855826
MA240607C00445000,MA,2024-06-04 19:58:45,2024-06-07,445.0,3.1,3.0,3.2,3.1,75.0,171.0,0.1783529431152344,444.74,calls,0.001250168637855826
MA240607C00447500,MA,2024-06-04 19:30:37,2024-06-07,447.5,1.56,1.9,2.05,1.9749999999999999,16.0,372.0,0.17347017944335938,444.74,calls,0.001250168637855826
MA240607C00450000,MA,2024-06-04 19:38:53,2024-06-07,450.0,0.83,1.09,1.27,1.1800000000000002,91.0,258.0,0.17310397216796874,444.74,calls,0.001250168637855826
MA240607C00452500,MA,2024-06-04 19:59:41,2024-06-07,452.5,0.66,0.59,0.75,0.6699999999999999,71.0,113.0,0.17359224853515626,444.74,calls,0.001250168637855826
MA240607C00455000,MA,2024-06-04 19:57:00,2024-06-07,455.0,0.34,0.3,0.39,0.345,56.0,560.0,0.17090672851562502,444.74,calls,0.001250168637855826
MA240607C00457500,MA,2024-06-04 17:33:38,2024-06-07,457.5,0.14,0.16,0.25,0.20500000000000002,3.0,59.0,0.17993984130859375,444.74,calls,0.001250168637855826
MA240607C00460000,MA,2024-06-04 19:57:00,2024-06-07,460.0,0.11,0.03,0.11,0.07,12.0,211.0,0.1757894921875,444.74,calls,0.001250168637855826
MA240607C00462500,MA,2024-06-04 17:51:29,2024-06-07,462.5,0.06,0.04,0.1,0.07,2.0,56.0,0.195320546875,444.74,calls,0.001250168637855826
MA240607C00465000,MA,2024-06-04 16:52:40,2024-06-07,465.0,0.06,0.02,0.13,0.075,1.0,231.0,0.22754678710937498,444.74,calls,0.001250168637855826
MA240607C00485000,MA,2024-06-04 19:56:49,2024-06-07,485.0,0.02,0.01,0.11,0.06,9.0,25.0,0.38672488281249995,444.74,calls,0.001250168637855826
MA240607C00495000,MA,2024-06-04 19:49:49,2024-06-07,495.0,0.02,0.0,0.02,0.01,4.0,1.0,0.3789124609375,444.74,calls,0.001250168637855826
MA240607P00385000,MA,2024-06-04 19:48:30,2024-06-07,385.0,0.03,0.0,0.03,0.015,4.0,2.0,0.523442265625,444.74,puts,0.001250168637855826
MA240607P00390000,MA,2024-06-04 14:43:51,2024-06-07,390.0,0.03,0.0,1.29,0.645,1.0,1.0,0.75195560546875,444.74,puts,0.001250168637855826
MA240607P00405000,MA,2024-06-04 19:26:46,2024-06-07,405.0,0.04,0.01,0.25,0.13,21.0,50.0,0.477544287109375,444.74,puts,0.001250168637855826
MA240607P00415000,MA,2024-06-04 19:59:55,2024-06-07,415.0,0.08,0.04,0.12,0.08,18.0,117.0,0.32813171874999997,444.74,puts,0.001250168637855826
MA240607P00420000,MA,2024-06-04 17:27:31,2024-06-07,420.0,0.09,0.04,0.09,0.065,95.0,130.0,0.26758544921875,444.74,puts,0.001250168637855826
MA240607P00425000,MA,2024-06-04 19:45:22,2024-06-07,425.0,0.12,0.1,0.14,0.12000000000000001,96.0,295.0,0.23633576171874998,444.74,puts,0.001250168637855826
MA240607P00430000,MA,2024-06-04 19:56:13,2024-06-07,430.0,0.2,0.17,0.23,0.2,155.0,259.0,0.20459779785156246,444.74,puts,0.001250168637855826
MA240607P00432500,MA,2024-06-04 19:32:38,2024-06-07,432.5,0.42,0.27,0.39,0.33,198.0,72.0,0.2004474487304687,444.74,puts,0.001250168637855826
MA240607P00435000,MA,2024-06-04 19:19:11,2024-06-07,435.0,0.65,0.44,0.59,0.515,93.0,498.0,0.1909260595703125,444.74,puts,0.001250168637855826
MA240607P00437500,MA,2024-06-04 19:59:05,2024-06-07,437.5,0.86,0.75,0.91,0.8300000000000001,25.0,296.0,0.1828694995117187,444.74,puts,0.001250168637855826
MA240607P00440000,MA,2024-06-04 19:27:07,2024-06-07,440.0,1.27,1.2,1.35,1.275,61.0,195.0,0.17224948852539065,444.74,puts,0.001250168637855826
MA240607P00442500,MA,2024-06-04 19:58:01,2024-06-07,442.5,1.98,1.92,2.08,2.0,27.0,99.0,0.16639017211914067,444.74,puts,0.001250168637855826
MA240607P00445000,MA,2024-06-04 18:37:09,2024-06-07,445.0,3.37,2.94,3.15,3.045,13.0,108.0,0.16333844482421878,444.74,puts,0.001250168637855826
MA240607P00447500,MA,2024-06-04 19:03:13,2024-06-07,447.5,5.45,4.3,4.55,4.425,1.0,35.0,0.16040878662109376,444.74,puts,0.001250168637855826
MA240607P00450000,MA,2024-06-04 14:39:32,2024-06-07,450.0,7.7,5.85,6.4,6.125,2.0,150.0,0.16651224121093755,444.74,puts,0.001250168637855826
MA240607P00455000,MA,2024-06-04 17:23:36,2024-06-07,455.0,12.98,9.7,11.35,10.524999999999999,8.0,45.0,0.23975369628906246,444.74,puts,0.001250168637855826
MA240614C00440000,MA,2024-06-04 14:57:13,2024-06-14,440.0,8.45,8.3,8.65,8.475000000000001,5.0,82.0,0.19464916687011719,444.74,calls,0.001250168637855826
MA240614C00442500,MA,2024-06-04 18:33:08,2024-06-14,442.5,5.95,6.7,7.0,6.85,12.0,18.0,0.18860674682617187,444.74,calls,0.001250168637855826
MA240614C00445000,MA,2024-06-04 18:49:03,2024-06-14,445.0,4.9,5.25,5.5,5.375,42.0,106.0,0.18219811950683595,444.74,calls,0.001250168637855826
MA240614C00447500,MA,2024-06-04 13:53:00,2024-06-14,447.5,3.8,4.05,4.25,4.15,4.0,40.0,0.1782308740234375,444.74,calls,0.001250168637855826
MA240614C00450000,MA,2024-06-04 18:49:05,2024-06-14,450.0,2.58,3.0,3.25,3.125,52.0,182.0,0.1765829412841797,444.74,calls,0.001250168637855826
MA240614C00452500,MA,2024-06-04 19:48:25,2024-06-14,452.5,2.0,2.19,2.39,2.29,24.0,63.0,0.17371431762695314,444.74,calls,0.001250168637855826
MA240614C00457500,MA,2024-06-04 19:45:14,2024-06-14,457.5,1.01,1.07,1.26,1.165,5.0,129.0,0.17273776489257814,444.74,calls,0.001250168637855826
MA240614C00460000,MA,2024-06-04 18:49:05,2024-06-14,460.0,0.75,0.74,0.91,0.825,3.0,63.0,0.1739584558105469,444.74,calls,0.001250168637855826
MA240614C00467500,MA,2024-06-04 14:00:32,2024-06-14,467.5,0.29,0.16,0.37,0.265,3.0,13.0,0.18384605224609374,444.74,calls,0.001250168637855826
MA240614C00475000,MA,2024-06-04 16:28:31,2024-06-14,475.0,0.08,0.07,0.15,0.11,16.0,65.0,0.194343994140625,444.74,calls,0.001250168637855826
MA240614P00415000,MA,2024-06-04 17:45:07,2024-06-14,415.0,0.32,0.2,0.29,0.245,5.0,123.0,0.2304764453125,444.74,puts,0.001250168637855826
MA240614P00420000,MA,2024-06-04 17:45:07,2024-06-14,420.0,0.49,0.3,0.46,0.38,5.0,272.0,0.21753712158203126,444.74,puts,0.001250168637855826
MA240614P00425000,MA,2024-06-04 18:03:14,2024-06-14,425.0,0.75,0.53,0.69,0.61,12.0,166.0,0.20130193237304686,444.74,puts,0.001250168637855826
MA240614P00430000,MA,2024-06-04 18:42:59,2024-06-14,430.0,1.08,0.93,1.12,1.0250000000000001,14.0,212.0,0.188484677734375,444.74,puts,0.001250168637855826
MA240614P00435000,MA,2024-06-04 17:14:29,2024-06-14,435.0,2.25,1.65,1.82,1.7349999999999999,8.0,210.0,0.17542328491210937,444.74,puts,0.001250168637855826
MA240614P00437500,MA,2024-06-04 17:21:36,2024-06-14,437.5,3.05,2.17,2.36,2.2649999999999997,13.0,88.0,0.170479486694336,444.74,puts,0.001250168637855826
MA240614P00440000,MA,2024-06-04 16:47:07,2024-06-14,440.0,3.2,2.85,3.05,2.95,15.0,154.0,0.16590189575195316,444.74,puts,0.001250168637855826
MA240614P00442500,MA,2024-06-04 18:35:32,2024-06-14,442.5,4.0,3.7,3.95,3.825,15.0,15.0,0.16285016845703126,444.74,puts,0.001250168637855826
MA240614P00445000,MA,2024-06-04 16:04:41,2024-06-14,445.0,5.1,4.75,5.0,4.875,31.0,54.0,0.15851671569824222,444.74,puts,0.001250168637855826
MA240614P00450000,MA,2024-06-04 14:39:32,2024-06-14,450.0,8.96,7.4,8.0,7.7,1.0,96.0,0.1598594757080078,444.74,puts,0.001250168637855826
MA240614P00452500,MA,2024-06-04 17:23:36,2024-06-14,452.5,11.5,9.05,9.7,9.375,4.0,4.0,0.15760119750976562,444.74,puts,0.001250168637855826
MA240614P00455000,MA,2024-06-04 15:30:16,2024-06-14,455.0,13.5,10.2,12.55,11.375,1.0,34.0,0.19654123779296873,444.74,puts,0.001250168637855826
MA240621C00400000,MA,2024-06-04 18:12:19,2024-06-21,400.0,44.74,44.5,47.2,45.85,1.0,358.0,0.4161435339355468,444.74,calls,0.001250168637855826
MA240621C00420000,MA,2024-06-04 19:06:28,2024-06-21,420.0,25.19,24.7,27.55,26.125,5.0,1268.0,0.28729960754394523,444.74,calls,0.001250168637855826
MA240621C00430000,MA,2024-06-04 18:16:27,2024-06-21,430.0,17.29,16.8,18.35,17.575000000000003,2.0,400.0,0.2355423126220703,444.74,calls,0.001250168637855826
MA240621C00437500,MA,2024-06-04 16:46:51,2024-06-21,437.5,10.37,11.4,11.95,11.675,2.0,12.0,0.19904365417480469,444.74,calls,0.001250168637855826
MA240621C00440000,MA,2024-06-04 18:44:42,2024-06-21,440.0,9.72,9.65,10.1,9.875,8.0,830.0,0.19068192138671874,444.74,calls,0.001250168637855826
MA240621C00442500,MA,2024-06-04 19:03:42,2024-06-21,442.5,7.5,8.05,8.35,8.2,19.0,35.0,0.18207605041503905,444.74,calls,0.001250168637855826
