contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MCD240607C00245000,MCD,2024-06-04 18:43:03,2024-06-07,245.0,18.25,16.75,19.8,18.275,3.0,24.0,0.75586181640625,262.67,calls,0.005798149769672974
MCD240607C00250000,MCD,2024-06-04 19:33:04,2024-06-07,250.0,12.8,11.4,14.2,12.8,179.0,219.0,0.5351608984375,262.67,calls,0.005798149769672974
MCD240607C00252500,MCD,2024-06-04 17:50:58,2024-06-07,252.5,10.2,9.3,11.65,10.475000000000001,166.0,1059.0,0.4602104760742188,262.67,calls,0.005798149769672974
MCD240607C00255000,MCD,2024-06-04 19:59:36,2024-06-07,255.0,8.05,7.55,8.85,8.2,48.0,315.0,0.3523013989257812,262.67,calls,0.005798149769672974
MCD240607C00257500,MCD,2024-06-04 18:42:34,2024-06-07,257.5,6.0,5.55,6.65,6.1,86.0,906.0,0.3154365332031249,262.67,calls,0.005798149769672974
MCD240607C00260000,MCD,2024-06-04 19:59:15,2024-06-07,260.0,3.5,3.4,4.15,3.7750000000000004,371.0,999.0,0.2348709326171875,262.67,calls,0.005798149769672974
MCD240607C00262500,MCD,2024-06-04 19:59:03,2024-06-07,262.5,2.04,1.88,2.11,1.9949999999999999,2390.0,1198.0,0.1821370849609375,262.67,calls,0.005798149769672974
MCD240607C00265000,MCD,2024-06-04 19:59:33,2024-06-07,265.0,0.86,0.86,0.98,0.9199999999999999,2839.0,1370.0,0.17310397216796874,262.67,calls,0.005798149769672974
MCD240607C00267500,MCD,2024-06-04 19:59:19,2024-06-07,267.5,0.37,0.37,0.49,0.43,577.0,520.0,0.18555501953124998,262.67,calls,0.005798149769672974
MCD240607C00270000,MCD,2024-06-04 19:57:52,2024-06-07,270.0,0.19,0.16,0.21,0.185,334.0,401.0,0.1909260595703125,262.67,calls,0.005798149769672974
MCD240607C00272500,MCD,2024-06-04 19:35:45,2024-06-07,272.5,0.11,0.0,0.15,0.075,173.0,72.0,0.22071091796874998,262.67,calls,0.005798149769672974
MCD240607C00275000,MCD,2024-06-04 19:55:59,2024-06-07,275.0,0.06,0.04,0.1,0.07,49.0,418.0,0.243171630859375,262.67,calls,0.005798149769672974
MCD240607C00280000,MCD,2024-06-04 18:42:36,2024-06-07,280.0,0.05,0.03,0.2,0.115,6.0,197.0,0.3632876171875,262.67,calls,0.005798149769672974
MCD240607C00285000,MCD,2024-06-04 19:34:54,2024-06-07,285.0,0.02,0.01,0.14,0.07500000000000001,50.0,177.0,0.415044912109375,262.67,calls,0.005798149769672974
MCD240607C00290000,MCD,2024-06-04 19:23:38,2024-06-07,290.0,0.01,0.01,0.33,0.17,2.0,88.0,0.5029346582031251,262.67,calls,0.005798149769672974
MCD240607C00300000,MCD,2024-06-04 19:20:00,2024-06-07,300.0,0.01,0.01,0.03,0.02,21.0,115.0,0.507817421875,262.67,calls,0.005798149769672974
MCD240607C00305000,MCD,2024-06-04 13:43:37,2024-06-07,305.0,0.01,0.0,1.02,0.51,150.0,134.0,0.8579115771484375,262.67,calls,0.005798149769672974
MCD240607C00310000,MCD,2024-06-04 13:40:43,2024-06-07,310.0,0.01,,0.1,,,,0.7148466015625,262.67,calls,0.005798149769672974
MCD240607P00225000,MCD,2024-06-04 13:44:30,2024-06-07,225.0,0.01,0.0,0.01,0.005,7.0,62.0,0.500005,262.67,puts,0.005798149769672974
MCD240607P00240000,MCD,2024-06-04 15:37:25,2024-06-07,240.0,0.04,0.01,0.05,0.030000000000000002,86.0,218.0,0.39258419921875,262.67,puts,0.005798149769672974
MCD240607P00242500,MCD,2024-06-04 19:28:43,2024-06-07,242.5,0.03,0.03,0.2,0.115,3.0,90.0,0.44287666503906253,262.67,puts,0.005798149769672974
MCD240607P00245000,MCD,2024-06-04 19:53:22,2024-06-07,245.0,0.04,0.02,0.06,0.04,55.0,191.0,0.32227240234374993,262.67,puts,0.005798149769672974
