contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MRK240607C00117000,MRK,2024-06-04 15:10:13,2024-06-07,117.0,11.91,9.75,14.0,11.875,4.0,16.0,0.5664105859375,128.7,calls,0.0056099456099456095
MRK240607C00125000,MRK,2024-06-04 19:33:50,2024-06-07,125.0,4.05,2.95,4.75,3.85,45.0,545.0,0.46484910156250003,128.7,calls,0.0056099456099456095
MRK240607C00126000,MRK,2024-06-04 19:39:38,2024-06-07,126.0,3.35,2.72,3.15,2.935,17.0,2050.0,0.26270268554687504,128.7,calls,0.0056099456099456095
MRK240607C00127000,MRK,2024-06-04 18:12:55,2024-06-07,127.0,2.41,1.82,2.3,2.06,817.0,2959.0,0.2368240380859375,128.7,calls,0.0056099456099456095
MRK240607C00128000,MRK,2024-06-04 19:55:13,2024-06-07,128.0,1.36,1.36,1.51,1.435,386.0,798.0,0.20899228515624996,128.7,calls,0.0056099456099456095
MRK240607C00129000,MRK,2024-06-04 19:59:05,2024-06-07,129.0,0.76,0.77,0.94,0.855,499.0,796.0,0.2004474487304687,128.7,calls,0.0056099456099456095
MRK240607C00130000,MRK,2024-06-04 19:57:40,2024-06-07,130.0,0.47,0.4,0.54,0.47000000000000003,412.0,1823.0,0.19678537597656248,128.7,calls,0.0056099456099456095
MRK240607C00131000,MRK,2024-06-04 19:25:25,2024-06-07,131.0,0.3,0.19,0.4,0.29500000000000004,139.0,615.0,0.22461712890624996,128.7,calls,0.0056099456099456095
MRK240607C00132000,MRK,2024-06-04 19:34:12,2024-06-07,132.0,0.14,0.09,0.16,0.125,38.0,423.0,0.20313296874999998,128.7,calls,0.0056099456099456095
MRK240607C00133000,MRK,2024-06-04 19:41:41,2024-06-07,133.0,0.08,0.06,0.3,0.18,55.0,165.0,0.2954172021484375,128.7,calls,0.0056099456099456095
MRK240607C00135000,MRK,2024-06-04 14:30:55,2024-06-07,135.0,0.06,0.01,0.66,0.335,13.0,495.0,0.495122236328125,128.7,calls,0.0056099456099456095
MRK240607C00138000,MRK,2024-06-04 13:46:37,2024-06-07,138.0,0.04,0.0,1.06,0.53,2.0,127.0,0.5888712988281251,128.7,calls,0.0056099456099456095
MRK240607C00150000,MRK,2024-06-04 13:39:33,2024-06-07,150.0,0.01,0.0,1.27,0.635,45.0,148.0,1.0791061669921875,128.7,calls,0.0056099456099456095
MRK240607P00115000,MRK,2024-06-04 15:42:37,2024-06-07,115.0,0.02,0.0,0.59,0.295,12.0,87.0,0.7334011035156249,128.7,puts,0.0056099456099456095
MRK240607P00116000,MRK,2024-06-04 15:41:38,2024-06-07,116.0,0.04,0.0,0.12,0.06,2.0,15.0,0.5039112109375,128.7,puts,0.0056099456099456095
MRK240607P00119000,MRK,2024-06-04 14:02:08,2024-06-07,119.0,0.02,0.01,0.21,0.11,3.0,1830.0,0.5117236328125,128.7,puts,0.0056099456099456095
MRK240607P00122000,MRK,2024-06-04 19:47:13,2024-06-07,122.0,0.04,0.0,0.57,0.285,1.0,822.0,0.514653291015625,128.7,puts,0.0056099456099456095
MRK240607P00124000,MRK,2024-06-04 15:43:12,2024-06-07,124.0,0.08,0.04,0.09,0.065,5.0,1248.0,0.23633576171874998,128.7,puts,0.0056099456099456095
MRK240607P00125000,MRK,2024-06-04 17:51:01,2024-06-07,125.0,0.13,0.06,0.12,0.09,123.0,700.0,0.2104571142578125,128.7,puts,0.0056099456099456095
MRK240607P00126000,MRK,2024-06-04 18:00:58,2024-06-07,126.0,0.16,0.09,0.22,0.155,295.0,766.0,0.20117986328124998,128.7,puts,0.0056099456099456095
MRK240607P00127000,MRK,2024-06-04 17:02:09,2024-06-07,127.0,0.43,0.24,0.37,0.305,591.0,355.0,0.187508125,128.7,puts,0.0056099456099456095
MRK240607P00128000,MRK,2024-06-04 16:37:21,2024-06-07,128.0,0.65,0.51,0.65,0.5800000000000001,516.0,428.0,0.179695703125,128.7,puts,0.0056099456099456095
MRK240607P00129000,MRK,2024-06-04 18:51:00,2024-06-07,129.0,0.92,0.94,1.1,1.02,186.0,104.0,0.17627776855468752,128.7,puts,0.0056099456099456095
MRK240607P00130000,MRK,2024-06-04 19:59:23,2024-06-07,130.0,1.71,1.58,1.73,1.655,109.0,301.0,0.1757894921875,128.7,puts,0.0056099456099456095
MRK240607P00131000,MRK,2024-06-04 18:24:24,2024-06-07,131.0,2.25,2.3,2.73,2.5149999999999997,2.0,482.0,0.23438265625,128.7,puts,0.0056099456099456095
MRK240607P00133000,MRK,2024-06-04 19:55:11,2024-06-07,133.0,4.25,3.95,5.5,4.725,2.0,0.0,0.5229539892578124,128.7,puts,0.0056099456099456095
MRK240614C00127000,MRK,2024-06-04 19:44:24,2024-06-14,127.0,3.05,2.57,3.05,2.8099999999999996,37.0,372.0,0.23535920898437498,128.7,calls,0.0056099456099456095
MRK240614C00128000,MRK,2024-06-04 19:53:11,2024-06-14,128.0,2.11,2.03,2.16,2.0949999999999998,95.0,547.0,0.2004474487304687,128.7,calls,0.0056099456099456095
