contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
MSFT240607C00300000,MSFT,2024-06-04 16:15:48,2024-06-07,300.0,112.57,114.4,117.4,115.9,2.0,10.0,1.8637702124023439,416.07,calls,0.001641550700603264
MSFT240607C00320000,MSFT,2024-06-04 17:25:46,2024-06-07,320.0,92.72,94.4,96.9,95.65,1.0,17.0,1.4165068237304688,416.07,calls,0.001641550700603264
MSFT240607C00355000,MSFT,2024-06-04 16:07:10,2024-06-07,355.0,57.53,60.0,62.1,61.05,6.0,8.0,0.9787599780273439,416.07,calls,0.001641550700603264
MSFT240607C00360000,MSFT,2024-06-04 15:34:42,2024-06-07,360.0,51.94,54.85,57.15,56.0,7.0,14.0,0.918946123046875,416.07,calls,0.001641550700603264
MSFT240607C00370000,MSFT,2024-06-04 16:46:35,2024-06-07,370.0,43.24,45.2,47.1,46.150000000000006,2.0,20.0,0.7709983837890625,416.07,calls,0.001641550700603264
MSFT240607C00380000,MSFT,2024-06-04 17:26:18,2024-06-07,380.0,33.23,35.6,36.9,36.25,16.0,77.0,0.5998575170898439,416.07,calls,0.001641550700603264
MSFT240607C00390000,MSFT,2024-06-04 19:49:54,2024-06-07,390.0,26.0,25.25,27.15,26.2,21.0,196.0,0.4978077563476563,416.07,calls,0.001641550700603264
MSFT240607C00395000,MSFT,2024-06-04 18:53:49,2024-06-07,395.0,20.48,20.4,22.0,21.2,10.0,179.0,0.40698835205078127,416.07,calls,0.001641550700603264
MSFT240607C00397500,MSFT,2024-06-04 18:53:49,2024-06-07,397.5,19.01,17.9,19.9,18.9,3.0,229.0,0.4145566357421875,416.07,calls,0.001641550700603264
MSFT240607C00400000,MSFT,2024-06-04 19:58:49,2024-06-07,400.0,16.35,16.4,17.05,16.725,140.0,662.0,0.33960621337890623,416.07,calls,0.001641550700603264
MSFT240607C00402500,MSFT,2024-06-04 19:40:25,2024-06-07,402.5,13.15,13.8,14.45,14.125,39.0,379.0,0.2915109912109374,416.07,calls,0.001641550700603264
MSFT240607C00405000,MSFT,2024-06-04 19:59:53,2024-06-07,405.0,11.85,11.45,12.05,11.75,473.0,1331.0,0.26306889282226564,416.07,calls,0.001641550700603264
MSFT240607C00407500,MSFT,2024-06-04 19:59:44,2024-06-07,407.5,9.75,9.4,9.8,9.600000000000001,760.0,1297.0,0.24390404541015626,416.07,calls,0.001641550700603264
MSFT240607C00410000,MSFT,2024-06-04 19:59:48,2024-06-07,410.0,7.1,7.35,7.7,7.525,1719.0,2517.0,0.22864540893554688,416.07,calls,0.001641550700603264
MSFT240607C00412500,MSFT,2024-06-04 19:59:39,2024-06-07,412.5,5.85,5.55,5.75,5.65,2756.0,1847.0,0.2135088415527344,416.07,calls,0.001641550700603264
MSFT240607C00415000,MSFT,2024-06-04 19:59:58,2024-06-07,415.0,3.95,4.0,4.15,4.075,7217.0,3287.0,0.2067950415039062,416.07,calls,0.001641550700603264
MSFT240607C00417500,MSFT,2024-06-04 19:59:58,2024-06-07,417.5,2.71,2.71,2.82,2.7649999999999997,4903.0,4059.0,0.2004474487304687,416.07,calls,0.001641550700603264
MSFT240607C00420000,MSFT,2024-06-04 19:59:58,2024-06-07,420.0,1.75,1.72,1.81,1.7650000000000001,8061.0,7803.0,0.19605296142578127,416.07,calls,0.001641550700603264
MSFT240607C00422500,MSFT,2024-06-04 19:59:48,2024-06-07,422.5,1.05,1.05,1.09,1.07,2093.0,3172.0,0.19263502685546874,416.07,calls,0.001641550700603264
MSFT240607C00425000,MSFT,2024-06-04 19:59:58,2024-06-07,425.0,0.58,0.57,0.63,0.6,4902.0,7669.0,0.19190261230468753,416.07,calls,0.001641550700603264
MSFT240607C00427500,MSFT,2024-06-04 19:59:56,2024-06-07,427.5,0.34,0.29,0.34,0.315,1128.0,2532.0,0.1909260595703125,416.07,calls,0.001641550700603264
MSFT240607C00430000,MSFT,2024-06-04 19:58:42,2024-06-07,430.0,0.18,0.15,0.19,0.16999999999999998,2501.0,5855.0,0.19385571777343752,416.07,calls,0.001641550700603264
MSFT240607C00432500,MSFT,2024-06-04 19:57:28,2024-06-07,432.5,0.1,0.08,0.1,0.09,1235.0,2974.0,0.196297099609375,416.07,calls,0.001641550700603264
MSFT240607C00435000,MSFT,2024-06-04 19:59:35,2024-06-07,435.0,0.04,0.04,0.05,0.045,979.0,5424.0,0.198250205078125,416.07,calls,0.001641550700603264
MSFT240607C00437500,MSFT,2024-06-04 19:43:58,2024-06-07,437.5,0.02,0.01,0.04,0.025,170.0,2201.0,0.21289849609375,416.07,calls,0.001641550700603264
MSFT240607C00440000,MSFT,2024-06-04 19:48:56,2024-06-07,440.0,0.01,0.01,0.02,0.015,490.0,3659.0,0.2148516015625,416.07,calls,0.001641550700603264
MSFT240607C00442500,MSFT,2024-06-04 19:56:27,2024-06-07,442.5,0.02,0.0,0.02,0.01,393.0,367.0,0.23438265625,416.07,calls,0.001641550700603264
MSFT240607C00445000,MSFT,2024-06-04 19:59:15,2024-06-07,445.0,0.02,0.0,0.02,0.01,111.0,2058.0,0.25391371093750004,416.07,calls,0.001641550700603264
MSFT240607C00450000,MSFT,2024-06-04 19:24:31,2024-06-07,450.0,0.01,0.0,0.01,0.005,57.0,3089.0,0.2695385546875,416.07,calls,0.001641550700603264
MSFT240607C00455000,MSFT,2024-06-04 13:36:52,2024-06-07,455.0,0.01,0.0,0.01,0.005,1.0,958.0,0.304694453125,416.07,calls,0.001641550700603264
MSFT240607P00250000,MSFT,2024-06-04 13:42:09,2024-06-07,250.0,0.01,0.0,0.01,0.005,1.0,2.0,1.4375028125,416.07,puts,0.001641550700603264
MSFT240607P00340000,MSFT,2024-06-04 16:59:03,2024-06-07,340.0,0.01,0.0,0.02,0.01,1.0,153.0,0.64062859375,416.07,puts,0.001641550700603264
MSFT240607P00350000,MSFT,2024-06-04 15:21:35,2024-06-07,350.0,0.01,0.0,0.01,0.005,12.0,913.0,0.5312546875,416.07,puts,0.001641550700603264
MSFT240607P00355000,MSFT,2024-06-04 13:46:07,2024-06-07,355.0,0.01,0.0,0.02,0.01,20.0,465.0,0.51562984375,416.07,puts,0.001641550700603264
MSFT240607P00360000,MSFT,2024-06-04 19:54:48,2024-06-07,360.0,0.01,0.01,0.02,0.015,90.0,842.0,0.507817421875,416.07,puts,0.001641550700603264
MSFT240607P00365000,MSFT,2024-06-04 19:12:31,2024-06-07,365.0,0.03,0.01,0.03,0.02,248.0,823.0,0.48438015625,416.07,puts,0.001641550700603264
MSFT240607P00370000,MSFT,2024-06-04 19:48:57,2024-06-07,370.0,0.03,0.01,0.04,0.025,981.0,1660.0,0.45313046875,416.07,puts,0.001641550700603264
MSFT240607P00375000,MSFT,2024-06-04 18:08:44,2024-06-07,375.0,0.04,0.02,0.04,0.03,58.0,1276.0,0.4062559375,416.07,puts,0.001641550700603264
MSFT240607P00380000,MSFT,2024-06-04 19:57:01,2024-06-07,380.0,0.04,0.03,0.05,0.04,63.0,2905.0,0.36914693359375,416.07,puts,0.001641550700603264
MSFT240607P00385000,MSFT,2024-06-04 19:56:59,2024-06-07,385.0,0.06,0.06,0.07,0.065,233.0,1655.0,0.33789724609375,416.07,puts,0.001641550700603264
MSFT240607P00390000,MSFT,2024-06-04 19:56:15,2024-06-07,390.0,0.09,0.07,0.1,0.085,298.0,2235.0,0.304694453125,416.07,puts,0.001641550700603264
MSFT240607P00395000,MSFT,2024-06-04 19:59:39,2024-06-07,395.0,0.13,0.11,0.14,0.125,849.0,2421.0,0.26758544921875,416.07,puts,0.001641550700603264
MSFT240607P00397500,MSFT,2024-06-04 19:59:18,2024-06-07,397.5,0.16,0.15,0.19,0.16999999999999998,1335.0,1051.0,0.25391371093750004,416.07,puts,0.001641550700603264
MSFT240607P00400000,MSFT,2024-06-04 19:59:45,2024-06-07,400.0,0.22,0.21,0.25,0.22999999999999998,1776.0,8458.0,0.2387771435546875,416.07,puts,0.001641550700603264
MSFT240607P00402500,MSFT,2024-06-04 19:59:31,2024-06-07,402.5,0.34,0.31,0.35,0.32999999999999996,1485.0,1373.0,0.22534954345703123,416.07,puts,0.001641550700603264
MSFT240607P00405000,MSFT,2024-06-04 19:59:38,2024-06-07,405.0,0.46,0.46,0.51,0.485,2697.0,2943.0,0.213875048828125,416.07,puts,0.001641550700603264
MSFT240607P00407500,MSFT,2024-06-04 19:58:33,2024-06-07,407.5,0.78,0.71,0.78,0.745,1985.0,1289.0,0.20508607421874997,416.07,puts,0.001641550700603264
MSFT240607P00410000,MSFT,2024-06-04 19:59:54,2024-06-07,410.0,1.12,1.11,1.19,1.15,4785.0,3432.0,0.19690744506835936,416.07,puts,0.001641550700603264
MSFT240607P00412500,MSFT,2024-06-04 19:59:47,2024-06-07,412.5,1.74,1.74,1.82,1.78,2435.0,1724.0,0.1909260595703125,416.07,puts,0.001641550700603264
MSFT240607P00415000,MSFT,2024-06-04 19:59:50,2024-06-07,415.0,2.7,2.61,2.73,2.67,1068.0,2061.0,0.186531572265625,416.07,puts,0.001641550700603264
MSFT240607P00417500,MSFT,2024-06-04 19:59:47,2024-06-07,417.5,3.82,3.8,4.0,3.9,262.0,1232.0,0.18586019226074219,416.07,puts,0.001641550700603264
MSFT240607P00420000,MSFT,2024-06-04 19:58:29,2024-06-07,420.0,5.36,5.3,5.55,5.425,411.0,2226.0,0.18384605224609374,416.07,puts,0.001641550700603264
MSFT240607P00422500,MSFT,2024-06-04 19:57:19,2024-06-07,422.5,7.38,7.05,7.85,7.449999999999999,348.0,1885.0,0.21704884521484374,416.07,puts,0.001641550700603264
MSFT240607P00425000,MSFT,2024-06-04 19:59:39,2024-06-07,425.0,9.0,8.9,10.0,9.45,59.0,1299.0,0.23169713623046873,416.07,puts,0.001641550700603264
MSFT240607P00427500,MSFT,2024-06-04 19:57:07,2024-06-07,427.5,11.75,11.05,12.95,12.0,88.0,1436.0,0.30799031860351556,416.07,puts,0.001641550700603264
MSFT240607P00430000,MSFT,2024-06-04 19:58:51,2024-06-07,430.0,13.87,13.45,14.85,14.149999999999999,88.0,1057.0,0.2912668530273437,416.07,puts,0.001641550700603264
MSFT240607P00432500,MSFT,2024-06-04 15:11:41,2024-06-07,432.5,20.24,15.9,17.35,16.625,3.0,46.0,0.32532412963867186,416.07,puts,0.001641550700603264
MSFT240607P00435000,MSFT,2024-06-04 18:25:26,2024-06-07,435.0,19.8,18.45,20.1,19.275,55.0,7.0,0.3852600537109374,416.07,puts,0.001641550700603264
MSFT240607P00445000,MSFT,2024-06-04 16:43:42,2024-06-07,445.0,32.05,28.45,29.6,29.025,5.0,0.0,0.445318046875,416.07,puts,0.001641550700603264
MSFT240614C00220000,MSFT,2024-06-04 17:33:17,2024-06-14,220.0,193.6,194.9,197.35,196.125,3.0,3.0,1.3164096679687498,416.07,calls,0.001641550700603264
MSFT240614C00375000,MSFT,2024-06-04 13:35:26,2024-06-14,375.0,38.9,40.4,42.9,41.65,2.0,10.0,0.49219257812500006,416.07,calls,0.001641550700603264
