contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NFLX240607C00510000,NFLX,2024-06-04 16:24:50,2024-06-07,510.0,121.84,118.35,126.0,122.175,5.0,5.0,1.0336962377929688,631.46,calls,
NFLX240607C00570000,NFLX,2024-06-04 15:22:15,2024-06-07,570.0,61.88,59.0,66.2,62.6,1.0,94.0,0.6247596118164063,631.46,calls,
NFLX240607C00575000,NFLX,2024-06-04 19:15:03,2024-06-07,575.0,59.28,53.8,61.25,57.525,1.0,26.0,0.5722699023437501,631.46,calls,
NFLX240607C00580000,NFLX,2024-06-04 16:35:31,2024-06-07,580.0,52.61,49.8,56.25,53.025,2.0,32.0,0.5874064697265625,631.46,calls,
NFLX240607C00600000,NFLX,2024-06-04 19:15:03,2024-06-07,600.0,34.86,29.1,34.95,32.025000000000006,8.0,101.0,0.5334519311523438,631.46,calls,
NFLX240607C00605000,NFLX,2024-06-04 16:49:24,2024-06-07,605.0,29.0,24.5,30.75,27.625,2.0,124.0,0.5211229528808592,631.46,calls,
NFLX240607C00607500,NFLX,2024-06-04 18:52:16,2024-06-07,607.5,27.8,22.6,27.0,24.8,7.0,34.0,0.42407802490234375,631.46,calls,
NFLX240607C00610000,NFLX,2024-06-04 18:45:29,2024-06-07,610.0,26.2,21.8,24.85,23.325000000000003,9.0,88.0,0.4149228430175781,631.46,calls,
NFLX240607C00612500,NFLX,2024-06-04 18:21:32,2024-06-07,612.5,23.6,18.75,22.85,20.8,7.0,159.0,0.41095559753417965,631.46,calls,
NFLX240607C00615000,NFLX,2024-06-04 19:56:10,2024-06-07,615.0,18.5,17.5,20.15,18.825,31.0,68.0,0.3706117626953125,631.46,calls,
NFLX240607C00617500,NFLX,2024-06-04 19:02:02,2024-06-07,617.5,18.13,15.8,17.7,16.75,1.0,177.0,0.34192552612304683,631.46,calls,
NFLX240607C00620000,NFLX,2024-06-04 19:02:02,2024-06-07,620.0,16.08,13.6,15.2,14.399999999999999,28.0,648.0,0.30982135498046875,631.46,calls,
NFLX240607C00625000,NFLX,2024-06-04 18:30:14,2024-06-07,625.0,11.8,9.65,11.15,10.4,60.0,177.0,0.2809520147705078,631.46,calls,
NFLX240607C00630000,NFLX,2024-06-04 19:58:55,2024-06-07,630.0,8.0,7.55,8.8,8.175,1022.0,1519.0,0.302314105834961,631.46,calls,
NFLX240607C00635000,NFLX,2024-06-04 19:59:36,2024-06-07,635.0,5.52,5.1,5.55,5.324999999999999,1405.0,1562.0,0.26892820922851557,631.46,calls,
NFLX240607C00640000,NFLX,2024-06-04 19:58:29,2024-06-07,640.0,3.5,3.3,3.7,3.5,1052.0,1895.0,0.26807372558593745,631.46,calls,
NFLX240607C00645000,NFLX,2024-06-04 19:59:30,2024-06-07,645.0,2.37,1.91,2.47,2.19,734.0,1839.0,0.273444765625,631.46,calls,
NFLX240607C00650000,NFLX,2024-06-04 19:59:57,2024-06-07,650.0,1.42,1.25,1.68,1.4649999999999999,1212.0,1649.0,0.2829661547851562,631.46,calls,
NFLX240607C00652500,NFLX,2024-06-04 19:59:56,2024-06-07,652.5,1.08,0.79,1.14,0.965,233.0,301.0,0.2710033837890625,631.46,calls,
NFLX240607C00655000,NFLX,2024-06-04 19:58:49,2024-06-07,655.0,0.88,0.77,0.9,0.835,871.0,1108.0,0.2739330419921875,631.46,calls,
NFLX240607C00657500,NFLX,2024-06-04 19:57:30,2024-06-07,657.5,0.75,0.6,0.74,0.6699999999999999,272.0,199.0,0.28003649658203117,631.46,calls,
NFLX240607C00660000,NFLX,2024-06-04 19:59:18,2024-06-07,660.0,0.54,0.43,0.58,0.505,816.0,1051.0,0.2827220166015625,631.46,calls,
NFLX240607C00662500,NFLX,2024-06-04 19:47:40,2024-06-07,662.5,0.41,0.38,0.47,0.425,739.0,318.0,0.28784891845703114,631.46,calls,
NFLX240607C00665000,NFLX,2024-06-04 19:55:01,2024-06-07,665.0,0.37,0.18,0.36,0.27,711.0,772.0,0.28955788574218744,631.46,calls,
NFLX240607C00667500,NFLX,2024-06-04 19:56:10,2024-06-07,667.5,0.28,0.19,0.39,0.29000000000000004,874.0,298.0,0.3110420458984374,631.46,calls,
NFLX240607C00670000,NFLX,2024-06-04 19:52:51,2024-06-07,670.0,0.26,0.2,0.36,0.28,371.0,714.0,0.3227606787109374,631.46,calls,
NFLX240607C00672500,NFLX,2024-06-04 19:59:46,2024-06-07,672.5,0.26,0.1,0.26,0.18,27.0,63.0,0.32031929687499994,631.46,calls,
NFLX240607C00675000,NFLX,2024-06-04 19:55:01,2024-06-07,675.0,0.17,0.1,0.21,0.155,270.0,1212.0,0.3242255078124999,631.46,calls,
NFLX240607C00680000,NFLX,2024-06-04 19:52:05,2024-06-07,680.0,0.12,0.06,0.18,0.12,70.0,539.0,0.3452213916015625,631.46,calls,
NFLX240607C00685000,NFLX,2024-06-04 18:35:16,2024-06-07,685.0,0.13,0.05,0.29,0.16999999999999998,12.0,704.0,0.40332627929687503,631.46,calls,
NFLX240607C00690000,NFLX,2024-06-04 18:13:20,2024-06-07,690.0,0.08,0.04,0.15,0.095,39.0,545.0,0.39160764648437496,631.46,calls,
NFLX240607C00695000,NFLX,2024-06-04 18:46:45,2024-06-07,695.0,0.11,0.03,0.1,0.065,21.0,190.0,0.39649041015625003,631.46,calls,
NFLX240607C00700000,NFLX,2024-06-04 19:33:17,2024-06-07,700.0,0.06,0.05,0.06,0.055,304.0,2832.0,0.39649041015625003,631.46,calls,
NFLX240607C00705000,NFLX,2024-06-04 18:56:13,2024-06-07,705.0,0.05,0.05,0.1,0.07500000000000001,4.0,179.0,0.44727115234375,631.46,calls,
NFLX240607C00710000,NFLX,2024-06-04 16:41:47,2024-06-07,710.0,0.06,0.04,0.07,0.05500000000000001,69.0,202.0,0.45313046875,631.46,calls,
NFLX240607C00715000,NFLX,2024-06-04 18:35:16,2024-06-07,715.0,0.04,0.02,0.06,0.04,35.0,85.0,0.4687553125,631.46,calls,
NFLX240607C00720000,NFLX,2024-06-04 13:40:47,2024-06-07,720.0,0.07,0.0,0.06,0.03,1.0,114.0,0.49121602539062503,631.46,calls,
NFLX240607C00725000,NFLX,2024-06-04 19:44:31,2024-06-07,725.0,0.05,0.0,0.08,0.04,41.0,15.0,0.5312546875,631.46,calls,
NFLX240607C00730000,NFLX,2024-06-04 13:30:02,2024-06-07,730.0,0.05,0.0,0.06,0.03,4.0,160.0,0.500005,631.46,calls,
NFLX240607C00750000,NFLX,2024-06-04 18:34:25,2024-06-07,750.0,0.04,0.0,0.05,0.025,21.0,612.0,0.570316796875,631.46,calls,
NFLX240607C00790000,NFLX,2024-06-04 17:11:47,2024-06-07,790.0,0.03,0.0,2.3,1.15,8.0,30.0,1.1694377465820311,631.46,calls,
NFLX240607P00450000,NFLX,2024-06-04 14:04:10,2024-06-07,450.0,0.01,,,,,,0.0,631.46,puts,
NFLX240607P00455000,NFLX,2024-06-04 14:23:35,2024-06-07,455.0,1.92,0.01,1.92,0.965,2.0,1.0,1.6337908935546874,631.46,puts,
NFLX240607P00460000,NFLX,2024-06-04 14:06:45,2024-06-07,460.0,0.02,0.0,0.8,0.4,2.0,1.0,1.3867218164062498,631.46,puts,
NFLX240607P00470000,NFLX,2024-06-04 17:12:24,2024-06-07,470.0,0.01,0.0,0.99,0.495,15.0,517.0,1.3447298388671873,631.46,puts,
NFLX240607P00480000,NFLX,2024-06-04 15:51:24,2024-06-07,480.0,0.05,0.01,0.1,0.055,2.0,75.0,0.9648441015625,631.46,puts,
NFLX240607P00500000,NFLX,2024-06-04 18:11:08,2024-06-07,500.0,0.02,0.0,0.02,0.01,45.0,374.0,0.710940390625,631.46,puts,
NFLX240607P00520000,NFLX,2024-06-04 14:07:18,2024-06-07,520.0,0.05,0.01,0.4,0.20500000000000002,13.0,274.0,0.823243955078125,631.46,puts,
NFLX240607P00525000,NFLX,2024-06-04 13:30:39,2024-06-07,525.0,0.04,0.0,1.27,0.635,20.0,55.0,0.9335944140625,631.46,puts,
NFLX240607P00550000,NFLX,2024-06-04 19:03:24,2024-06-07,550.0,0.06,0.0,0.1,0.05,124.0,229.0,0.5136767382812499,631.46,puts,
NFLX240607P00555000,NFLX,2024-06-04 17:52:05,2024-06-07,555.0,0.16,0.01,0.16,0.085,7.0,92.0,0.5136767382812499,631.46,puts,
NFLX240607P00565000,NFLX,2024-06-04 15:25:25,2024-06-07,565.0,0.1,0.03,0.21,0.12,104.0,182.0,0.508793974609375,631.46,puts,
NFLX240607P00570000,NFLX,2024-06-04 14:32:49,2024-06-07,570.0,0.1,0.02,0.6,0.31,12.0,178.0,0.5039112109375,631.46,puts,
