contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NKE240607C00090000,NKE,2024-06-04 17:18:08,2024-06-07,90.0,4.3,4.65,5.1,4.875,4.0,253.0,0.47510290527343746,94.74,calls,0.0035729364576736334
NKE240607C00091000,NKE,2024-06-04 13:45:37,2024-06-07,91.0,3.6,3.55,4.35,3.9499999999999997,21.0,29.0,0.49805189453125004,94.74,calls,0.0035729364576736334
NKE240607C00092000,NKE,2024-06-04 19:39:59,2024-06-07,92.0,2.74,2.72,3.1,2.91,33.0,1158.0,0.3320379296875,94.74,calls,0.0035729364576736334
NKE240607C00093000,NKE,2024-06-04 18:37:12,2024-06-07,93.0,2.18,2.11,2.22,2.165,177.0,1274.0,0.2924875439453124,94.74,calls,0.0035729364576736334
NKE240607C00094000,NKE,2024-06-04 19:59:10,2024-06-07,94.0,1.39,1.4,1.45,1.4249999999999998,1372.0,2069.0,0.26367923828125,94.74,calls,0.0035729364576736334
NKE240607C00095000,NKE,2024-06-04 19:59:02,2024-06-07,95.0,0.85,0.85,0.89,0.87,2681.0,3320.0,0.25586681640625003,94.74,calls,0.0035729364576736334
NKE240607C00096000,NKE,2024-06-04 19:59:52,2024-06-07,96.0,0.49,0.48,0.51,0.495,1199.0,2167.0,0.25586681640625003,94.74,calls,0.0035729364576736334
NKE240607C00097000,NKE,2024-06-04 19:58:46,2024-06-07,97.0,0.23,0.25,0.28,0.265,1100.0,1103.0,0.260749580078125,94.74,calls,0.0035729364576736334
NKE240607C00098000,NKE,2024-06-04 19:54:30,2024-06-07,98.0,0.13,0.12,0.16,0.14,210.0,750.0,0.273444765625,94.74,calls,0.0035729364576736334
NKE240607C00099000,NKE,2024-06-04 18:55:47,2024-06-07,99.0,0.11,0.06,0.1,0.08,67.0,442.0,0.2929758203124999,94.74,calls,0.0035729364576736334
NKE240607C00100000,NKE,2024-06-04 19:31:22,2024-06-07,100.0,0.05,0.04,0.07,0.05500000000000001,93.0,1260.0,0.31641308593749995,94.74,calls,0.0035729364576736334
NKE240607C00101000,NKE,2024-06-04 17:58:46,2024-06-07,101.0,0.05,0.02,0.04,0.03,4.0,218.0,0.32813171874999997,94.74,calls,0.0035729364576736334
NKE240607C00102000,NKE,2024-06-04 18:39:17,2024-06-07,102.0,0.03,0.01,0.07,0.04,3.0,32.0,0.4062559375,94.74,calls,0.0035729364576736334
NKE240607C00104000,NKE,2024-06-04 14:00:36,2024-06-07,104.0,0.03,0.01,0.06,0.034999999999999996,2.0,312.0,0.476567734375,94.74,calls,0.0035729364576736334
NKE240607C00110000,NKE,2024-06-04 15:57:19,2024-06-07,110.0,0.01,0.01,0.02,0.015,7.0,602.0,0.585941640625,94.74,calls,0.0035729364576736334
NKE240607P00085000,NKE,2024-06-04 18:21:16,2024-06-07,85.0,0.01,0.0,0.1,0.05,6.0,413.0,0.5351608984375,94.74,puts,0.0035729364576736334
NKE240607P00086000,NKE,2024-06-04 16:14:14,2024-06-07,86.0,0.02,0.01,0.08,0.045,11.0,3117.0,0.5273484765625001,94.74,puts,0.0035729364576736334
NKE240607P00087000,NKE,2024-06-04 17:09:32,2024-06-07,87.0,0.02,0.01,0.2,0.10500000000000001,65.0,631.0,0.5019581054687501,94.74,puts,0.0035729364576736334
NKE240607P00088000,NKE,2024-06-04 19:52:09,2024-06-07,88.0,0.03,0.02,0.05,0.035,109.0,477.0,0.38672488281249995,94.74,puts,0.0035729364576736334
NKE240607P00089000,NKE,2024-06-04 17:25:17,2024-06-07,89.0,0.04,0.03,0.18,0.105,71.0,481.0,0.446294599609375,94.74,puts,0.0035729364576736334
NKE240607P00090000,NKE,2024-06-04 19:56:16,2024-06-07,90.0,0.05,0.05,0.06,0.055,152.0,1460.0,0.29688203124999996,94.74,puts,0.0035729364576736334
NKE240607P00091000,NKE,2024-06-04 19:58:44,2024-06-07,91.0,0.09,0.08,0.1,0.09,593.0,1089.0,0.27637442382812494,94.74,puts,0.0035729364576736334
NKE240607P00092000,NKE,2024-06-04 19:03:15,2024-06-07,92.0,0.2,0.15,0.18,0.16499999999999998,563.0,1467.0,0.25879647460937505,94.74,puts,0.0035729364576736334
NKE240607P00093000,NKE,2024-06-04 19:58:32,2024-06-07,93.0,0.33,0.31,0.34,0.325,838.0,2128.0,0.24805439453125,94.74,puts,0.0035729364576736334
NKE240607P00094000,NKE,2024-06-04 19:59:02,2024-06-07,94.0,0.62,0.59,0.64,0.615,1065.0,970.0,0.245124736328125,94.74,puts,0.0035729364576736334
NKE240607P00095000,NKE,2024-06-04 19:59:02,2024-06-07,95.0,1.08,1.03,1.09,1.06,418.0,560.0,0.24073024902343748,94.74,puts,0.0035729364576736334
NKE240607P00096000,NKE,2024-06-04 19:02:05,2024-06-07,96.0,1.83,1.62,1.72,1.67,6.0,20.0,0.241218525390625,94.74,puts,0.0035729364576736334
NKE240607P00097000,NKE,2024-06-04 16:11:51,2024-06-07,97.0,3.35,2.2,2.57,2.385,130.0,51.0,0.27149166015625,94.74,puts,0.0035729364576736334
NKE240614C00090000,NKE,2024-06-04 15:31:32,2024-06-14,90.0,4.65,5.05,6.15,5.6,6.0,25.0,0.5073291455078125,94.74,calls,0.0035729364576736334
NKE240614C00092000,NKE,2024-06-04 19:58:57,2024-06-14,92.0,3.47,2.98,3.5,3.24,4.0,261.0,0.2797923583984374,94.74,calls,0.0035729364576736334
NKE240614C00093000,NKE,2024-06-04 19:59:01,2024-06-14,93.0,2.69,2.65,2.7,2.675,461.0,1046.0,0.25977302734375,94.74,calls,0.0035729364576736334
NKE240614C00094000,NKE,2024-06-04 19:59:01,2024-06-14,94.0,2.04,2.01,2.05,2.03,305.0,1073.0,0.252937158203125,94.74,calls,0.0035729364576736334
NKE240614C00095000,NKE,2024-06-04 19:59:55,2024-06-14,95.0,1.51,1.47,1.51,1.49,1784.0,1262.0,0.249030947265625,94.74,calls,0.0035729364576736334
NKE240614C00096000,NKE,2024-06-04 19:59:36,2024-06-14,96.0,1.07,1.03,1.08,1.0550000000000002,491.0,511.0,0.24732197998046873,94.74,calls,0.0035729364576736334
NKE240614C00097000,NKE,2024-06-04 19:59:40,2024-06-14,97.0,0.74,0.7,0.73,0.715,263.0,435.0,0.243171630859375,94.74,calls,0.0035729364576736334
NKE240614C00098000,NKE,2024-06-04 19:59:37,2024-06-14,98.0,0.49,0.45,0.52,0.485,127.0,1451.0,0.24976336181640624,94.74,calls,0.0035729364576736334
NKE240614C00099000,NKE,2024-06-04 19:54:11,2024-06-14,99.0,0.31,0.31,0.35,0.32999999999999996,460.0,155.0,0.25196060546875,94.74,calls,0.0035729364576736334
NKE240614C00100000,NKE,2024-06-04 19:59:37,2024-06-14,100.0,0.21,0.2,0.25,0.225,785.0,1121.0,0.260749580078125,94.74,calls,0.0035729364576736334
NKE240614C00101000,NKE,2024-06-04 18:47:21,2024-06-14,101.0,0.16,0.14,0.17,0.15500000000000003,16.0,222.0,0.26563234375,94.74,calls,0.0035729364576736334
NKE240614C00102000,NKE,2024-06-04 16:15:58,2024-06-14,102.0,0.1,0.09,0.13,0.11,17.0,42.0,0.278327529296875,94.74,calls,0.0035729364576736334
NKE240614C00103000,NKE,2024-06-04 16:16:09,2024-06-14,103.0,0.07,0.04,0.1,0.07,225.0,71.0,0.29004616210937495,94.74,calls,0.0035729364576736334
NKE240614C00104000,NKE,2024-06-04 16:16:18,2024-06-14,104.0,0.26,0.06,0.21,0.135,24.0,21.0,0.3711000390625,94.74,calls,0.0035729364576736334
NKE240614C00105000,NKE,2024-06-04 17:09:14,2024-06-14,105.0,0.28,0.05,0.2,0.125,9.0,59.0,0.39453730468750003,94.74,calls,0.0035729364576736334
NKE240614C00110000,NKE,2024-06-04 18:06:31,2024-06-14,110.0,0.04,0.02,0.2,0.11,4.0,18.0,0.526371923828125,94.74,calls,0.0035729364576736334
NKE240614P00070000,NKE,2024-06-04 18:09:24,2024-06-14,70.0,0.03,0.01,0.04,0.025,1.0,59.0,0.7187528125,94.74,puts,0.0035729364576736334
NKE240614P00083000,NKE,2024-06-04 19:56:23,2024-06-14,83.0,0.05,0.02,0.1,0.060000000000000005,10.0,51.0,0.42969320312500003,94.74,puts,0.0035729364576736334
NKE240614P00084000,NKE,2024-06-04 19:56:23,2024-06-14,84.0,0.11,0.03,0.1,0.065,2.0,132.0,0.39649041015625003,94.74,puts,0.0035729364576736334
NKE240614P00085000,NKE,2024-06-04 19:44:16,2024-06-14,85.0,0.04,0.02,0.15,0.08499999999999999,18.0,416.0,0.39551385742187506,94.74,puts,0.0035729364576736334
NKE240614P00086000,NKE,2024-06-04 16:17:50,2024-06-14,86.0,0.08,0.03,0.13,0.08,8.0,85.0,0.3505924316406249,94.74,puts,0.0035729364576736334
NKE240614P00087000,NKE,2024-06-04 19:44:16,2024-06-14,87.0,0.08,0.04,0.11,0.075,23.0,979.0,0.305671005859375,94.74,puts,0.0035729364576736334
NKE240614P00088000,NKE,2024-06-04 19:56:16,2024-06-14,88.0,0.12,0.09,0.12,0.105,43.0,713.0,0.27735097656249996,94.74,puts,0.0035729364576736334
NKE240614P00089000,NKE,2024-06-04 19:59:37,2024-06-14,89.0,0.16,0.13,0.16,0.14500000000000002,53.0,198.0,0.2612378564453125,94.74,puts,0.0035729364576736334
NKE240614P00090000,NKE,2024-06-04 19:45:26,2024-06-14,90.0,0.24,0.2,0.24,0.22,74.0,602.0,0.25196060546875,94.74,puts,0.0035729364576736334
NKE240614P00091000,NKE,2024-06-04 19:59:37,2024-06-14,91.0,0.33,0.31,0.36,0.33499999999999996,47.0,303.0,0.24414818359375,94.74,puts,0.0035729364576736334
NKE240614P00092000,NKE,2024-06-04 18:59:51,2024-06-14,92.0,0.56,0.48,0.54,0.51,81.0,189.0,0.23780059082031246,94.74,puts,0.0035729364576736334
NKE240614P00093000,NKE,2024-06-04 19:33:07,2024-06-14,93.0,0.85,0.75,0.79,0.77,270.0,559.0,0.23120885986328127,94.74,puts,0.0035729364576736334
NKE240614P00094000,NKE,2024-06-04 19:58:04,2024-06-14,94.0,1.12,1.09,1.14,1.115,340.0,499.0,0.22657023437499998,94.74,puts,0.0035729364576736334
