contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
NVDA240607C00340000,NVDA,2024-06-04 17:27:03,2024-06-07,340.0,809.47,823.45,825.55,824.5,1.0,2.0,4.0234424707031256,1164.4399,calls,3.435127909993465e-05
NVDA240607C00400000,NVDA,2024-06-04 18:35:38,2024-06-07,400.0,759.55,763.65,765.55,764.5999999999999,1.0,1.0,3.7031257421875,1164.4399,calls,3.435127909993465e-05
NVDA240607C00430000,NVDA,2024-06-04 14:28:05,2024-06-07,430.0,716.26,733.6,735.65,734.625,5.0,7.0,3.50000125,1164.4399,calls,3.435127909993465e-05
NVDA240607C00550000,NVDA,2024-06-04 17:16:58,2024-06-07,550.0,602.65,613.8,615.65,614.7249999999999,5.0,42.0,2.772464006347657,1164.4399,calls,3.435127909993465e-05
NVDA240607C00580000,NVDA,2024-06-04 14:13:12,2024-06-07,580.0,563.62,583.65,585.75,584.7,6.0,8.0,2.5683629541015627,1164.4399,calls,3.435127909993465e-05
NVDA240607C00600000,NVDA,2024-06-04 14:22:30,2024-06-07,600.0,544.37,563.85,565.7,564.7750000000001,1.0,212.0,2.5087927905273437,1164.4399,calls,3.435127909993465e-05
NVDA240607C00680000,NVDA,2024-06-04 18:12:55,2024-06-07,680.0,472.74,483.85,485.85,484.85,1.0,13.0,2.1103562866210934,1164.4399,calls,3.435127909993465e-05
NVDA240607C00700000,NVDA,2024-06-04 16:30:41,2024-06-07,700.0,448.48,463.9,465.8,464.85,3.0,38.0,2.0058643603515627,1164.4399,calls,3.435127909993465e-05
NVDA240607C00730000,NVDA,2024-06-04 15:52:14,2024-06-07,730.0,416.3,433.85,435.9,434.875,2.0,16.0,1.8666998852539063,1164.4399,calls,3.435127909993465e-05
NVDA240607C00745000,NVDA,2024-06-04 13:39:14,2024-06-07,745.0,405.0,418.9,420.9,419.9,1.0,9.0,1.8037119189453121,1164.4399,calls,3.435127909993465e-05
NVDA240607C00750000,NVDA,2024-06-04 16:12:44,2024-06-07,750.0,394.54,412.2,417.5,414.85,2.0,3186.0,1.7578137109375,1164.4399,calls,3.435127909993465e-05
NVDA240607C00760000,NVDA,2024-06-04 14:33:17,2024-06-07,760.0,388.72,402.0,407.75,404.875,1.0,3017.0,1.720704521484375,1164.4399,calls,3.435127909993465e-05
NVDA240607C00770000,NVDA,2024-06-04 15:52:19,2024-06-07,770.0,376.05,393.8,395.9,394.85,2.0,60.0,1.6621110644531252,1164.4399,calls,3.435127909993465e-05
NVDA240607C00775000,NVDA,2024-06-04 15:14:47,2024-06-07,775.0,368.65,388.85,390.9,389.875,200.0,255.0,1.6489275366210938,1164.4399,calls,3.435127909993465e-05
NVDA240607C00785000,NVDA,2024-06-04 15:09:15,2024-06-07,785.0,360.89,378.9,380.95,379.92499999999995,6.0,38.0,1.62109564453125,1164.4399,calls,3.435127909993465e-05
NVDA240607C00800000,NVDA,2024-06-04 18:02:41,2024-06-07,800.0,350.35,362.25,367.6,364.925,1.0,2799.0,1.5512717749023435,1164.4399,calls,3.435127909993465e-05
NVDA240607C00810000,NVDA,2024-06-04 15:14:47,2024-06-07,810.0,333.61,352.05,357.75,354.9,200.0,1430.0,1.4960962695312499,1164.4399,calls,3.435127909993465e-05
NVDA240607C00820000,NVDA,2024-06-04 16:22:38,2024-06-07,820.0,327.9,343.9,345.95,344.92499999999995,2.0,269.0,1.4599636376953122,1164.4399,calls,3.435127909993465e-05
NVDA240607C00825000,NVDA,2024-06-04 19:58:43,2024-06-07,825.0,340.0,338.9,340.95,339.92499999999995,4.0,68.0,1.4370145336914062,1164.4399,calls,3.435127909993465e-05
NVDA240607C00840000,NVDA,2024-06-04 15:32:29,2024-06-07,840.0,320.66,324.0,326.0,325.0,10.0,75.0,1.3930694409179685,1164.4399,calls,3.435127909993465e-05
NVDA240607C00850000,NVDA,2024-06-04 19:56:42,2024-06-07,850.0,314.94,314.05,315.95,315.0,3.0,188.0,1.3481477905273436,1164.4399,calls,3.435127909993465e-05
NVDA240607C00855000,NVDA,2024-06-04 18:45:55,2024-06-07,855.0,307.35,308.9,311.0,309.95,2.0,113.0,1.3115268798828121,1164.4399,calls,3.435127909993465e-05
NVDA240607C00860000,NVDA,2024-06-04 19:13:57,2024-06-07,860.0,300.12,303.95,306.0,304.975,5.0,356.0,1.2968785156249998,1164.4399,calls,3.435127909993465e-05
NVDA240607C00865000,NVDA,2024-06-04 13:55:25,2024-06-07,865.0,286.3,299.0,301.05,300.025,2.0,109.0,1.288577775878906,1164.4399,calls,3.435127909993465e-05
NVDA240607C00870000,NVDA,2024-06-04 15:26:54,2024-06-07,870.0,275.0,294.05,296.05,295.05,1.0,231.0,1.272952854003906,1164.4399,calls,3.435127909993465e-05
NVDA240607C00875000,NVDA,2024-06-04 18:00:09,2024-06-07,875.0,274.55,288.95,291.05,290.0,15.0,209.0,1.237796779785156,1164.4399,calls,3.435127909993465e-05
NVDA240607C00880000,NVDA,2024-06-04 16:06:26,2024-06-07,880.0,264.07,283.95,286.05,285.0,3.0,196.0,1.2158242333984375,1164.4399,calls,3.435127909993465e-05
NVDA240607C00885000,NVDA,2024-06-04 19:01:48,2024-06-07,885.0,276.85,279.25,280.8,280.025,9.0,285.0,1.200687590332031,1164.4399,calls,3.435127909993465e-05
NVDA240607C00890000,NVDA,2024-06-04 19:12:39,2024-06-07,890.0,271.39,274.35,275.8,275.07500000000005,13.0,533.0,1.19141029296875,1164.4399,calls,3.435127909993465e-05
NVDA240607C00895000,NVDA,2024-06-04 19:02:27,2024-06-07,895.0,264.65,269.35,270.8,270.07500000000005,19.0,739.0,1.1694377465820311,1164.4399,calls,3.435127909993465e-05
NVDA240607C00900000,NVDA,2024-06-04 19:55:33,2024-06-07,900.0,265.45,262.2,266.0,264.1,16.0,870.0,1.3085972070312497,1164.4399,calls,3.435127909993465e-05
NVDA240607C00905000,NVDA,2024-06-04 18:15:11,2024-06-07,905.0,249.0,259.3,260.85,260.07500000000005,7.0,288.0,1.1259809326171877,1164.4399,calls,3.435127909993465e-05
NVDA240607C00910000,NVDA,2024-06-04 19:03:08,2024-06-07,910.0,250.0,254.3,255.85,255.075,4.0,483.0,1.1044966650390626,1164.4399,calls,3.435127909993465e-05
NVDA240607C00912500,NVDA,2024-06-04 19:00:08,2024-06-07,912.5,251.29,251.9,253.35,252.625,1.0,52.0,1.1047408044433595,1164.4399,calls,3.435127909993465e-05
