contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
PEP240607C00167500,PEP,2024-06-04 17:33:28,2024-06-07,167.5,6.5,5.7,6.7,6.2,6.0,42.0,0.3012765185546875,173.89,calls,0.006791649893610904
PEP240607C00170000,PEP,2024-06-04 19:52:47,2024-06-07,170.0,4.05,3.15,4.15,3.6500000000000004,132.0,252.0,0.20069158691406247,173.89,calls,0.006791649893610904
PEP240607C00172500,PEP,2024-06-04 19:57:32,2024-06-07,172.5,1.81,1.7,1.86,1.78,1123.0,1063.0,0.14063359375,173.89,calls,0.006791649893610904
PEP240607C00175000,PEP,2024-06-04 19:59:57,2024-06-07,175.0,0.48,0.45,0.54,0.495,2784.0,1746.0,0.13697152099609378,173.89,calls,0.006791649893610904
PEP240607C00177500,PEP,2024-06-04 19:56:30,2024-06-07,177.5,0.09,0.08,0.1,0.09,776.0,336.0,0.1420984228515625,173.89,calls,0.006791649893610904
PEP240607C00180000,PEP,2024-06-04 19:15:27,2024-06-07,180.0,0.02,0.02,0.05,0.035,72.0,1005.0,0.18457846679687498,173.89,calls,0.006791649893610904
PEP240607C00182500,PEP,2024-06-04 18:28:21,2024-06-07,182.5,0.02,0.01,0.04,0.025,16.0,856.0,0.23438265625,173.89,calls,0.006791649893610904
PEP240607C00185000,PEP,2024-06-04 18:10:44,2024-06-07,185.0,0.02,0.01,0.03,0.02,27.0,1351.0,0.27735097656249996,173.89,calls,0.006791649893610904
PEP240607C00190000,PEP,2024-06-04 15:19:50,2024-06-07,190.0,0.01,0.0,0.09,0.045,6.0,156.0,0.442388388671875,173.89,calls,0.006791649893610904
PEP240607C00192500,PEP,2024-06-04 17:52:33,2024-06-07,192.5,0.01,0.01,0.04,0.025,15.0,,0.43945873046875,173.89,calls,0.006791649893610904
PEP240607C00195000,PEP,2024-06-04 15:36:32,2024-06-07,195.0,0.1,0.0,0.1,0.05,5.0,123.0,0.5019581054687501,173.89,calls,0.006791649893610904
PEP240607P00145000,PEP,2024-06-04 13:36:18,2024-06-07,145.0,0.01,,,,,,0.0,173.89,puts,0.006791649893610904
PEP240607P00155000,PEP,2024-06-04 19:00:54,2024-06-07,155.0,0.01,0.0,0.26,0.13,5.0,16.0,0.59570716796875,173.89,puts,0.006791649893610904
PEP240607P00162500,PEP,2024-06-04 19:05:55,2024-06-07,162.5,0.02,0.01,0.07,0.04,59.0,79.0,0.3437565625,173.89,puts,0.006791649893610904
PEP240607P00165000,PEP,2024-06-04 19:11:29,2024-06-07,165.0,0.04,0.03,0.06,0.045,29.0,770.0,0.270515107421875,173.89,puts,0.006791649893610904
PEP240607P00167500,PEP,2024-06-04 19:37:05,2024-06-07,167.5,0.1,0.07,0.1,0.085,71.0,1133.0,0.22754678710937498,173.89,puts,0.006791649893610904
PEP240607P00170000,PEP,2024-06-04 19:59:28,2024-06-07,170.0,0.28,0.26,0.34,0.30000000000000004,582.0,949.0,0.21973436523437498,173.89,puts,0.006791649893610904
PEP240607P00172500,PEP,2024-06-04 19:45:38,2024-06-07,172.5,1.12,0.98,1.09,1.0350000000000001,266.0,275.0,0.23438265625,173.89,puts,0.006791649893610904
PEP240607P00175000,PEP,2024-06-04 19:10:14,2024-06-07,175.0,2.58,2.57,2.76,2.665,26.0,1103.0,0.2963937548828125,173.89,puts,0.006791649893610904
PEP240607P00177500,PEP,2024-06-04 17:42:12,2024-06-07,177.5,4.7,4.8,5.1,4.949999999999999,8.0,79.0,0.40210558837890625,173.89,puts,0.006791649893610904
PEP240607P00180000,PEP,2024-06-04 19:56:37,2024-06-07,180.0,7.21,7.15,9.4,8.275,4.0,106.0,0.6208534008789064,173.89,puts,0.006791649893610904
PEP240614C00162500,PEP,2024-06-04 15:02:50,2024-06-14,162.5,10.3,11.55,12.05,11.8,2.0,,0.34668622070312494,173.89,calls,0.006791649893610904
PEP240614C00165000,PEP,2024-06-04 19:45:36,2024-06-14,165.0,8.9,7.95,10.3,9.125,6.0,2.0,0.3864807446289062,173.89,calls,0.006791649893610904
PEP240614C00167500,PEP,2024-06-04 19:50:43,2024-06-14,167.5,6.46,5.75,7.65,6.7,9.0,20.0,0.30322962402343745,173.89,calls,0.006791649893610904
PEP240614C00170000,PEP,2024-06-04 18:41:20,2024-06-14,170.0,4.45,3.95,4.35,4.15,72.0,188.0,0.14795773925781253,173.89,calls,0.006791649893610904
PEP240614C00172500,PEP,2024-06-04 19:23:32,2024-06-14,172.5,2.09,2.08,2.21,2.145,460.0,386.0,0.117196328125,173.89,calls,0.006791649893610904
