contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
PFE240607C00024000,PFE,2024-06-04 19:04:01,2024-06-07,24.0,5.65,4.8,6.4,5.6,19.0,22.0,1.3203158984374999,29.5,calls,0.013830508474576272
PFE240607C00027000,PFE,2024-06-04 18:42:31,2024-06-07,27.0,2.65,2.26,2.79,2.525,23.0,326.0,0.523442265625,29.5,calls,0.013830508474576272
PFE240607C00027500,PFE,2024-06-04 19:27:33,2024-06-07,27.5,2.0,1.78,2.4,2.09,547.0,187.0,0.5664105859375,29.5,calls,0.013830508474576272
PFE240607C00028000,PFE,2024-06-04 19:53:11,2024-06-07,28.0,1.6,1.27,1.74,1.505,198.0,16269.0,0.648441015625,29.5,calls,0.013830508474576272
PFE240607C00028500,PFE,2024-06-04 19:44:58,2024-06-07,28.5,1.0,0.91,1.1,1.0050000000000001,519.0,3110.0,0.36133451171875,29.5,calls,0.013830508474576272
PFE240607C00029000,PFE,2024-06-04 19:55:30,2024-06-07,29.0,0.59,0.58,0.63,0.605,2034.0,9696.0,0.2695385546875,29.5,calls,0.013830508474576272
PFE240607C00029500,PFE,2024-06-04 19:59:24,2024-06-07,29.5,0.28,0.27,0.3,0.28500000000000003,4187.0,4374.0,0.24805439453125,29.5,calls,0.013830508474576272
PFE240607C00030000,PFE,2024-06-04 19:58:52,2024-06-07,30.0,0.1,0.1,0.12,0.11,10175.0,25546.0,0.2500075,29.5,calls,0.013830508474576272
PFE240607C00030500,PFE,2024-06-04 19:59:28,2024-06-07,30.5,0.04,0.04,0.05,0.045,2559.0,3273.0,0.273444765625,29.5,calls,0.013830508474576272
PFE240607C00031000,PFE,2024-06-04 19:59:09,2024-06-07,31.0,0.03,0.02,0.03,0.025,398.0,3673.0,0.32031929687499994,29.5,calls,0.013830508474576272
PFE240607C00031500,PFE,2024-06-04 19:24:38,2024-06-07,31.5,0.02,0.01,0.02,0.015,182.0,541.0,0.367193828125,29.5,calls,0.013830508474576272
PFE240607C00032000,PFE,2024-06-04 18:46:31,2024-06-07,32.0,0.02,0.0,0.02,0.01,295.0,3859.0,0.437505625,29.5,calls,0.013830508474576272
PFE240607C00033000,PFE,2024-06-04 18:45:38,2024-06-07,33.0,0.01,0.0,0.01,0.005,71.0,633.0,0.500005,29.5,calls,0.013830508474576272
PFE240607C00040000,PFE,2024-06-04 17:20:25,2024-06-07,40.0,0.01,0.0,0.0,0.0,1.0,4.0,0.500005,29.5,calls,0.013830508474576272
PFE240607P00026500,PFE,2024-06-04 19:17:12,2024-06-07,26.5,0.01,0.0,0.01,0.005,104.0,286.0,0.49219257812500006,29.5,puts,0.013830508474576272
PFE240607P00027000,PFE,2024-06-04 15:01:14,2024-06-07,27.0,0.01,0.0,0.01,0.005,38.0,17910.0,0.42188078125,29.5,puts,0.013830508474576272
PFE240607P00027500,PFE,2024-06-04 18:50:42,2024-06-07,27.5,0.02,0.01,0.02,0.015,72.0,1296.0,0.39063109375,29.5,puts,0.013830508474576272
PFE240607P00028000,PFE,2024-06-04 19:23:21,2024-06-07,28.0,0.03,0.01,0.03,0.02,662.0,18637.0,0.3320379296875,29.5,puts,0.013830508474576272
PFE240607P00028500,PFE,2024-06-04 19:30:49,2024-06-07,28.5,0.05,0.02,0.05,0.035,1220.0,2554.0,0.27735097656249996,29.5,puts,0.013830508474576272
PFE240607P00029000,PFE,2024-06-04 19:59:32,2024-06-07,29.0,0.09,0.08,0.11,0.095,1610.0,2666.0,0.23828886718749998,29.5,puts,0.013830508474576272
PFE240607P00029500,PFE,2024-06-04 19:39:34,2024-06-07,29.5,0.28,0.25,0.28,0.265,3011.0,488.0,0.22266402343749997,29.5,puts,0.013830508474576272
PFE240607P00030000,PFE,2024-06-04 19:43:33,2024-06-07,30.0,0.64,0.57,0.62,0.595,302.0,323.0,0.24024197265624997,29.5,puts,0.013830508474576272
PFE240607P00030500,PFE,2024-06-04 18:08:09,2024-06-07,30.5,1.08,0.86,1.11,0.9850000000000001,17.0,15.0,0.34180345703125,29.5,puts,0.013830508474576272
PFE240607P00031000,PFE,2024-06-04 18:46:36,2024-06-07,31.0,1.32,1.3,1.76,1.53,19.0,19.0,0.6210975390625001,29.5,puts,0.013830508474576272
PFE240614C00025000,PFE,2024-06-04 15:10:56,2024-06-14,25.0,4.39,4.4,4.65,4.525,2.0,97.0,0.5273484765625001,29.5,calls,0.013830508474576272
PFE240614C00026000,PFE,2024-06-04 13:30:04,2024-06-14,26.0,3.36,3.4,3.75,3.575,2.0,47.0,0.507817421875,29.5,calls,0.013830508474576272
PFE240614C00026500,PFE,2024-06-04 17:42:25,2024-06-14,26.5,3.17,2.87,3.15,3.01,1.0,7.0,0.53320779296875,29.5,calls,0.013830508474576272
PFE240614C00027000,PFE,2024-06-04 18:56:21,2024-06-14,27.0,2.8,2.38,2.7,2.54,31.0,671.0,0.5097705273437501,29.5,calls,0.013830508474576272
PFE240614C00027500,PFE,2024-06-04 15:30:09,2024-06-14,27.5,1.9,2.0,2.18,2.09,3.0,23.0,0.42188078125,29.5,calls,0.013830508474576272
PFE240614C00028000,PFE,2024-06-04 19:44:13,2024-06-14,28.0,1.59,1.53,1.77,1.65,308.0,2419.0,0.411138701171875,29.5,calls,0.013830508474576272
PFE240614C00028500,PFE,2024-06-04 18:57:57,2024-06-14,28.5,1.35,0.97,1.31,1.1400000000000001,118.0,791.0,0.352545537109375,29.5,calls,0.013830508474576272
PFE240614C00029000,PFE,2024-06-04 19:55:01,2024-06-14,29.0,0.76,0.77,0.8,0.785,738.0,2607.0,0.25586681640625003,29.5,calls,0.013830508474576272
