contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
RTX240607C00105000,RTX,2024-06-04 18:15:24,2024-06-07,105.0,3.3,2.86,3.15,3.005,113.0,1226.0,0.26367923828125,107.92,calls,0.005281690140845071
RTX240607C00106000,RTX,2024-06-04 19:59:40,2024-06-07,106.0,2.14,2.0,2.29,2.145,65.0,733.0,0.243171630859375,107.92,calls,0.005281690140845071
RTX240607C00107000,RTX,2024-06-04 19:47:40,2024-06-07,107.0,1.5,1.26,1.36,1.31,203.0,606.0,0.1860432958984375,107.92,calls,0.005281690140845071
RTX240607C00108000,RTX,2024-06-04 19:53:16,2024-06-07,108.0,0.66,0.66,0.76,0.71,407.0,202.0,0.17945156494140624,107.92,calls,0.005281690140845071
RTX240607C00109000,RTX,2024-06-04 19:55:56,2024-06-07,109.0,0.38,0.28,0.36,0.32,46.0,991.0,0.174812939453125,107.92,calls,0.005281690140845071
RTX240607C00110000,RTX,2024-06-04 19:53:14,2024-06-07,110.0,0.12,0.11,0.17,0.14,111.0,769.0,0.18262536132812499,107.92,calls,0.005281690140845071
RTX240607C00111000,RTX,2024-06-04 19:39:45,2024-06-07,111.0,0.08,0.04,0.09,0.065,13.0,110.0,0.198250205078125,107.92,calls,0.005281690140845071
RTX240607C00113000,RTX,2024-06-04 15:04:11,2024-06-07,113.0,0.06,,0.09,,2.0,,0.28711650390624993,107.92,calls,0.005281690140845071
RTX240607C00125000,RTX,2024-06-04 16:41:02,2024-06-07,125.0,0.01,0.0,0.07,0.035,4.0,418.0,0.632816171875,107.92,calls,0.005281690140845071
RTX240607P00093000,RTX,2024-06-04 16:43:57,2024-06-07,93.0,0.01,0.0,1.46,0.73,1.0,1.0,1.2001993115234375,107.92,puts,0.005281690140845071
RTX240607P00097000,RTX,2024-06-04 13:54:22,2024-06-07,97.0,0.01,0.0,1.27,0.635,10.0,12.0,0.905274384765625,107.92,puts,0.005281690140845071
RTX240607P00100000,RTX,2024-06-04 13:30:05,2024-06-07,100.0,0.52,0.0,0.23,0.115,1.0,33.0,0.53320779296875,107.92,puts,0.005281690140845071
RTX240607P00103000,RTX,2024-06-04 15:51:31,2024-06-07,103.0,0.04,0.02,0.23,0.125,13.0,80.0,0.370123486328125,107.92,puts,0.005281690140845071
RTX240607P00104000,RTX,2024-06-04 19:22:10,2024-06-07,104.0,0.05,0.03,0.08,0.055,62.0,351.0,0.23731231445312498,107.92,puts,0.005281690140845071
RTX240607P00105000,RTX,2024-06-04 19:55:13,2024-06-07,105.0,0.07,0.06,0.08,0.07,133.0,548.0,0.188484677734375,107.92,puts,0.005281690140845071
RTX240607P00106000,RTX,2024-06-04 19:22:53,2024-06-07,106.0,0.13,0.12,0.16,0.14,142.0,653.0,0.17041845214843754,107.92,puts,0.005281690140845071
RTX240607P00107000,RTX,2024-06-04 19:40:08,2024-06-07,107.0,0.32,0.31,0.38,0.345,173.0,344.0,0.16602396484375004,107.92,puts,0.005281690140845071
RTX240607P00108000,RTX,2024-06-04 19:26:18,2024-06-07,108.0,0.7,0.68,0.79,0.7350000000000001,22.0,108.0,0.16407085937500002,107.92,puts,0.005281690140845071
RTX240607P00109000,RTX,2024-06-04 18:23:28,2024-06-07,109.0,1.12,1.06,1.13,1.095,40.0,,0.07032179687500001,107.92,puts,0.005281690140845071
RTX240614C00101000,RTX,2024-06-04 15:17:26,2024-06-14,101.0,6.6,5.7,9.2,7.449999999999999,4.0,3.0,0.6936065795898438,107.92,calls,0.005281690140845071
RTX240614C00103000,RTX,2024-06-04 17:56:05,2024-06-14,103.0,5.32,4.2,6.85,5.525,2.0,56.0,0.5373581420898439,107.92,calls,0.005281690140845071
RTX240614C00105000,RTX,2024-06-04 17:56:05,2024-06-14,105.0,3.49,3.25,4.35,3.8,2.0,98.0,0.35962554443359374,107.92,calls,0.005281690140845071
RTX240614C00106000,RTX,2024-06-04 18:59:28,2024-06-14,106.0,2.8,2.45,2.7,2.575,4.0,79.0,0.21192194335937498,107.92,calls,0.005281690140845071
RTX240614C00107000,RTX,2024-06-04 15:44:58,2024-06-14,107.0,1.44,1.75,1.86,1.8050000000000002,49.0,319.0,0.18311363769531247,107.92,calls,0.005281690140845071
RTX240614C00108000,RTX,2024-06-04 18:16:30,2024-06-14,108.0,1.37,1.17,1.26,1.2149999999999999,63.0,351.0,0.17505707763671874,107.92,calls,0.005281690140845071
RTX240614C00109000,RTX,2024-06-04 19:58:37,2024-06-14,109.0,0.76,0.72,0.8,0.76,41.0,151.0,0.16968603759765627,107.92,calls,0.005281690140845071
RTX240614C00110000,RTX,2024-06-04 18:53:25,2024-06-14,110.0,0.6,0.43,0.48,0.45499999999999996,15.0,252.0,0.16724465576171876,107.92,calls,0.005281690140845071
RTX240614C00111000,RTX,2024-06-04 19:41:29,2024-06-14,111.0,0.27,0.24,0.3,0.27,31.0,15.0,0.17188328125000002,107.92,calls,0.005281690140845071
RTX240614C00112000,RTX,2024-06-04 18:40:42,2024-06-14,112.0,0.18,0.14,0.18,0.16,34.0,503.0,0.1757894921875,107.92,calls,0.005281690140845071
RTX240614C00113000,RTX,2024-06-04 17:50:15,2024-06-14,113.0,0.11,0.08,0.12,0.1,1.0,72.0,0.18506674316406246,107.92,calls,0.005281690140845071
RTX240614P00085000,RTX,2024-06-04 14:29:26,2024-06-14,85.0,0.01,0.01,1.0,0.505,16.0,,0.9433599414062499,107.92,puts,0.005281690140845071
RTX240614P00099000,RTX,2024-06-04 13:30:05,2024-06-14,99.0,0.56,0.0,0.22,0.11,,15.0,0.34961587890624996,107.92,puts,0.005281690140845071
RTX240614P00102000,RTX,2024-06-04 14:36:17,2024-06-14,102.0,0.09,0.06,0.31,0.185,1.0,35.0,0.27930408203124996,107.92,puts,0.005281690140845071
RTX240614P00103000,RTX,2024-06-04 17:42:10,2024-06-14,103.0,0.12,0.08,0.12,0.1,5.0,53.0,0.188484677734375,107.92,puts,0.005281690140845071
RTX240614P00104000,RTX,2024-06-04 19:55:47,2024-06-14,104.0,0.16,0.14,0.17,0.15500000000000003,2.0,68.0,0.1733481103515625,107.92,puts,0.005281690140845071
RTX240614P00105000,RTX,2024-06-04 17:46:38,2024-06-14,105.0,0.27,0.23,0.28,0.255,8.0,146.0,0.16553568847656253,107.92,puts,0.005281690140845071
RTX240614P00106000,RTX,2024-06-04 19:12:57,2024-06-14,106.0,0.41,0.41,0.48,0.44499999999999995,8.0,133.0,0.16162947753906248,107.92,puts,0.005281690140845071
RTX240614P00107000,RTX,2024-06-04 19:59:58,2024-06-14,107.0,0.72,0.68,0.76,0.72,26.0,539.0,0.15528188476562502,107.92,puts,0.005281690140845071
RTX240614P00108000,RTX,2024-06-04 18:43:36,2024-06-14,108.0,0.95,0.92,0.99,0.9550000000000001,17.0,,0.12574116455078127,107.92,puts,0.005281690140845071
RTX240621C00060000,RTX,2024-06-04 16:35:48,2024-06-21,60.0,47.5,46.0,50.45,48.225,6.0,26.0,1.43359658203125,107.92,calls,0.005281690140845071
RTX240621C00090000,RTX,2024-06-04 17:55:30,2024-06-21,90.0,18.25,17.0,20.3,18.65,4.0,558.0,0.6601596484375001,107.92,calls,0.005281690140845071
RTX240621C00093000,RTX,2024-06-04 14:56:04,2024-06-21,93.0,15.89,13.55,17.35,15.450000000000001,,3.0,0.5224657128906249,107.92,calls,0.005281690140845071
RTX240621C00095000,RTX,2024-06-04 18:07:36,2024-06-21,95.0,13.5,12.6,15.2,13.899999999999999,6.0,1512.0,0.559574716796875,107.92,calls,0.005281690140845071
RTX240621C00100000,RTX,2024-06-04 19:47:40,2024-06-21,100.0,8.25,7.35,9.0,8.175,52.0,8474.0,0.415044912109375,107.92,calls,0.005281690140845071
RTX240621C00102000,RTX,2024-06-04 14:56:04,2024-06-21,102.0,5.78,5.5,6.45,5.975,1.0,9.0,0.26319096191406255,107.92,calls,0.005281690140845071
RTX240621C00105000,RTX,2024-06-04 19:44:46,2024-06-21,105.0,3.6,3.55,3.7,3.625,106.0,8601.0,0.2024005541992187,107.92,calls,0.005281690140845071
RTX240621C00106000,RTX,2024-06-04 19:44:55,2024-06-21,106.0,2.98,2.77,2.89,2.83,50.0,552.0,0.18799640136718748,107.92,calls,0.005281690140845071
RTX240621C00107000,RTX,2024-06-04 19:55:15,2024-06-21,107.0,2.18,2.08,2.21,2.145,548.0,1873.0,0.18091639404296872,107.92,calls,0.005281690140845071
RTX240621C00108000,RTX,2024-06-04 19:53:09,2024-06-21,108.0,1.56,1.49,1.58,1.5350000000000001,39.0,624.0,0.17041845214843754,107.92,calls,0.005281690140845071
RTX240621C00109000,RTX,2024-06-04 19:46:58,2024-06-21,109.0,1.05,1.02,1.1,1.06,86.0,236.0,0.16553568847656253,107.92,calls,0.005281690140845071
RTX240621C00110000,RTX,2024-06-04 19:57:23,2024-06-21,110.0,0.73,0.67,0.75,0.71,1950.0,10800.0,0.16407085937500002,107.92,calls,0.005281690140845071
RTX240621C00111000,RTX,2024-06-04 18:21:40,2024-06-21,111.0,0.46,0.44,0.49,0.46499999999999997,28.0,86.0,0.16285016845703126,107.92,calls,0.005281690140845071
RTX240621C00112000,RTX,2024-06-04 19:51:14,2024-06-21,112.0,0.29,0.27,0.33,0.30000000000000004,12.0,151.0,0.16602396484375004,107.92,calls,0.005281690140845071
RTX240621C00115000,RTX,2024-06-04 17:05:30,2024-06-21,115.0,0.09,0.07,0.11,0.09,6.0,3197.0,0.18164880859375,107.92,calls,0.005281690140845071
RTX240621C00120000,RTX,2024-06-04 19:53:56,2024-06-21,120.0,0.04,0.0,0.1,0.05,143.0,4284.0,0.26758544921875,107.92,calls,0.005281690140845071
RTX240621P00085000,RTX,2024-06-04 13:48:03,2024-06-21,85.0,0.01,0.01,0.31,0.16,2.0,4259.0,0.5839885351562499,107.92,puts,0.005281690140845071
RTX240621P00090000,RTX,2024-06-04 16:22:17,2024-06-21,90.0,0.05,0.02,0.15,0.08499999999999999,1.0,4649.0,0.45898978515625005,107.92,puts,0.005281690140845071
RTX240621P00095000,RTX,2024-06-04 16:45:59,2024-06-21,95.0,0.01,0.02,0.1,0.060000000000000005,3.0,3906.0,0.317389638671875,107.92,puts,0.005281690140845071
RTX240621P00100000,RTX,2024-06-04 17:35:47,2024-06-21,100.0,0.09,0.04,0.3,0.16999999999999998,6.0,2891.0,0.2690502783203125,107.92,puts,0.005281690140845071
RTX240621P00101000,RTX,2024-06-04 17:45:40,2024-06-21,101.0,0.12,0.05,0.12,0.08499999999999999,3.0,11.0,0.19336744140625,107.92,puts,0.005281690140845071
