contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TMO240607C00545000,TMO,2024-06-04 13:45:26,2024-06-07,545.0,20.0,24.1,29.5,26.8,1.0,2.0,0.5928995788574221,569.86,calls,0.0005703155160916716
TMO240607C00557500,TMO,2024-06-04 15:28:25,2024-06-07,557.5,14.3,12.7,15.0,13.85,1.0,6.0,0.31323928955078123,569.86,calls,0.0005703155160916716
TMO240607C00570000,TMO,2024-06-04 15:28:55,2024-06-07,570.0,4.8,4.4,5.2,4.800000000000001,4.0,21.0,0.22534954345703123,569.86,calls,0.0005703155160916716
TMO240607C00572500,TMO,2024-06-04 19:49:20,2024-06-07,572.5,4.08,3.3,3.9,3.5999999999999996,14.0,3.0,0.21772022521972656,569.86,calls,0.0005703155160916716
TMO240607C00575000,TMO,2024-06-04 19:53:11,2024-06-07,575.0,2.85,2.4,2.85,2.625,6.0,21.0,0.21234918518066404,569.86,calls,0.0005703155160916716
TMO240607C00577500,TMO,2024-06-04 19:50:19,2024-06-07,577.5,1.2,1.55,5.9,3.725,13.0,2.0,0.3880676428222656,569.86,calls,0.0005703155160916716
TMO240607C00580000,TMO,2024-06-04 19:53:11,2024-06-07,580.0,1.45,1.05,1.5,1.275,15.0,7.0,0.21155573608398434,569.86,calls,0.0005703155160916716
TMO240607C00582500,TMO,2024-06-04 15:33:36,2024-06-07,582.5,1.07,0.1,1.05,0.5750000000000001,5.0,16.0,0.21143366699218746,569.86,calls,0.0005703155160916716
TMO240607C00587500,TMO,2024-06-04 15:20:32,2024-06-07,587.5,0.75,0.25,0.55,0.4,7.0,15.0,0.21900195068359374,569.86,calls,0.0005703155160916716
TMO240607C00600000,TMO,2024-06-04 15:20:32,2024-06-07,600.0,0.25,0.0,0.25,0.125,6.0,57.0,0.27735097656249996,569.86,calls,0.0005703155160916716
