contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
TMUS240607C00162500,TMUS,2024-06-04 17:02:28,2024-06-07,162.5,14.35,14.7,17.65,16.174999999999997,4.0,5.0,0.7338893798828124,177.89,calls,0.008446230816796898
TMUS240607C00165000,TMUS,2024-06-04 18:34:33,2024-06-07,165.0,12.9,12.15,15.1,13.625,15.0,28.0,0.63086306640625,177.89,calls,0.008446230816796898
TMUS240607C00167500,TMUS,2024-06-04 19:58:41,2024-06-07,167.5,10.7,9.1,12.75,10.925,4.0,135.0,0.8608412353515625,177.89,calls,0.008446230816796898
TMUS240607C00170000,TMUS,2024-06-04 19:47:40,2024-06-07,170.0,9.0,7.15,10.3,8.725000000000001,21.0,718.0,0.7514673291015624,177.89,calls,0.008446230816796898
TMUS240607C00172500,TMUS,2024-06-04 19:41:36,2024-06-07,172.5,5.9,5.1,6.35,5.725,117.0,341.0,0.3920959228515625,177.89,calls,0.008446230816796898
TMUS240607C00175000,TMUS,2024-06-04 19:55:11,2024-06-07,175.0,2.81,3.35,3.6,3.475,1065.0,594.0,0.24146266357421875,177.89,calls,0.008446230816796898
TMUS240607C00177500,TMUS,2024-06-04 19:58:41,2024-06-07,177.5,1.81,1.43,1.8,1.615,810.0,813.0,0.213875048828125,177.89,calls,0.008446230816796898
TMUS240607C00180000,TMUS,2024-06-04 19:57:06,2024-06-07,180.0,0.73,0.66,0.73,0.6950000000000001,818.0,155.0,0.2082598706054687,177.89,calls,0.008446230816796898
TMUS240607C00182500,TMUS,2024-06-04 19:51:54,2024-06-07,182.5,0.4,0.1,0.45,0.275,54.0,48.0,0.257819921875,177.89,calls,0.008446230816796898
TMUS240607C00185000,TMUS,2024-06-04 19:32:29,2024-06-07,185.0,0.19,0.13,0.23,0.18,82.0,72.0,0.28125718749999995,177.89,calls,0.008446230816796898
TMUS240607C00187500,TMUS,2024-06-04 19:44:57,2024-06-07,187.5,0.14,0.11,0.33,0.22,1.0,16.0,0.383795224609375,177.89,calls,0.008446230816796898
TMUS240607C00190000,TMUS,2024-06-04 16:06:59,2024-06-07,190.0,0.09,0.07,0.15,0.11,10.0,8.0,0.379889013671875,177.89,calls,0.008446230816796898
TMUS240607C00215000,TMUS,2024-06-04 18:34:23,2024-06-07,215.0,0.02,0.0,0.05,0.025,20.0,50.0,0.710940390625,177.89,calls,0.008446230816796898
TMUS240607P00140000,TMUS,2024-06-04 19:33:52,2024-06-07,140.0,0.01,0.0,2.13,1.065,1.0,5.0,1.6660172949218752,177.89,puts,0.008446230816796898
TMUS240607P00155000,TMUS,2024-06-04 18:58:25,2024-06-07,155.0,0.04,0.0,0.2,0.1,15.0,519.0,0.6621127539062501,177.89,puts,0.008446230816796898
