contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
V240607C00265000,V,2024-06-04 19:08:46,2024-06-07,265.0,7.2,7.3,8.25,7.775,28.0,32.0,0.2934640966796874,272.37,calls,0.001646657120828285
V240607C00267500,V,2024-06-04 17:39:05,2024-06-07,267.5,4.9,5.2,6.5,5.85,8.0,85.0,0.3107979077148437,272.37,calls,0.001646657120828285
V240607C00270000,V,2024-06-04 19:57:19,2024-06-07,270.0,3.45,3.25,3.55,3.4,132.0,373.0,0.187508125,272.37,calls,0.001646657120828285
V240607C00272500,V,2024-06-04 19:59:17,2024-06-07,272.5,1.79,1.8,1.88,1.8399999999999999,308.0,686.0,0.1687094848632813,272.37,calls,0.001646657120828285
V240607C00275000,V,2024-06-04 19:58:32,2024-06-07,275.0,0.84,0.78,0.86,0.8200000000000001,419.0,1085.0,0.16394879028320314,272.37,calls,0.001646657120828285
V240607C00277500,V,2024-06-04 19:43:24,2024-06-07,277.5,0.32,0.25,0.35,0.3,275.0,2591.0,0.16553568847656253,272.37,calls,0.001646657120828285
V240607C00280000,V,2024-06-04 19:48:07,2024-06-07,280.0,0.1,0.08,0.12,0.1,185.0,934.0,0.16700051757812504,272.37,calls,0.001646657120828285
V240607C00282500,V,2024-06-04 18:43:41,2024-06-07,282.5,0.05,0.03,0.05,0.04,28.0,171.0,0.17774259765625,272.37,calls,0.001646657120828285
V240607C00285000,V,2024-06-04 18:51:12,2024-06-07,285.0,0.02,0.01,0.04,0.025,17.0,345.0,0.20703917968749996,272.37,calls,0.001646657120828285
V240607C00287500,V,2024-06-04 19:27:33,2024-06-07,287.5,0.02,0.01,0.24,0.125,1.0,30.0,0.32813171874999997,272.37,calls,0.001646657120828285
V240607C00297500,V,2024-06-04 19:07:25,2024-06-07,297.5,0.01,0.0,0.05,0.025,1.0,30.0,0.37695935546875,272.37,calls,0.001646657120828285
V240607C00300000,V,2024-06-04 13:33:29,2024-06-07,300.0,0.01,0.0,1.27,0.635,1.0,30.0,0.6381872119140625,272.37,calls,0.001646657120828285
V240607C00305000,V,2024-06-04 16:06:13,2024-06-07,305.0,0.01,0.0,1.25,0.625,3.0,11.0,0.71679970703125,272.37,calls,0.001646657120828285
