contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
WFC240607C00055000,WFC,2024-06-04 14:53:15,2024-06-07,55.0,3.9,2.73,5.75,4.24,8.0,30.0,0.7685570019531252,58.7,calls,0.005281090289608177
WFC240607C00057000,WFC,2024-06-04 15:03:13,2024-06-07,57.0,1.75,1.78,1.86,1.82,2.0,61.0,0.2929758203124999,58.7,calls,0.005281090289608177
WFC240607C00058000,WFC,2024-06-04 18:56:52,2024-06-07,58.0,1.02,0.97,1.03,1.0,187.0,1332.0,0.25391371093750004,58.7,calls,0.005281090289608177
WFC240607C00059000,WFC,2024-06-04 19:59:52,2024-06-07,59.0,0.43,0.41,0.43,0.42,825.0,1824.0,0.2304764453125,58.7,calls,0.005281090289608177
WFC240607C00060000,WFC,2024-06-04 19:58:45,2024-06-07,60.0,0.14,0.13,0.14,0.135,4899.0,2097.0,0.229499892578125,58.7,calls,0.005281090289608177
WFC240607C00061000,WFC,2024-06-04 19:07:59,2024-06-07,61.0,0.04,0.04,0.05,0.045,691.0,2325.0,0.2500075,58.7,calls,0.005281090289608177
WFC240607C00062000,WFC,2024-06-04 17:22:13,2024-06-07,62.0,0.02,0.01,0.02,0.015,138.0,2628.0,0.27735097656249996,58.7,calls,0.005281090289608177
WFC240607C00063000,WFC,2024-06-04 14:49:02,2024-06-07,63.0,0.02,0.0,0.02,0.01,21.0,843.0,0.3437565625,58.7,calls,0.005281090289608177
WFC240607P00050000,WFC,2024-06-04 16:41:12,2024-06-07,50.0,0.01,0.0,0.01,0.005,721.0,7988.0,0.5937540625000001,58.7,puts,0.005281090289608177
WFC240607P00052000,WFC,2024-06-04 19:59:31,2024-06-07,52.0,0.02,0.01,0.02,0.015,222.0,109.0,0.5312546875,58.7,puts,0.005281090289608177
WFC240607P00054000,WFC,2024-06-04 18:34:25,2024-06-07,54.0,0.02,0.01,0.02,0.015,9.0,195.0,0.398443515625,58.7,puts,0.005281090289608177
