contractSymbol,ticker,lastTradeDate,expiryDate,strike,lastPrice,bid,ask,mid,volume,openInterest,impliedVolatility,last close,optionType,yFinance_dividend_yield
XOM240607C00104000,XOM,2024-06-04 19:47:13,2024-06-07,104.0,8.53,7.8,9.5,8.65,2.0,17.0,0.8037129003906249,112.66,calls,0.008104029824249955
XOM240607C00105000,XOM,2024-06-04 17:50:06,2024-06-07,105.0,7.5,7.45,8.55,8.0,18.0,39.0,0.5478560839843751,112.66,calls,0.008104029824249955
XOM240607C00108000,XOM,2024-06-04 19:54:44,2024-06-07,108.0,4.9,4.35,5.1,4.725,47.0,10.0,0.418951123046875,112.66,calls,0.008104029824249955
XOM240607C00109000,XOM,2024-06-04 19:31:00,2024-06-07,109.0,3.51,3.25,4.0,3.625,67.0,260.0,0.32471378417968744,112.66,calls,0.008104029824249955
XOM240607C00110000,XOM,2024-06-04 19:54:23,2024-06-07,110.0,3.05,2.84,3.1,2.9699999999999998,349.0,362.0,0.29492892578124996,112.66,calls,0.008104029824249955
XOM240607C00111000,XOM,2024-06-04 19:58:58,2024-06-07,111.0,2.28,2.09,2.32,2.205,1233.0,82.0,0.2827220166015625,112.66,calls,0.008104029824249955
XOM240607C00112000,XOM,2024-06-04 19:58:35,2024-06-07,112.0,1.54,1.43,1.5,1.4649999999999999,3482.0,311.0,0.2417068017578125,112.66,calls,0.008104029824249955
XOM240607C00113000,XOM,2024-06-04 19:59:50,2024-06-07,113.0,0.93,0.9,0.93,0.915,4510.0,479.0,0.2304764453125,112.66,calls,0.008104029824249955
XOM240607C00114000,XOM,2024-06-04 19:59:57,2024-06-07,114.0,0.54,0.5,0.54,0.52,2365.0,1425.0,0.22754678710937498,112.66,calls,0.008104029824249955
XOM240607C00115000,XOM,2024-06-04 19:59:46,2024-06-07,115.0,0.26,0.26,0.28,0.27,2471.0,2163.0,0.22364057617187497,112.66,calls,0.008104029824249955
XOM240607C00116000,XOM,2024-06-04 19:59:33,2024-06-07,116.0,0.16,0.11,0.15,0.13,1060.0,2177.0,0.229499892578125,112.66,calls,0.008104029824249955
XOM240607C00117000,XOM,2024-06-04 19:57:27,2024-06-07,117.0,0.08,0.06,0.08,0.07,1072.0,4945.0,0.23731231445312498,112.66,calls,0.008104029824249955
XOM240607C00118000,XOM,2024-06-04 19:46:57,2024-06-07,118.0,0.04,0.03,0.05,0.04,898.0,2265.0,0.25391371093750004,112.66,calls,0.008104029824249955
XOM240607C00119000,XOM,2024-06-04 19:56:21,2024-06-07,119.0,0.03,0.02,0.03,0.025,170.0,1175.0,0.26563234375,112.66,calls,0.008104029824249955
XOM240607C00120000,XOM,2024-06-04 19:01:02,2024-06-07,120.0,0.02,0.01,0.02,0.015,101.0,3226.0,0.28125718749999995,112.66,calls,0.008104029824249955
XOM240607C00121000,XOM,2024-06-04 19:01:46,2024-06-07,121.0,0.01,0.01,0.02,0.015,40.0,721.0,0.31250687499999996,112.66,calls,0.008104029824249955
XOM240607C00122000,XOM,2024-06-04 19:45:15,2024-06-07,122.0,0.01,0.01,0.02,0.015,11.0,2726.0,0.3437565625,112.66,calls,0.008104029824249955
XOM240607C00123000,XOM,2024-06-04 17:33:48,2024-06-07,123.0,0.02,0.01,0.02,0.015,19.0,700.0,0.37500625,112.66,calls,0.008104029824249955
XOM240607C00124000,XOM,2024-06-04 16:28:50,2024-06-07,124.0,0.01,0.0,0.02,0.01,141.0,4792.0,0.4023497265625,112.66,calls,0.008104029824249955
XOM240607C00125000,XOM,2024-06-04 18:21:22,2024-06-07,125.0,0.01,0.0,0.01,0.005,65.0,345.0,0.398443515625,112.66,calls,0.008104029824249955
XOM240607P00097000,XOM,2024-06-04 18:16:33,2024-06-07,97.0,0.01,0.0,0.02,0.01,48.0,61.0,0.5625043750000001,112.66,puts,0.008104029824249955
XOM240607P00099000,XOM,2024-06-04 19:29:45,2024-06-07,99.0,0.01,0.0,0.02,0.01,907.0,5.0,0.5312546875,112.66,puts,0.008104029824249955
XOM240607P00100000,XOM,2024-06-04 15:27:11,2024-06-07,100.0,0.02,0.01,0.02,0.015,5.0,795.0,0.49219257812500006,112.66,puts,0.008104029824249955
XOM240607P00101000,XOM,2024-06-04 19:24:52,2024-06-07,101.0,0.02,0.01,0.03,0.02,206.0,20.0,0.48438015625,112.66,puts,0.008104029824249955
XOM240607P00102000,XOM,2024-06-04 18:27:19,2024-06-07,102.0,0.03,0.02,0.04,0.03,321.0,70.0,0.46484910156250003,112.66,puts,0.008104029824249955
XOM240607P00103000,XOM,2024-06-04 19:48:31,2024-06-07,103.0,0.04,0.02,0.04,0.03,30.0,342.0,0.42578699218750005,112.66,puts,0.008104029824249955
XOM240607P00104000,XOM,2024-06-04 15:59:36,2024-06-07,104.0,0.05,0.04,0.05,0.045,12.0,718.0,0.4023497265625,112.66,puts,0.008104029824249955
XOM240607P00105000,XOM,2024-06-04 19:50:38,2024-06-07,105.0,0.05,0.03,0.06,0.045,407.0,485.0,0.37305314453125,112.66,puts,0.008104029824249955
XOM240607P00106000,XOM,2024-06-04 19:47:39,2024-06-07,106.0,0.07,0.05,0.07,0.060000000000000005,58.0,278.0,0.34180345703125,112.66,puts,0.008104029824249955
XOM240607P00107000,XOM,2024-06-04 19:54:40,2024-06-07,107.0,0.08,0.07,0.09,0.08,285.0,447.0,0.31445998046874996,112.66,puts,0.008104029824249955
XOM240607P00108000,XOM,2024-06-04 19:59:34,2024-06-07,108.0,0.12,0.1,0.12,0.11,342.0,905.0,0.28711650390624993,112.66,puts,0.008104029824249955
XOM240607P00109000,XOM,2024-06-04 19:56:16,2024-06-07,109.0,0.16,0.15,0.19,0.16999999999999998,719.0,584.0,0.27149166015625,112.66,puts,0.008104029824249955
